,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
9013,2,palladino raffaele,livorno,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
2709,2,mandelli davide,chievo,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
2668,2,maldini paolo,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
5300,2,ficini fabrizio,empoli,C,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,2005-06
3148,2,pessotto gianluca,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7553,2,vigiani luca,reggina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4836,2,coppola carmine,messina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
660,2,santoni nicola,palermo,P,4.5,6.5,-2.0,0.0,0.0,0.0,0.0,2005-06
4799,2,conti daniele,cagliari,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
5977,2,kaka' ricardo,milan,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
2348,2,grosso fabio,palermo,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
8342,2,di michele david,udinese,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
622,2,pelizzoli ivan,reggina,P,6.5,6.5,-3.0,0.0,3.0,0.0,0.0,2005-06
8756,2,langella antonio,cagliari,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
6021,2,lazetic nikola,livorno,C,7.5,6.5,0.0,0.0,0.0,0.0,1.0,2005-06
8656,2,ibrahimovic zlatan,juventus,A,8.0,7.0,0.0,0.0,0.0,0.0,1.0,2005-06
8669,2,iliev ivica,messina,A,8.0,7.0,0.0,0.0,0.0,0.0,1.0,2005-06
5264,2,emerson ferreira,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
1299,2,cardone giuseppe,parma,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
913,2,balzaretti federico,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8300,2,di canio paolo,lazio,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
4716,2,cesar rodriguez,lazio,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
2316,2,grandoni alessandro,livorno,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
386,2,dida nelson,milan,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,2005-06
5345,2,figo luis,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8693,2,konan haouliais axel cedr,lecce,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
6024,2,ledesma cristian,lecce,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,2005-06
9037,2,pazzini giampaolo,fiorentina,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
8233,2,cruz julio ricardo,inter,A,12.5,6.5,6.0,0.0,0.0,0.0,0.0,2005-06
8743,2,kutuzov vitalii,sampdoria,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
5376,2,filippini antonio,treviso,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3099,2,pasquale giovanni,parma,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
5923,2,jorgensen martin,fiorentina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3119,2,pavan simone,sampdoria,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
882,2,aronica salvatore,messina,D,7.0,6.0,0.0,0.0,0.0,0.0,1.0,2005-06
5991,2,kily gonzalez cristian,inter,C,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2005-06
1565,2,cordoba ivan ramiro,inter,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
5846,2,guana roberto,ascoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
2938,2,oddo massimo,lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
495,2,handanovic samir,treviso,P,3.0,4.0,-1.0,0.0,0.0,0.0,0.0,2005-06
8828,2,lucarelli cristiano,livorno,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,2005-06
8441,2,esposito mauro,cagliari,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
2869,2,natali cesare,udinese,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
5105,2,de rossi daniele,roma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
7247,2,tedesco giacomo,reggina,C,5.0,6.0,0.0,-1.0,0.0,0.0,0.0,2005-06
803,2,agostini alessandro,cagliari,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
5524,2,foggia pasquale,ascoli,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
5682,2,giampa' domenico,messina,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2588,2,lucarelli alessandro,reggina,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,2005-06
730,2,storari marco,messina,P,5.0,7.0,-2.0,0.0,0.0,0.0,0.0,2005-06
554,2,lupatelli cristiano,parma,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,2005-06
2465,2,kuffour samuel,roma,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
8553,2,gasparetto mirco,empoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
499,2,julio cesar soares,inter,P,3.5,6.5,-3.0,0.0,0.0,0.0,0.0,2005-06
8833,2,makinwa stephen,palermo,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
3152,2,pfertzel marc,livorno,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2874,2,negro paolo,siena,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
8484,2,ferrante marco,ascoli,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,2005-06
5574,2,franceschini daniele,chievo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
5585,2,gallo fabio,treviso,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
5042,2,dalla bona samuele,sampdoria,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
8858,2,marazzina massimo,siena,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
2532,2,legrottaglie nicola,siena,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,2005-06
2558,2,lopez diego luis,cagliari,D,4.0,5.0,0.0,-1.0,0.0,0.0,0.0,2005-06
8901,2,missiroli simone,reggina,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
1536,2,contini matteo,parma,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2913,2,nesta alessandro,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8866,2,martins obafemi akinwunmi,inter,A,4.5,4.5,0.0,0.0,0.0,0.0,0.0,2005-06
1356,2,castellini marcello,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8509,2,flachi francesco,sampdoria,A,2.0,5.0,0.0,0.0,-3.0,0.0,0.0,2005-06
2501,2,lanna salvatore,chievo,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
5629,2,gattuso gennaro ivan,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4985,2,dabo ousmane,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
5595,2,gasbarroni andrea,sampdoria,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
8970,2,nonda shabani,roma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
8903,2,montella vincenzo,roma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
5128,2,delvecchio gennaro,lecce,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8942,2,mutu adrian,juventus,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8615,2,iaquinta vincenzo,udinese,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
5795,2,gonzalez mariano nicolas,palermo,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
439,2,fontana alberto,chievo,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
5200,2,donadel marco,fiorentina,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
3028,2,panucci christian,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8773,2,locatelli tomas,siena,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2389,2,juarez de souza texeira,udinese,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
7209,2,taddei rodrigo,roma,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2798,2,modesto francesco,reggina,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
695,2,sicignano vincenzo,lecce,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
5403,2,filippini emanuele,treviso,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,2005-06
5235,2,donati massimo,messina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4853,2,corini eugenio,palermo,C,11.0,8.0,3.0,0.0,0.0,0.0,0.0,2005-06
7115,2,serginho dos santos,milan,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
