Sqd,Giocatore,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP,yyss
bologna,Mbaye I.,D,6.0,25.0,1.0,,3.0,1.0,,,,,5.71,5.71,,2017-18
torino,Valdifiori M.,C,4.0,13.0,,,1.0,,,,,,5.5,5.5,-0.5,2017-18
roma,Perotti D.,T (C),18.0,25.0,5.0,3.0,,,4.0,2.0,2.0,,6.09,6.69,14.5,2017-18
sampdoria,Barreto E.,C,8.0,27.0,1.0,,4.0,1.0,,,,,5.58,5.64,1.0,2017-18
sassuolo,Missiroli S.,C,11.0,34.0,1.0,1.0,4.0,,,,,,5.74,5.83,3.0,2017-18
crotone,Festa M.,P,1.0,,,,,,,,,,,6.0,,2017-18
bologna,Donsah G.,C,9.0,28.0,2.0,1.0,3.0,,,,,,6.06,6.34,7.5,2017-18
benevento,Lombardi C.,T (A),6.0,17.0,,2.0,3.0,,,,,,5.82,5.86,0.5,2017-18
torino,Barreca A.,D,4.0,8.0,,,,1.0,,,,,5.44,5.39,-1.0,2017-18
genoa,Lamanna E.,P,2.0,1.0,,,,,,,,,6.5,5.75,-1.0,2017-18
spal,Costa F.,D,6.0,23.0,,,4.0,,,,,,5.8,5.7,-2.0,2017-18
napoli,Leandrinho,T (A),2.0,,,,,,,,,,,,,2017-18
inter,Karamoh Y.,T (A),9.0,15.0,1.0,,,,,,,,6.23,6.5,3.5,2017-18
atalanta,Haas N.,C,4.0,7.0,,,,,,,,,5.75,5.8,,2017-18
juventus,Marchisio C.,C,7.0,15.0,,1.0,1.0,,,,,,5.92,5.96,0.5,2017-18
genoa,Lazovic D.,C,7.0,21.0,,1.0,2.0,,,,,,5.7,5.71,,2017-18
hellas-verona,Matos R.,T (A),4.0,18.0,,,1.0,,,,,,5.53,5.55,-0.5,2017-18
sassuolo,Consigli A.,P,17.0,36.0,,,2.0,,,,,1.0,6.24,4.74,-55.0,2017-18
hellas-verona,Verde D.,T (A),10.0,29.0,2.0,3.0,,,,,,,5.76,6.1,10.0,2017-18
genoa,Laxalt D.,C,14.0,31.0,3.0,1.0,2.0,,,,,,5.95,6.33,12.0,2017-18
genoa,Landre L.,D,2.0,,,,,,,,,,,6.0,,2017-18
udinese,Danilo L.,D,9.0,30.0,1.0,,8.0,,,,,,5.85,5.81,-1.5,2017-18
torino,Borello G.,T (A),1.0,,,,,,,,,,,6.0,,2017-18
genoa,Rossi G.,A,11.0,9.0,1.0,,,,,,,,6.07,6.44,3.0,2017-18
inter,Skriniar M.,D,17.0,37.0,4.0,,1.0,,,,,,6.27,6.67,15.5,2017-18
fiorentina,Olivera M.,D,3.0,7.0,,,1.0,,,,,,5.07,5.12,-0.5,2017-18
napoli,Diawara A.,C,8.0,18.0,1.0,1.0,1.0,,,,,,6.11,6.46,5.0,2017-18
cagliari,Lykogiannis C.,D,6.0,10.0,,2.0,2.0,,,,,,5.88,6.06,1.5,2017-18
hellas-verona,Felicioli G.,D,3.0,5.0,,,,,,,,,5.67,5.75,,2017-18
roma,Jesus J.,D,4.0,22.0,,,4.0,1.0,,,,,5.7,5.57,-3.0,2017-18
lazio,Lulic S.,C,16.0,34.0,3.0,5.0,6.0,1.0,1.0,1.0,,,5.98,6.31,11.0,2017-18
atalanta,Petagna A.,A,14.0,27.0,4.0,3.0,5.0,,,,,,5.98,6.41,12.5,2017-18
milan,Kessie F.,C,18.0,36.0,5.0,1.0,9.0,,4.0,3.0,1.0,,6.03,6.39,13.5,2017-18
cagliari,Ceppitelli L.,D,12.0,26.0,3.0,,6.0,,,,,,5.9,6.24,8.5,2017-18
napoli,Machach Z.,C,4.0,,,,,,,,,,,,,2017-18
sassuolo,Mota Carvalho D.,A,3.0,,,,,,,,,,,6.0,,2017-18
hellas-verona,Petkovic B.,A,6.0,23.0,,2.0,4.0,,,,,,5.62,5.64,,2017-18
genoa,Izzo A.,D,5.0,16.0,1.0,,2.0,,,,,,5.91,6.12,3.5,2017-18
spal,Konate P.,D,4.0,,,,,,,,,,,,,2017-18
milan,Rodriguez R.,D,10.0,33.0,1.0,,3.0,1.0,2.0,1.0,1.0,,5.79,5.76,-1.0,2017-18
genoa,Bertolacci A.,C,11.0,33.0,1.0,,6.0,1.0,,,,,5.91,5.91,,2017-18
atalanta,Hateboer H.,D,9.0,31.0,,,2.0,,,,,,5.92,5.89,-1.0,2017-18
torino,Capone M.,D,1.0,,,,,,,,,,,6.0,,2017-18
genoa,Taarabt A.,T (A),7.0,22.0,2.0,2.0,4.0,1.0,,,,,6.02,6.28,6.0,2017-18
fiorentina,Gil Dias B.,T (C),9.0,26.0,2.0,1.0,1.0,,,,,,5.7,6.04,7.5,2017-18
genoa,Galabinov A.,A,8.0,20.0,3.0,1.0,2.0,,1.0,1.0,,,5.84,6.3,9.0,2017-18
genoa,Rossettini L.,D,4.0,22.0,,,7.0,,,,,,5.59,5.46,-3.5,2017-18
roma,Manolas K.,D,15.0,28.0,2.0,,,,,,,,5.95,6.26,9.0,2017-18
fiorentina,Cerofolini M.,P,1.0,,,,,,,,,,,6.0,,2017-18
bologna,Valencia J.,T (C),2.0,,,,,,,,,,,,,2017-18
torino,Moretti E.,D,7.0,21.0,,,6.0,,,,,,5.98,5.84,-3.0,2017-18
sassuolo,Politano M.,T (A),29.0,35.0,10.0,4.0,1.0,,2.0,,2.0,,6.23,7.12,32.5,2017-18
juventus,Szczesny W.,P,13.0,17.0,,,,,,,,,6.15,5.64,-9.0,2017-18
chievo,Depaoli F.,D,5.0,19.0,,,4.0,,,,,,5.64,5.55,-2.0,2017-18
crotone,Pavlovic D.,D,4.0,10.0,,,,,,,,,5.44,5.5,,2017-18
bologna,Krafth E.,D,3.0,12.0,,,2.0,,,,,,5.21,5.12,-1.0,2017-18
sampdoria,Viviano E.,P,14.0,25.0,,,2.0,,,,,4.0,6.02,4.87,-31.0,2017-18
napoli,Milik A.,A,13.0,15.0,5.0,,2.0,,,,,,6.5,7.58,14.0,2017-18
