,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,1,Berisha E.,Por,P,6.0,-1.0,,,,,,,5.0,Atalanta,35,2017-18
1,8,Gosens R.,Dif,D,6.0,,,,,,,,6.0,Atalanta,35,2017-18
2,3,Toloi R.,Dif,D,6.0,,,,,,,,6.0,Atalanta,35,2017-18
3,21,Castagne T.,Dif,D,7.0,,,,,,1.0,,6.5,Atalanta,35,2017-18
4,5,Masiello A.,Dif,D,6.5,,,,,,,,6.5,Atalanta,35,2017-18
5,13,Caldara M.,Dif,D,6.0,,,,,,1.0,,5.5,Atalanta,35,2017-18
6,11,Freuler R.,Cen,C,6.0,,,,,,1.0,,5.5,Atalanta,35,2017-18
7,4,Cristante B.,Cen,C,7.0,1.0,1.0,,,,,,12.0,Atalanta,35,2017-18
8,15,De Roon M.,Cen,C,6.0,,,,,,,,6.0,Atalanta,35,2017-18
9,10,Gomez A.,Tre,T,6.0,,1.0,,,,,,7.0,Atalanta,35,2017-18
10,0,Barrow M.,Att,A,7.0,1.0,,,,,,,10.0,Atalanta,35,2017-18
11,33,Hateboer H.,Dif,D,6.5,,,,,,,,6.5,Atalanta,35,2017-18
12,6,Palomino J.,Dif,D,,,,,,,,,,Atalanta,35,2017-18
13,72,Ilicic J.,Tre,T,6.5,1.0,,,,,,,10.0,Atalanta,35,2017-18
0,22,Brignoli A.,Por,P,5.5,-3.0,,,,,,,2.5,Benevento,35,2017-18
1,0,Tosca A.,Dif,D,5.5,,,,,,,,5.5,Benevento,35,2017-18
2,6,Djimsiti B.,Dif,D,5.5,,,,,,,,5.5,Benevento,35,2017-18
3,23,Venuti L.,Dif,D,5.0,,1.0,,,,1.0,,5.5,Benevento,35,2017-18
4,0,Sagna B.,Dif,D,6.5,1.0,,,,,,,11.0,Benevento,35,2017-18
5,0,Sandro R.,Cen,C,6.5,,,,,,,,6.5,Benevento,35,2017-18
6,8,Cataldi D.,Cen,C,4.5,,,,,,,1.0,3.5,Benevento,35,2017-18
7,14,Viola N.,Cen,C,7.0,1.0,1.0,,,,,,12.0,Benevento,35,2017-18
8,99,Brignola E.,Tre,T,6.0,,,,,,1.0,,5.5,Benevento,35,2017-18
9,10,Djuricic F.,Tre,T,5.5,,,,,,,,5.5,Benevento,35,2017-18
10,9,Iemmello P.,Att,A,6.0,,,,,,,,6.0,Benevento,35,2017-18
11,18,Gyamfi B.,Dif,D,,,,,,,,,,Benevento,35,2017-18
12,27,Parigini V.,Tre,T,5.5,,,,,,,,5.5,Benevento,35,2017-18
13,11,Coda M.,Att,A,6.5,1.0,,1.0,,,,,9.5,Benevento,35,2017-18
0,83,Mirante A.,Por,P,6.5,-2.0,,,,,,,4.5,Bologna,35,2017-18
1,6,De Maio S.,Dif,D,6.0,1.0,,,,,,,10.5,Bologna,35,2017-18
2,3,Gonzalez G.,Dif,D,5.0,,,,,,,,5.0,Bologna,35,2017-18
3,25,Masina A.,Dif,D,5.5,,,,,,1.0,,5.0,Bologna,35,2017-18
4,15,Mbaye I.,Dif,D,6.0,,,,,,,,6.0,Bologna,35,2017-18
5,2,Nagy A.,Cen,C,5.0,,,,,,,,5.0,Bologna,35,2017-18
6,5,Pulgar E.,Cen,C,5.0,,,,,,,,5.0,Bologna,35,2017-18
7,16,Poli A.,Cen,C,5.5,,,,,,,,5.5,Bologna,35,2017-18
8,7,Orsolini R.,Tre,T,6.0,,,,,,,,6.0,Bologna,35,2017-18
9,24,Palacio R.,Tre,T,6.0,,,,,,,,6.0,Bologna,35,2017-18
10,9,Verdi S.,Tre,T,6.0,,1.0,,,,,,7.0,Bologna,35,2017-18
11,0,Keita C.,Dif,D,,,,,,,,,,Bologna,35,2017-18
12,0,Romagnoli S.,Dif,D,6.0,,,,,,,,6.0,Bologna,35,2017-18
13,0,Avenatti F.,Att,A,5.0,,,,,,,,5.0,Bologna,35,2017-18
0,28,Cragno A.,Por,P,6.5,-4.0,,,,,,,2.5,Cagliari,35,2017-18
1,2,Castan L.,Dif,D,4.0,,,,,,1.0,,3.5,Cagliari,35,2017-18
2,23,Ceppitelli L.,Dif,D,4.5,,,,,,,,4.5,Cagliari,35,2017-18
3,19,Pisacane F.,Dif,D,5.0,,,,,,1.0,,4.5,Cagliari,35,2017-18
4,21,Ionita A.,Cen,C,6.0,,,,,,1.0,,5.5,Cagliari,35,2017-18
5,8,Cigarini L.,Cen,C,5.0,,,,,,,1.0,4.0,Cagliari,35,2017-18
6,18,Barella N.,Cen,C,5.0,,,,,,,,5.0,Cagliari,35,2017-18
7,20,Padoin S.,Cen,C,5.5,,,,,,1.0,,5.0,Cagliari,35,2017-18
8,16,Farago P.,Cen,C,6.0,,1.0,,,,,,7.0,Cagliari,35,2017-18
9,29,Pavoletti L.,Att,A,6.5,1.0,,,,,,,9.5,Cagliari,35,2017-18
10,25,Sau M.,Att,A,5.5,,,,,,,,5.5,Cagliari,35,2017-18
11,3,Andreolli M.,Dif,D,6.0,,,,,,,,6.0,Cagliari,35,2017-18
12,27,Deiola A.,Cen,C,,,,,,,,,,Cagliari,35,2017-18
13,17,Farias D.,Tre,T,6.0,,,,,,1.0,,5.5,Cagliari,35,2017-18
0,70,Sorrentino S.,Por,P,5.5,-4.0,,,,,,,1.5,Chievo,35,2017-18
1,40,Tomovic N.,Dif,D,5.0,,,,,,,,5.0,Chievo,35,2017-18
2,29,Cacciatore F.,Dif,D,5.5,,,,,,,,5.5,Chievo,35,2017-18
3,14,Bani M.,Dif,D,5.0,,,,,,,,5.0,Chievo,35,2017-18
4,27,Depaoli F.,Dif,D,5.0,,,,,,,,5.0,Chievo,35,2017-18
5,19,Castro L.,Cen,C,6.0,,,,,,,,6.0,Chievo,35,2017-18
6,56,Hetemaj P.,Cen,C,5.0,,,,,,1.0,,4.5,Chievo,35,2017-18
7,4,Rigoni N.,Cen,C,5.0,,,,,,,,5.0,Chievo,35,2017-18
8,8,Radovanovic I.,Cen,C,4.0,,,,,,,,4.0,Chievo,35,2017-18
9,20,Pucciarelli M.,Att,A,5.0,,,,,,,,5.0,Chievo,35,2017-18
10,45,Inglese R.,Att,A,6.0,1.0,,,1.0,,,,6.0,Chievo,35,2017-18
11,2,Jaroszynski P.,Dif,D,5.5,,,,,,,,5.5,Chievo,35,2017-18
12,5,Gamberini A.,Dif,D,4.0,,,,,,,,4.0,Chievo,35,2017-18
13,23,Birsa V.,Tre,T,,,1.0,,,,1.0,,6.5,Chievo,35,2017-18
0,1,Cordaz A.,Por,P,6.5,-1.0,,,,,,,5.5,Crotone,35,2017-18
1,37,Faraoni D.,Dif,D,6.0,,,,,,,,6.0,Crotone,35,2017-18
2,87,Martella B.,Dif,D,6.5,,,,,,,,6.5,Crotone,35,2017-18
3,24,Capuano M.,Dif,D,6.5,,,,,,,,6.5,Crotone,35,2017-18
4,7,Ceccherini F.,Dif,D,6.5,,,,,,,,6.5,Crotone,35,2017-18
5,10,Barberis A.,Cen,C,5.5,,,,,,,,5.5,Crotone,35,2017-18
6,38,Mandragora R.,Cen,C,7.0,,,,,,1.0,,6.5,Crotone,35,2017-18
7,9,Nalini A.,Tre,T,7.0,,1.0,,,,,,8.0,Crotone,35,2017-18
8,5,Stoian A.,Tre,T,7.0,,,,,,,,7.0,Crotone,35,2017-18
9,99,Simy,Att,A,7.5,2.0,,,,,,,13.5,Crotone,35,2017-18
10,29,Trotta M.,Att,A,7.5,2.0,,,,,1.0,,13.0,Crotone,35,2017-18
11,93,Ajeti A.,Dif,D,,,,,,,1.0,,,Crotone,35,2017-18
12,31,Sampirisi M.,Dif,D,,,,,,,,,,Crotone,35,2017-18
13,6,Rohden M.,Cen,C,6.0,,,,,,,,6.0,Crotone,35,2017-18
0,57,Sportiello M.,Por,P,6.0,,,,,,,,6.0,Fiorentina,35,2017-18
1,2,Laurini V.,Dif,D,6.0,,,,,,1.0,,5.5,Fiorentina,35,2017-18
2,3,Biraghi C.,Dif,D,7.0,,1.0,,,,,,8.0,Fiorentina,35,2017-18
3,20,Pezzella G.,Dif,D,6.5,,,,,,,,6.5,Fiorentina,35,2017-18
4,4,Milenkovic N.,Dif,D,6.5,,,,,,,,6.5,Fiorentina,35,2017-18
5,24,Benassi M.,Cen,C,6.5,,,,,,,,6.5,Fiorentina,35,2017-18
6,5,Badelj M.,Cen,C,7.0,,,,,,1.0,,6.5,Fiorentina,35,2017-18
7,17,Veretout J.,Cen,C,6.0,,,,,,,,6.0,Fiorentina,35,2017-18
8,25,Chiesa F.,Tre,T,6.5,,1.0,,,,,,7.5,Fiorentina,35,2017-18
9,8,Saponara R.,Tre,T,5.5,,,,,,,,5.5,Fiorentina,35,2017-18
10,9,Simeone G.,Att,A,8.0,3.0,,,,,,,17.0,Fiorentina,35,2017-18
11,76,Gaspar B.,Dif,D,6.0,,,,,,,,6.0,Fiorentina,35,2017-18
12,19,Cristoforo S.,Cen,C,,,,,,,,,,Fiorentina,35,2017-18
13,10,Eysseric V.,Tre,T,6.0,,,,,,1.0,,5.5,Fiorentina,35,2017-18
0,1,Perin M.,Por,P,5.5,-3.0,,,,,,,2.5,Genoa,35,2017-18
1,18,Migliore L.,Dif,D,4.5,,,,,,,,4.5,Genoa,35,2017-18
2,87,Zukanovic E.,Dif,D,4.5,,,,,,,,4.5,Genoa,35,2017-18
3,13,Rossettini L.,Dif,D,4.0,,,,,,1.0,,3.5,Genoa,35,2017-18
4,14,Biraschi D.,Dif,D,5.5,,,,,,,,5.5,Genoa,35,2017-18
5,22,Lazovic D.,Cen,C,6.0,,,,,,,,6.0,Genoa,35,2017-18
6,15,Hiljemark O.,Cen,C,5.5,,,,,,,,5.5,Genoa,35,2017-18
7,8,Bertolacci A.,Cen,C,6.0,,,,,,,,6.0,Genoa,35,2017-18
8,0,Medeiros I.,Tre,T,5.0,,,,,,,,5.0,Genoa,35,2017-18
9,24,Bessa D.,Tre,T,5.5,,,,,,,,5.5,Genoa,35,2017-18
10,10,Lapadula G.,Att,A,5.5,,,,,,,,5.5,Genoa,35,2017-18
11,44,Veloso M.,Cen,C,6.0,1.0,,,,,,,10.0,Genoa,35,2017-18
12,19,Pandev G.,Tre,T,6.0,,,,,,,,6.0,Genoa,35,2017-18
13,49,Rossi G.,Att,A,6.5,,,,,,,,6.5,Genoa,35,2017-18
0,1,Nicolas A.,Por,P,6.0,-3.0,,,,,,,3.0,Hellas Verona,35,2017-18
1,0,Vukovic J.,Dif,D,5.0,,,,,,,,5.0,Hellas Verona,35,2017-18
2,2,Romulo,Dif,D,5.0,,,,,,,,5.0,Hellas Verona,35,2017-18
3,30,Caracciolo A.,Dif,D,5.0,,,,,,1.0,,4.5,Hellas Verona,35,2017-18
4,28,Ferrari A.,Dif,D,5.0,,,,,,,,5.0,Hellas Verona,35,2017-18
5,23,Calvano S.,Cen,C,6.0,,,,,,,,6.0,Hellas Verona,35,2017-18
6,7,Matos R.,Tre,T,5.0,,,,,,,,5.0,Hellas Verona,35,2017-18
7,10,Cerci A.,Tre,T,6.0,,,,,,,,6.0,Hellas Verona,35,2017-18
8,27,Valoti M.,Tre,T,6.5,1.0,,,,,,,10.0,Hellas Verona,35,2017-18
9,23,Fares M.,Tre,T,4.0,,,,,1.0,,,2.0,Hellas Verona,35,2017-18
10,7,Petkovic B.,Att,A,6.0,,1.0,,,,,,7.0,Hellas Verona,35,2017-18
11,8,Fossati M.,Cen,C,5.5,,,,,,,,5.5,Hellas Verona,35,2017-18
12,9,Verde D.,Tre,T,5.0,,,,,,,,5.0,Hellas Verona,35,2017-18
13,21,Lee S.,Tre,T,5.5,,,,,,1.0,,5.0,Hellas Verona,35,2017-18
0,1,Handanovic S.,Por,P,5.0,-3.0,,,,,,,2.0,Inter,35,2017-18
1,7,Cancelo J.,Dif,D,6.0,,1.0,,,,,,7.0,Inter,35,2017-18
2,37,Skriniar M.,Dif,D,6.5,,,,,1.0,,,4.5,Inter,35,2017-18
3,25,Miranda J.,Dif,D,5.5,,,,,,,,5.5,Inter,35,2017-18
