,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,1,Berisha E.,Por,P,7.0,-1.0,,,,,,,6.0,Atalanta,13,2016-17
1,5,Masiello A.,Dif,D,5.0,,,,,,,,5.0,Atalanta,13,2016-17
2,6,Zukanovic E.,Dif,D,6.5,,,,,,,,6.5,Atalanta,13,2016-17
3,13,Caldara M.,Dif,D,7.0,1.0,,,,,,,10.0,Atalanta,13,2016-17
4,3,Toloi R.,Dif,D,6.5,,,,,,1.0,,6.0,Atalanta,13,2016-17
5,4,Gagliardini R.,Cen,C,7.5,,,,,,,,7.5,Atalanta,13,2016-17
6,19,Kessie F.,Cen,C,8.0,1.0,,1.0,,,,,11.0,Atalanta,13,2016-17
7,27,Kurtic J.,Cen,C,5.5,,,,,,,,5.5,Atalanta,13,2016-17
8,10,Gomez A.,Tre,T,8.0,,,,,,,,8.0,Atalanta,13,2016-17
9,37,Spinazzola L.,Tre,T,6.5,,,,,,,,6.5,Atalanta,13,2016-17
10,29,Petagna A.,Att,A,6.5,,,,,,,,6.5,Atalanta,13,2016-17
11,77,Raimondi C.,Dif,D,,,,,,,,,,Atalanta,13,2016-17
12,11,Freuler R.,Cen,C,6.5,,,,,,,,6.5,Atalanta,13,2016-17
13,7,Dalessandro M.,Tre,T,7.5,,,,,,,,7.5,Atalanta,13,2016-17
0,1,Da Costa A.,Por,P,6.5,-1.0,,,,,,,5.5,Bologna,13,2016-17
1,20,Maietta D.,Dif,D,6.5,,,,,,,,6.5,Bologna,13,2016-17
2,25,Masina A.,Dif,D,7.0,,,,,,,,7.0,Bologna,13,2016-17
3,28,Gastaldello D.,Dif,D,4.0,,,,,,1.0,,3.5,Bologna,13,2016-17
4,35,Torosidis V.,Dif,D,6.5,,,,,,,,6.5,Bologna,13,2016-17
5,16,Nagy A.,Cen,C,6.5,,,,,,,,6.5,Bologna,13,2016-17
6,6,Viviani F.,Cen,C,7.5,1.0,1.0,,,,,,11.5,Bologna,13,2016-17
