,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
3456,30,moras,verona,D,2.5,5.0,0.0,-0.5,0.0,0.0,-2.0,0.0,2014-15
1198,30,astori d,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
10130,30,floccari,sassuolo,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
3405,30,mexes,milan,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2014-15
10511,30,insigne,napoli,A,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2014-15
4147,30,rodriguez gui,verona,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
11577,30,sansone n,sassuolo,A,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2014-15
1180,30,astori,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
8270,30,pepe si,juventus,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9039,30,valoti,verona,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
7076,30,jajalo,palermo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
2706,30,gobbi m,parma,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2014-15
11697,30,thereau,udinese,A,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
6582,30,gomez,atalanta,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
1713,30,capelli,cesena,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
6619,30,greco,verona,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
8189,30,palombo a,sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
10085,30,farias,cagliari,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
3382,30,mesbah,sampdoria,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
4527,30,tonelli,empoli,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
4890,30,antonelli,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
5520,30,cascione,cesena,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
3447,30,molinaro,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
8072,30,obiang,sampdoria,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2014-15
