,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
7600,11,rog m,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5686,11,duncan a,sassuolo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1324,11,bonucci l,juventus,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2423,11,gosens r,atalanta,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7641,11,ruiz f,napoli,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7658,11,sandro,genoa,C,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
5713,11,dzemaili b,bologna,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8284,11,antenucci m,spal,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
8264,11,zielinski p,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2406,11,gonzalez g,bologna,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8240,11,zaniolo n,roma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2396,11,goldaniga e,frosinone,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
5752,11,edimilson f,fiorentina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5762,11,ekdal a,sampdoria,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
1715,11,dalbert h,inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8930,11,el shaarawy s,roma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9607,11,milik a,napoli,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
4633,11,beghetto a,frosinone,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6943,11,milinkovic s,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
