,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
11345,22,sansone nic,parma,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
270,22,consigli,atalanta,P,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
1600,22,burdisso,genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
3094,22,lucarelli,parma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
2570,22,frey,chievo,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
10357,22,klose,lazio,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
11332,22,sansone n,sassuolo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
9674,22,destro,roma,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
10379,22,konate',genoa,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
5108,22,barrientos,catania,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2013-14
7877,22,matuzalem,genoa,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
4391,22,rosi,sassuolo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
5869,22,christodoulopoulos,bologna,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
3124,22,lucchini,atalanta,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
11252,22,robinho s,milan,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
2491,22,emerson,livorno,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
1653,22,caceres,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
9578,22,cerri,parma,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
975,22,albertazzi,verona,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
2469,22,drame',chievo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
6213,22,diamanti,bologna,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
11234,22,robinho,milan,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
366,22,de sanctis,roma,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
8591,22,radovanovic,chievo,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
10474,22,llorente,juventus,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
7757,22,marchionni,parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
5009,22,aquilani,fiorentina,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
1678,22,campagnaro,inter,D,6.5,5.5,0.0,0.0,0.0,0.0,0.0,1.0,2013-14
9559,22,cassano,parma,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
7012,22,ilicic,fiorentina,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
5587,22,brighi,sassuolo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
389,22,frison,catania,P,1.5,5.0,-3.0,-0.5,0.0,0.0,0.0,0.0,2013-14
3213,22,maksimovic,torino,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
987,22,albiol,napoli,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
5093,22,badu,udinese,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
5547,22,botta,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
6958,22,honda,milan,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
290,22,curci,bologna,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2013-14
5508,22,bonaventura,atalanta,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
