,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,ass,yyss
5386,25,castrovilli g,fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4238,25,soumaoro a,genoa,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7748,25,rabiot a,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8205,25,strefezza g,spal,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
6170,25,hernani j,parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3999,25,rugani d,juventus,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
740,25,szczesny w,juventus,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
5373,25,castro l,spal,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10433,25,politano m,napoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5231,25,brugman g,parma,C,,,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1734,25,danilo l,bologna,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10008,25,martinez l,inter,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2029,25,di lorenzo g,napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2838,25,kyriakopoulos g,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5605,25,cuadrado j,juventus,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
11430,25,lopez,brescia,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6411,25,juwara m,bologna,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9751,25,kalinic n,roma,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6477,25,kluivert j,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7475,25,pasalic m,atalanta,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7935,25,ruiz f,napoli,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
9065,25,caicedo f,lazio,A,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
66,25,berisha e,spal,P,5.0,7.0,-2.0,0.0,0.0,0.0,0.0,0.0,2019-20
11570,25,pioli,milan,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6719,25,leiva l,lazio,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
11650,25,sarri,juventus,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7508,25,pellegrini lo,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4861,25,behrami v,genoa,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5564,25,cristante b,roma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3617,25,pellegrini lu,cagliari,D,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
6199,25,iago falque,genoa,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6766,25,leris m,sampdoria,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5070,25,bjarnason b,brescia,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9644,25,ibrahimovic z,milan,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9786,25,la gumina a,sampdoria,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5169,25,bourabia m,sassuolo,C,7.0,6.0,3.0,0.0,0.0,0.0,-2.0,0.0,2019-20
8906,25,balotelli m,brescia,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9702,25,insigne l,napoli,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
