,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,57,Sportiello M.,Por,P,6.0,-1.0,,,,,,,5.0,Atalanta,13,2015-16
1,6,Bellini G.,Dif,D,5.0,,,,,,,,5.0,Atalanta,13,2015-16
2,2,Stendardo G.,Dif,D,6.0,,,,,,1.0,,5.5,Atalanta,13,2015-16
3,29,Paletta G.,Dif,D,5.5,,,,,,,,5.5,Atalanta,13,2015-16
4,5,Masiello A.,Dif,D,5.0,,,,,,,,5.0,Atalanta,13,2015-16
5,15,De Roon M.,Cen,C,5.0,,,,,,1.0,,4.5,Atalanta,13,2015-16
6,21,Cigarini L.,Cen,C,5.0,,,,,,,,5.0,Atalanta,13,2015-16
7,17,Carmona C.,Cen,C,5.0,,,,,,,,5.0,Atalanta,13,2015-16
8,10,Gomez A.,Tre,T,6.0,,,,,,,,6.0,Atalanta,13,2015-16
9,11,Moralez M.,Tre,T,6.5,,,,,,,,6.5,Atalanta,13,2015-16
10,19,Denis G.,Att,A,5.0,,,,,,,,5.0,Atalanta,13,2015-16
11,28,Brivio D.,Dif,D,5.0,,,,,,,,5.0,Atalanta,13,2015-16
12,77,Raimondi C.,Dif,D,6.0,,,,,,,,6.0,Atalanta,13,2015-16
13,7,Dalessandro M.,Tre,T,,,,,,,,,,Atalanta,13,2015-16
0,83,Mirante A.,Por,P,6.0,-2.0,,,,,1.0,,3.5,Bologna,13,2015-16
1,28,Gastaldello D.,Dif,D,6.5,,,,,,1.0,,6.0,Bologna,13,2015-16
2,20,Maietta D.,Dif,D,6.0,,,,,,1.0,,5.5,Bologna,13,2015-16
3,25,Masina A.,Dif,D,7.0,1.0,,,,,,,10.0,Bologna,13,2015-16
4,13,Rossettini L.,Dif,D,6.0,,1.0,,,,,,7.0,Bologna,13,2015-16
5,30,Donsah G.,Cen,C,5.5,,,,,,1.0,,5.0,Bologna,13,2015-16
6,21,Diawara A.,Cen,C,6.5,,,,,,,,6.5,Bologna,13,2015-16
7,33,Brighi M.,Cen,C,6.0,,,,,,,,6.0,Bologna,13,2015-16
8,17,Giaccherini E.,Tre,T,7.0,,,,,,,,7.0,Bologna,13,2015-16
9,26,Mounier A.,Tre,T,5.0,,,,,,,,5.0,Bologna,13,2015-16
10,10,Destro M.,Att,A,7.0,1.0,,1.0,,,1.0,,9.5,Bologna,13,2015-16
11,8,Taider S.,Cen,C,6.0,,,,,,,,6.0,Bologna,13,2015-16
12,22,Rizzo L.,Cen,C,6.0,,,,,,,,6.0,Bologna,13,2015-16
13,11,Mancosu M.,Att,A,,,,,,,,,5.5,Bologna,13,2015-16
0,27,Belec V.,Por,P,6.0,-2.0,,,,,,,4.0,Carpi,13,2015-16
1,18,Bubnjic I.,Dif,D,5.0,,,,,,,,5.0,Carpi,13,2015-16
2,34,Gabriel Silva A.,Dif,D,5.0,,,,,,1.0,,4.5,Carpi,13,2015-16
3,3,Letizia G.,Dif,D,7.0,,,,,,,,7.0,Carpi,13,2015-16
4,5,Zaccardo C.,Dif,D,5.0,,,,,,1.0,,4.5,Carpi,13,2015-16
5,8,Bianco R.,Cen,C,6.0,,,,,,,,6.0,Carpi,13,2015-16
6,20,Lollo L.,Cen,C,6.0,,,,,,1.0,,5.5,Carpi,13,2015-16
7,19,Pasciuti L.,Cen,C,5.5,,,,,,,,5.5,Carpi,13,2015-16
8,39,Marrone L.,Cen,C,5.5,,,,,,,,5.5,Carpi,13,2015-16
