,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
8721,28,CIOFANI D,Frosinone,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9907,28,PETAGNA A,Spal,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
2755,28,KOULIBALY K,Napoli,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6229,28,IONITA A,Cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5202,28,CATALDI D,Lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2801,28,LARSEN S,Udinese,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5211,28,CHIBSAH R,Frosinone,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9038,28,GABBIADINI M,Sampdoria,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2018-19
4590,28,BASELLI D,Torino,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
3510,28,PATRIC,Lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8989,28,FARIAS D,Empoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2581,28,IACOPONI S,Parma,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2575,28,HYSAJ E,Napoli,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4812,28,BERNARDESCHI F,Juventus,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8901,28,DZEKO E,Roma,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
6335,28,KESSIE F,Milan,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4878,28,BIABIANY J,Parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5093,28,BROZOVIC M,Inter,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
2476,28,HATEBOER H,Atalanta,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8861,28,DYBALA P,Juventus,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10058,28,POLITANO M,Inter,A,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
8849,28,DJORDJEVIC F,Chievo,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2378,28,GOLDANIGA E,Frosinone,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
10065,28,PUCCIARELLI M,Chievo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4967,28,BOGA J,Sassuolo,C,8.5,5.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
2427,28,GOSENS R,Atalanta,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4776,28,BERENGUER A,Torino,C,6.0,5.5,0.0,-0.5,0.0,0.0,0.0,1.0,2018-19
8238,28,ZANIOLO N,Roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8930,28,EL SHAARAWY S,Roma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5152,28,CANDREVA A,Inter,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8754,28,CUTRONE P,Milan,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2691,28,KARSDORP R,Roma,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8263,28,ZIELINSKI P,Napoli,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
2674,28,JESUS J,Roma,D,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
4690,28,BENASSI M,Fiorentina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5125,28,CALHANOGLU H,Milan,C,6.5,5.5,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
6279,28,JANKTO J,Sampdoria,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2661,28,JAROSZYNSKI P,Chievo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6288,28,JOAO PEDRO,Cagliari,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
2651,28,IZZO A,Torino,D,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
4725,28,BENNACER I,Empoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
