,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,57,Sportiello M.,Por,P,6.5,,,,,,,,6.5,Atalanta,10,2014-15
1,2,Stendardo G.,Dif,D,6.5,,,,,,1.0,,6.0,Atalanta,10,2014-15
2,22,Zappacosta D.,Dif,D,5.5,,,,,,,,5.5,Atalanta,10,2014-15
3,93,Drame' B.,Dif,D,5.0,,,,,,1.0,,4.5,Atalanta,10,2014-15
4,33,Cherubin N.,Dif,D,6.0,,,,,,,,6.0,Atalanta,10,2014-15
5,20,Biava G.,Dif,D,6.0,,,,,,,,6.0,Atalanta,10,2014-15
6,8,Migliaccio G.,Cen,C,6.0,,,,,,1.0,,5.5,Atalanta,10,2014-15
7,17,Carmona C.,Cen,C,6.0,,,,,,1.0,,5.5,Atalanta,10,2014-15
8,16,Baselli D.,Cen,C,6.0,,,,,,1.0,,5.5,Atalanta,10,2014-15
9,19,Denis G.,Att,A,5.5,,,,,,,,5.5,Atalanta,10,2014-15
10,99,Boakye R.,Att,A,5.0,,,,,,,,5.0,Atalanta,10,2014-15
11,3,Del G.,Dif,D,6.0,,,,,,,,6.0,Atalanta,10,2014-15
12,77,Raimondi C.,Dif,D,,,,,,,,,,Atalanta,10,2014-15
13,9,Bianchi R.,Att,A,5.5,,,,,,,,5.5,Atalanta,10,2014-15
0,27,Cragno A.,Por,P,6.0,-4.0,,,,,,,2.0,Cagliari,10,2014-15
1,3,Murru N.,Dif,D,6.0,,,,,,,,6.0,Cagliari,10,2014-15
2,15,Rossettini L.,Dif,D,5.5,,,,,,,,5.5,Cagliari,10,2014-15
3,32,Ceppitelli L.,Dif,D,4.5,,,,,,1.0,,4.0,Cagliari,10,2014-15
4,14,Pisano F.,Dif,D,5.0,,,,,,,,5.0,Cagliari,10,2014-15
5,5,Conti D.,Cen,C,5.0,,,,,,1.0,,4.5,Cagliari,10,2014-15
6,7,Cossu A.,Cen,C,6.0,,,,,,,,6.0,Cagliari,10,2014-15
7,4,Crisetig L.,Cen,C,5.5,,,,,,1.0,,5.0,Cagliari,10,2014-15
8,20,Ekdal A.,Cen,C,6.0,,,,,,,,6.0,Cagliari,10,2014-15
9,23,Ibarbo V.,Att,A,6.0,,,,,,,1.0,5.0,Cagliari,10,2014-15
10,25,Sau M.,Att,A,5.5,,,,,,,,5.5,Cagliari,10,2014-15
11,24,Benedetti S.,Dif,D,6.5,,1.0,,,,,,7.5,Cagliari,10,2014-15
12,21,Balzano A.,Dif,D,5.5,,,,,,,,5.5,Cagliari,10,2014-15
13,10,Joao Pedro G.,Cen,C,6.0,1.0,,,,,,,9.0,Cagliari,10,2014-15
0,30,Agliardi F.,Por,P,5.5,-1.0,,,,,,,4.5,Cesena,10,2014-15
1,14,Volta M.,Dif,D,6.0,,,,,,,,6.0,Cesena,10,2014-15
2,33,Renzetti F.,Dif,D,6.0,,,,,,,,6.0,Cesena,10,2014-15
3,6,Lucchini S.,Dif,D,6.0,,,,,,,,6.0,Cesena,10,2014-15
4,25,Capelli D.,Dif,D,6.0,,,,,,,,6.0,Cesena,10,2014-15
5,8,De Feudis G.,Cen,C,6.0,,,,,,,,6.0,Cesena,10,2014-15
6,5,Giorgi L.,Cen,C,6.0,,,,,,,,6.0,Cesena,10,2014-15
7,7,Carbonero C.,Cen,C,5.5,,,,,,,,5.5,Cesena,10,2014-15
8,34,Cascione E.,Cen,C,6.5,,,,,,,,6.5,Cesena,10,2014-15
9,27,Hugo Almeida,Att,A,6.0,,1.0,,,,,,7.0,Cesena,10,2014-15
10,92,Defrel G.,Att,A,6.5,1.0,,,,,1.0,,9.0,Cesena,10,2014-15
11,15,Krajnc L.,Dif,D,5.0,,,,,,,,5.0,Cesena,10,2014-15
12,3,Mazzotta A.,Dif,D,5.0,,,,,,,,5.0,Cesena,10,2014-15
13,18,Djuric M.,Att,A,5.0,,,,,,,,5.0,Cesena,10,2014-15
0,1,Bizzarri A.,Por,P,6.5,,,,,,,,6.5,Chievo,10,2014-15
1,34,Biraghi C.,Dif,D,5.0,,,,,,,,5.0,Chievo,10,2014-15
2,3,Dainelli D.,Dif,D,6.0,,,,,,,,6.0,Chievo,10,2014-15
3,21,Frey N.,Dif,D,6.5,,,,,,,,6.5,Chievo,10,2014-15
4,87,Zukanovic E.,Dif,D,6.0,,,,,,,,6.0,Chievo,10,2014-15
5,23,Birsa V.,Cen,C,6.5,,,,,,,,6.5,Chievo,10,2014-15
6,24,Schelotto E.,Cen,C,5.0,,,,,,,,5.0,Chievo,10,2014-15
7,8,Radovanovic I.,Cen,C,5.0,,,,,,,,5.0,Chievo,10,2014-15
8,56,Hetemaj P.,Cen,C,6.0,,,,,,,,6.0,Chievo,10,2014-15
9,69,Meggiorini R.,Att,A,5.5,,,,,,1.0,,5.0,Chievo,10,2014-15
10,43,Paloschi A.,Att,A,5.0,,,,,,,,5.0,Chievo,10,2014-15
11,14,Cofie I.,Cen,C,5.0,,,,,,,,5.0,Chievo,10,2014-15
12,63,Bellomo N.,Cen,C,5.0,,,,,,,,5.0,Chievo,10,2014-15
0,28,Bassi D.,Por,P,5.5,-2.0,,,,,,,3.5,Empoli,10,2014-15
1,26,Tonelli L.,Dif,D,5.0,,,,,,,1.0,4.0,Empoli,10,2014-15
2,24,Rugani D.,Dif,D,6.0,,,,,,,,6.0,Empoli,10,2014-15
3,21,Mario Rui,Dif,D,6.0,,,,,,,,6.0,Empoli,10,2014-15
4,2,Laurini V.,Dif,D,5.5,,,,,,,,5.5,Empoli,10,2014-15
5,6,Valdifiori M.,Cen,C,5.0,,,,,,,,5.0,Empoli,10,2014-15
6,88,Vecino M.,Cen,C,6.0,,,,,,,,6.0,Empoli,10,2014-15
7,27,Zielinski P.,Cen,C,6.0,,,,,,,,6.0,Empoli,10,2014-15
8,20,Pucciarelli M.,Cen,C,5.5,,,,,,,,5.5,Empoli,10,2014-15
9,11,Croce D.,Cen,C,5.5,,,,,,,,5.5,Empoli,10,2014-15
10,7,Maccarone M.,Att,A,5.0,,,,,,,,5.0,Empoli,10,2014-15
11,23,Hysaj E.,Dif,D,5.5,,,,,,1.0,,5.0,Empoli,10,2014-15
12,10,Tavano F.,Att,A,6.0,,,,,,,,6.0,Empoli,10,2014-15
13,9,Mchedlidze L.,Att,A,5.5,,,,,,,,5.5,Empoli,10,2014-15
0,1,Neto N.,Por,P,5.5,-3.0,,,,,,,2.5,Fiorentina,10,2014-15
1,28,Alonso M.,Dif,D,6.0,,,,,,,,6.0,Fiorentina,10,2014-15
