,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,57,Sportiello M.,Por,P,6.0,-2.0,,,,,1.0,,3.5,Atalanta,14,2014-15
1,2,Stendardo G.,Dif,D,6.5,1.0,,,,,,,9.5,Atalanta,14,2014-15
2,3,Del G.,Dif,D,6.0,,,,,,,,6.0,Atalanta,14,2014-15
3,33,Cherubin N.,Dif,D,5.0,,,,,,,,5.0,Atalanta,14,2014-15
4,22,Zappacosta D.,Dif,D,5.0,,,,,,,,5.0,Atalanta,14,2014-15
5,29,Benalouane Y.,Dif,D,7.0,1.0,,,,,1.0,,9.5,Atalanta,14,2014-15
6,10,Gomez A.,Cen,C,5.0,,,,,,,,5.0,Atalanta,14,2014-15
7,11,Moralez M.,Cen,C,7.0,1.0,,,,,,,10.0,Atalanta,14,2014-15
8,21,Cigarini L.,Cen,C,6.5,,1.0,,,,,,7.5,Atalanta,14,2014-15
9,17,Carmona C.,Cen,C,6.0,,,,,,1.0,,5.5,Atalanta,14,2014-15
10,19,Denis G.,Att,A,5.0,,,,,,,,5.0,Atalanta,14,2014-15
11,8,Migliaccio G.,Cen,C,6.0,,,,,,,,6.0,Atalanta,14,2014-15
12,7,D'alessandro M.,Cen,C,6.0,,,,,,,,6.0,Atalanta,14,2014-15
13,9,Bianchi R.,Att,A,6.0,,,,,,,,6.0,Atalanta,14,2014-15
0,27,Cragno A.,Por,P,5.5,-2.0,,,,,,,3.5,Cagliari,14,2014-15
1,15,Rossettini L.,Dif,D,5.0,,,,,,,,5.0,Cagliari,14,2014-15
2,21,Balzano A.,Dif,D,5.5,,,,,,,,5.5,Cagliari,14,2014-15
3,14,Pisano F.,Dif,D,4.5,,,,,,,,4.5,Cagliari,14,2014-15
4,24,Benedetti S.,Dif,D,5.0,,,,,,1.0,,4.5,Cagliari,14,2014-15
5,4,Crisetig L.,Cen,C,5.0,,,,,,,,5.0,Cagliari,14,2014-15
6,20,Ekdal A.,Cen,C,5.0,,,,,,1.0,,4.5,Cagliari,14,2014-15
7,7,Cossu A.,Cen,C,5.0,,,,,,1.0,,4.5,Cagliari,14,2014-15
8,5,Conti D.,Cen,C,5.0,,,,,,1.0,,4.5,Cagliari,14,2014-15
9,17,Farias D.,Att,A,5.0,,,,,,1.0,,4.5,Cagliari,14,2014-15
10,23,Ibarbo V.,Att,A,6.5,,,,,,1.0,,6.0,Cagliari,14,2014-15
11,8,Avelar D.,Dif,D,5.0,,,,,,,,5.0,Cagliari,14,2014-15
12,30,Donsah G.,Cen,C,5.5,,,,,,,,5.5,Cagliari,14,2014-15
13,9,Longo S.,Att,A,5.0,,,,,,,,5.0,Cagliari,14,2014-15
0,1,Leali N.,Por,P,5.0,-3.0,,,,,,,2.0,Cesena,14,2014-15
1,25,Capelli D.,Dif,D,4.5,,,,,,,,4.5,Cesena,14,2014-15
2,14,Volta M.,Dif,D,5.0,,,,,,,,5.0,Cesena,14,2014-15
3,33,Renzetti F.,Dif,D,5.5,,,,,,1.0,,5.0,Cesena,14,2014-15
4,6,Lucchini S.,Dif,D,5.0,,,,,,1.0,,4.5,Cesena,14,2014-15
5,8,De Feudis G.,Cen,C,6.0,,,,,,1.0,,5.5,Cesena,14,2014-15
6,34,Cascione E.,Cen,C,5.0,,,,,,,,5.0,Cesena,14,2014-15
7,11,Brienza F.,Cen,C,5.0,,,,,,,,5.0,Cesena,14,2014-15
8,5,Giorgi L.,Cen,C,6.0,,,,,,1.0,,5.5,Cesena,14,2014-15
9,92,Defrel G.,Att,A,7.0,2.0,,,,,1.0,,12.5,Cesena,14,2014-15
10,18,Djuric M.,Att,A,6.0,,1.0,,,,,,7.0,Cesena,14,2014-15
11,23,Tabanelli A.,Cen,C,,,,,,,,,,Cesena,14,2014-15
12,9,Rodriguez A.,Att,A,6.0,,,,,,,,6.0,Cesena,14,2014-15
13,27,Hugo Almeida,Att,A,,,,,,,,,,Cesena,14,2014-15
0,1,Bizzarri A.,Por,P,6.0,,,,,,,,6.0,Chievo,14,2014-15
1,21,Frey N.,Dif,D,6.5,,,,,,1.0,,6.0,Chievo,14,2014-15
2,87,Zukanovic E.,Dif,D,6.0,,1.0,,,,1.0,,6.5,Chievo,14,2014-15
3,5,Gamberini A.,Dif,D,6.0,,,,,,,,6.0,Chievo,14,2014-15
4,12,Cesar B.,Dif,D,6.5,,,,,,,,6.5,Chievo,14,2014-15
5,23,Birsa V.,Cen,C,7.5,,,,,,,,7.5,Chievo,14,2014-15
6,8,Radovanovic I.,Cen,C,6.5,,,,,,,,6.5,Chievo,14,2014-15
7,13,Izco M.,Cen,C,7.0,,,,,,1.0,,6.5,Chievo,14,2014-15
8,56,Hetemaj P.,Cen,C,5.5,,,,,,,,5.5,Chievo,14,2014-15
