,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
8864,10,borriello,roma,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
5234,10,diamanti,brescia,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8222,10,sosa,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5185,10,delvecchio,catania,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2827,10,mandelli,chievo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5259,10,donadel,fiorentina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2844,10,mantovani,chievo,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
8165,10,simplicio,roma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
6956,10,migliaccio,palermo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4729,10,busce',bologna,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5178,10,della rocca,bologna,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4977,10,conti,cagliari,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
4768,10,candreva,parma,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2709,10,lucarelli a,parma,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
6877,10,mesbah,lecce,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5572,10,gattuso,milan,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
10605,10,zarate,lazio,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
6737,10,marques,parma,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
10493,10,toni,genoa,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8326,10,tissone,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
10345,10,quagliarella,juventus,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
10375,10,robinho,milan,A,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
3109,10,nagatomo,cesena,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5037,10,cordova,brescia,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
3100,10,munoz,palermo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
6831,10,menez,roma,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8447,10,veloso,genoa,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8471,10,vives,lecce,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5006,10,coppola m,lecce,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8498,10,yebda,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
7195,10,nainggolan,cagliari,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
10466,10,thereau,chievo,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
6809,10,mauri,lazio,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8563,10,zanetti j,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
6897,10,mesto,genoa,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
10420,10,rodriguez de miguel,cesena,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8743,10,barreto ds,bari,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
8654,10,acquafresca,cagliari,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4840,10,casarini,bologna,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5068,10,cossu,cagliari,C,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2010-11
8790,10,boakye,genoa,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8404,10,vargas,fiorentina,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
7145,10,munari,lecce,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4881,10,cerci,fiorentina,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
8620,10,zuniga,napoli,C,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2010-11
8356,10,valiani,parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
10448,10,rudolf,genoa,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5497,10,foggia,lazio,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
5077,10,coutinho,inter,C,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
8196,10,sneijder,inter,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2943,10,masiello a,bari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
7063,10,morrone,parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5409,10,felipe melo,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2988,10,mexes,roma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4798,10,carboni,catania,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8833,10,bojinov,parma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8173,10,sissoko,juventus,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
5145,10,de rossi,roma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2760,10,lucchini,sampdoria,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5301,10,donati m,bari,C,7.0,6.5,0.0,-0.5,0.0,0.0,0.0,1.0,2010-11
5123,10,d'alessandro,bari,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
3064,10,motta,juventus,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
8732,10,baptista,roma,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2768,10,lucio,inter,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5530,10,gargano,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2807,10,maicon,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
10406,10,rocchi,lazio,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4947,10,constant,chievo,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5471,10,flamini,milan,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
8597,10,zuculini,genoa,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
8799,10,bogdani,cesena,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
2913,10,martinez g,brescia,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
10586,10,vucinic,roma,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2010-11
9688,10,kutuzov,bari,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
4708,10,budel,brescia,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
9820,10,mascara,catania,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
7512,10,pepe,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4062,10,zapata,udinese,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
