,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
10045,29,zarate mauro,fiorentina,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2015-16
9994,29,vazquez franco,palermo,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
9964,29,trotta marcello,sassuolo,A,5.5,,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
10025,29,zapata duvan,udinese,A,6.5,6.0,0.0,-0.5,0.0,0.0,0.0,1.0,2015-16
9880,29,thereau cyril,udinese,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
9913,29,toni luca,verona,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
8263,29,ciofani daniel,frosinone,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
9855,29,siligardi luca,verona,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
9027,29,keita balde' diao,lazio,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
8995,29,kalinic nikola,fiorentina,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
7637,29,suso,genoa,C,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2015-16
8928,29,insigne lorenzo,napoli,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
7647,29,tachtsidis panagiotis,genoa,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2015-16
8104,29,bernardeschi federico,fiorentina,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
8863,29,immobile ciro,torino,A,13.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,2015-16
7663,29,taider saphir,bologna,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
8781,29,higuain gonzalo,napoli,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2015-16
8141,29,borriello marco,atalanta,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
8699,29,gilardino alberto,palermo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
8656,29,gakpe' serge,atalanta,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
