code,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
9329,1,L  ALBERTO ,Lazio,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4240,1,VICARI F,Spal,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9341,1,LA GUMINA A ,Empoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2464,1,HATEBOER H,Atalanta,D,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
9365,1,LASAGNA K ,Udinese,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
951,1,ANDERSEN J,Sampdoria,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9428,1,MACHIS D ,Udinese,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6103,1,HETEMAJ P,Chievo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
939,1,ALVES B,Parma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6087,1,HAMSIK M,Napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9447,1,MANDZUKIC M ,Juventus,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9462,1,MARTINEZ L ,Inter,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9484,1,MATARESE L ,Frosinone,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9322,1,KOWNACKI D,Sampdoria,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9158,1,INGLESE R,Parma,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
9898,1,PERICA S ,Frosinone,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
9920,1,PETAGNA A ,Spal,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3117,1,MARUSIC A,Lazio,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5627,1,DIAWARA A,Napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10362,1,SOTTIL R,Fiorentina,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
452,1,RADU I,Genoa,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19
2787,1,KRAJNC L,Frosinone,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10413,1,STEPINSKI M,Chievo,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
10415,1,SUSO J,Milan,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
2794,1,LARSEN J,Udinese,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3681,1,RASMUSSEN J,Empoli,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
10456,1,TEODORCZYK L,Udinese,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5579,1,DEPAOLI F,Chievo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3981,1,SAMIR C,Udinese,D,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
10521,1,ZAPATA D,Atalanta,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10326,1,SIMEONE G,Fiorentina,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
393,1,OLSEN R,Roma,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5533,1,DE ROON M,Atalanta,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10577,1,ALLEGRI,Juventus,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
