,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
9528,9,MEGGIORINI R,Chievo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10863,9,GASPERINI,Atalanta,0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3526,9,PELLEGRINI Lu,Roma,D,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
7503,9,RAMIREZ G,Sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2562,9,HYSAJ E,Napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3035,9,MANCINI G,Atalanta,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
1751,9,DANILO L,Bologna,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4145,9,TOLOI R,Atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5600,9,DI FRANCESCO F,Sassuolo,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
1408,9,CALABRESI A,Bologna,D,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2018-19
3184,9,MBAYE I,Bologna,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
1916,9,DEPAOLI F,Chievo,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
869,9,ALBIOL R,Napoli,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
3694,9,RODRIGUEZ R,Milan,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5049,9,BRADARIC F,Cagliari,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
722,9,SZCZESNY W,Juventus,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
10300,9,SILIGARDI L,Parma,A,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
655,9,SPORTIELLO M,Frosinone,P,3.0,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,2018-19
5587,9,DESSENA D,Cagliari,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8650,9,CERRI A,Cagliari,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10422,9,SUSO J,Milan,A,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
4497,9,BAKAYOKO T,Milan,C,,,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
7103,9,PADOIN S,Cagliari,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
122,9,CRAGNO A,Cagliari,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
3224,9,MILENKOVIC N,Fiorentina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
545,9,SIRIGU S,Torino,P,3.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19
7669,9,SANDRO,Genoa,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10396,9,STEPINSKI M,Chievo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2814,9,LARSEN S,Udinese,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
8731,9,CUTRONE P,Milan,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5371,9,CRISTANTE B,Roma,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4504,9,BARAK A,Udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9163,9,INGLESE R,Parma,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7539,9,RIGONI N,Chievo,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7342,9,PJANIC M,Juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9127,9,IMMOBILE C,Lazio,A,10.5,6.5,3.0,0.0,0.0,0.0,0.0,1.0,2018-19
10005,9,PINAMONTI A,Frosinone,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
898,9,ALEX SANDRO ,Juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8527,9,CAMPBELL J,Frosinone,A,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
7033,9,NAINGGOLAN R,Inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9498,9,MATRI A,Sassuolo,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5657,9,DJURICIC F,Sassuolo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4297,9,ZAMPANO F,Frosinone,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8536,9,CAPRARI G,Sampdoria,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3085,9,MARCANO I,Roma,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
616,9,SORRENTINO S,Chievo,P,1.0,6.0,-5.0,0.0,0.0,0.0,0.0,0.0,2018-19
9767,9,PALACIO R,Bologna,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9935,9,PETAGNA A,Spal,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
11325,9,VENTURA,Chievo,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7061,9,NZONZI,Roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9408,9,LERIS M,Chievo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5348,9,COSTA Do,Juventus,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7522,9,RIGONI L,Parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
136,9,DONNARUMMA G,Milan,P,3.5,4.5,-1.0,0.0,0.0,0.0,0.0,0.0,2018-19
5619,9,DI GAUDIO A,Parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5225,9,CHIBSAH R,Frosinone,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4528,9,BARELLA N,Cagliari,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
4366,9,ACQUAH A,Empoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4654,9,BEHRAMI V,Udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1216,9,BERESZYNSKI B,Sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4578,9,BARRETO E,Sampdoria,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
2768,9,KOULIBALY K,Napoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
11027,9,JURIC,Genoa,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4246,9,VICARI F,Spal,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10974,9,INZAGHI F,Bologna,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7367,9,POLI A,Bologna,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3507,9,PATRIC,Lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1878,9,DE VRIJ S,Inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1453,9,CANCELO J,Juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1470,9,CAPUANO M,Frosinone,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7624,9,RUIZ F,Napoli,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
11285,9,SPALLETTI,Inter,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8628,9,CERAVOLO F,Parma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8782,9,DEFREL G,Sampdoria,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4259,9,WAGUE M,Udinese,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2627,9,IZZO A,Torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7203,9,PASALIC M,Atalanta,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1292,9,BIRASCHI D,Genoa,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3485,9,PASQUAL M,Empoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1293,9,BONIFAZI K,Spal,D,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
5313,9,CORREA J,Lazio,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
8677,9,CIANO C,Frosinone,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
7408,9,PRAET D,Sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5103,9,CALHANOGLU H,Milan,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
11007,9,INZAGHI S,Lazio,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7230,9,PASTORE J,Roma,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
708,9,STRAKOSHA T,Lazio,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1191,9,BENATIA M,Juventus,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
5148,9,CANDREVA A,Inter,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7247,9,PELLEGRINI Lo,Roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2652,9,JAROSZYNSKI P,Chievo,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9950,9,PIATEK K,Genoa,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4557,9,BARILLA A,Parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1850,9,DE SILVESTRI L,Torino,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3137,9,MARUSIC A,Lazio,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3468,9,PALOMINO J,Atalanta,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
