,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatto_subito,gol_su_rigore,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,assist_da_fermo,yyss
2395,9,ruiz f,napoli,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
949,9,caldirola l,benevento,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
299,9,montipo l,benevento,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1646,9,toljan j,sassuolo,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4947,9,insigne r,benevento,A,5.5,6.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
1649,9,marrone l,crotone,D,5.5,6.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
2379,9,cuomo g,crotone,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4955,9,hauge j,milan,A,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
110,9,audero e,sampdoria,P,5.5,7.5,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5693,9,berardi d,sassuolo,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2401,9,pulgar e,fiorentina,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4865,9,sottil r,cagliari,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2475,9,bonaventura g,fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4852,9,farias d,spezia,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4704,9,orsolini r,bologna,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4706,9,martinez l,inter,A,8.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-21
355,9,sportiello m,atalanta,P,4.5,5.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4711,9,improta r,benevento,A,6.0,6.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
5773,9,de zerbi,sassuolo,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2585,9,vulic m,crotone,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2579,9,estevez n,spezia,C,5.5,6.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
4737,9,scamacca g,genoa,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5765,9,giampaolo,torino,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5764,9,juric,verona,0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2570,9,elmas e,napoli,C,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5761,9,di francesco,cagliari,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4741,9,colley e,verona,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1162,9,danzi a,verona,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
342,9,consigli a,sassuolo,P,2.0,5.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
918,9,danilo ds,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2527,9,ramirez g,sampdoria,C,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
924,9,mancini g,roma,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4808,9,petagna a,napoli,A,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2512,9,kessie f,milan,C,7.0,6.5,0.0,3.0,-0.5,0.0,-3.0,0.0,1.0,0.0,2020-21
329,9,cragno a,cagliari,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
930,9,danilo l,bologna,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2495,9,svanberg m,bologna,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2921,9,barak a,verona,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5811,9,pioli,milan,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
