,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss,gol_fatto_subito,gol_su_rigore,assist,assist_da_fermo
45,9,donnarumma g,milan,P,7.5,7.5,,0.0,0.0,0.0,0.0,,2020-21,0.0,0.0,0.0,0.0
633,9,lovato m,verona,D,6.5,6.5,,0.0,0.0,0.0,0.0,,2020-21,0.0,0.0,0.0,0.0
6740,9,gasperini,atalanta,0,5.0,5.5,,-0.5,0.0,0.0,0.0,,2020-21,0.0,0.0,0.0,0.0
459,9,reca a,crotone,D,5.5,5.5,,0.0,0.0,0.0,0.0,,2020-21,0.0,0.0,0.0,0.0
497,9,chiriches v,sassuolo,D,2.0,4.0,,0.0,0.0,0.0,-2.0,,2020-21,0.0,0.0,0.0,0.0
403,9,mirante a,roma,P,1.0,5.0,,0.0,0.0,0.0,0.0,,2020-21,-4.0,0.0,0.0,0.0
1387,9,hateboer h,atalanta,D,5.5,5.5,,0.0,0.0,0.0,0.0,,2020-21,0.0,0.0,0.0,0.0
465,9,bremer g,torino,D,5.5,5.5,,0.0,0.0,0.0,0.0,,2020-21,0.0,0.0,0.0,0.0
6721,9,fonseca,roma,0,5.0,5.0,,0.0,0.0,0.0,0.0,,2020-21,0.0,0.0,0.0,0.0
936,9,erlic m,spezia,D,6.0,6.0,,0.0,0.0,0.0,0.0,,2020-21,0.0,0.0,0.0,0.0
167,9,dragowski b,fiorentina,P,7.5,6.5,,0.0,0.0,3.0,0.0,,2020-21,-2.0,0.0,0.0,0.0
1395,9,singo w,torino,D,8.0,7.0,,0.0,0.0,0.0,0.0,,2020-21,0.0,0.0,1.0,0.0
551,9,cuomo g,crotone,D,6.0,6.0,,0.0,0.0,0.0,0.0,,2020-21,0.0,0.0,0.0,0.0
439,9,jesus j,roma,D,,,,0.0,0.0,0.0,0.0,,2020-21,0.0,0.0,0.0,0.0
1479,9,hakimi a,inter,D,,,,0.0,0.0,0.0,0.0,,2020-21,0.0,0.0,0.0,0.0
