,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
581,8,sirigu s,torino,P,3.5,5.5,-2.0,0.0,0.0,0.0,0.0,0.0,2017-18
8103,8,veretout j,fiorentina,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
557,8,reina p,napoli,P,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2017-18
11309,8,spalletti,inter,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
10541,8,verdi s,bologna,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8473,8,borriello m,spal,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
10548,8,vido l,atalanta,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7937,8,under c,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8074,8,veloso m,genoa,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3034,8,masina a,bologna,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
5023,8,bonaventura g,milan,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8534,8,budimir a,crotone,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
10586,8,allegri,juventus,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2264,8,gazzola m,sassuolo,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
8456,8,borini f,milan,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
317,8,gomis a,spal,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2017-18
10907,8,giampaolo,sampdoria,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2341,8,gonzalez g,bologna,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7821,8,stoian a,crotone,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2924,8,martella b,crotone,D,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
8414,8,berardi d,sassuolo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8585,8,callejon j,napoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
10652,8,baroni,benevento,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2902,8,manolas k,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7884,8,taider s,bologna,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5035,8,brlek p,genoa,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5304,8,ciciretti a,benevento,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
