,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,ass,yyss
6656,29,lazovic d,verona,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7411,29,paqueta,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1505,29,chiriches v,sassuolo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
617,29,sirigu s,torino,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2019-20
11330,29,inzaghi s,lazio,0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9326,29,dybala p,juventus,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
5781,29,diawara a,roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9286,29,di carmine s,verona,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
11265,29,gotti,udinese,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5856,29,duncan a,fiorentina,C,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
3031,29,lyanco,torino,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11274,29,iachini,fiorentina,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3913,29,romero c,genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9300,29,donnarumma al,brescia,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6584,29,kurtic j,parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10654,29,sansone n,bologna,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1029,29,barreca a,genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3969,29,rrahmani a,verona,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5829,29,dominguez n,bologna,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5823,29,djuricic f,sassuolo,C,8.5,7.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
297,29,handanovic s,inter,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3001,29,lukaku j,lazio,D,7.0,7.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
10619,29,sanchez a,inter,A,12.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,2019-20
6613,29,laxalt d,milan,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10609,29,sanabria a,genoa,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4012,29,rui m,napoli,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4031,29,sabelli s,brescia,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7657,29,pjanic m,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6051,29,freuler r,atalanta,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5736,29,dessena d,brescia,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5624,29,dalessandro m,spal,C,3.0,4.0,0.0,0.0,-1.0,0.0,0.0,0.0,2019-20
8673,29,vieira r,sampdoria,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1259,29,bremer g,torino,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5620,29,dabo b,spal,C,7.5,7.0,0.0,-0.5,0.0,0.0,0.0,1.0,2019-20
6739,29,lerager l,genoa,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2876,29,larsen s,udinese,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9478,29,floccari s,spal,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
1865,29,de silvestri l,torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4213,29,smalling c,roma,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5602,29,cuadrado j,juventus,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11414,29,longo,torino,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4237,29,soumaoro a,genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10432,29,politano m,napoli,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11425,29,lopez,brescia,0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8219,29,sturaro s,genoa,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2841,29,kyriakopoulos g,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6768,29,leris m,sampdoria,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8642,29,verre v,verona,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
7233,29,mkhitaryan h,roma,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7943,29,ruiz f,napoli,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10417,29,pinamonti a,genoa,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
5552,29,cristante b,roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
578,29,silvestri m,verona,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2019-20
8676,29,villar g,roma,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4077,29,sala j,spal,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8974,29,belotti a,torino,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
1081,29,bastos,lazio,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7421,29,parolo m,lazio,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
9389,29,dzeko e,roma,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8722,29,zaccagni m,verona,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
4084,29,salamon b,spal,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9396,29,edera s,torino,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11344,29,juric,verona,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10544,29,ronaldo c,juventus,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
5720,29,demme d,napoli,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
309,29,joronen j,brescia,P,-0.5,5.5,-6.0,0.0,0.0,0.0,0.0,0.0,2019-20
2183,29,empereur a,verona,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4108,29,samir,udinese,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8702,29,walace s,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8339,29,tonali s,brescia,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5680,29,de roon m,atalanta,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6699,29,lazzari m,lazio,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10519,29,rebic a,milan,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5670,29,de paul r,udinese,C,9.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2019-20
9428,29,falco f,lecce,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2902,29,lirola p,fiorentina,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9445,29,farias d,lecce,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1534,29,cionek t,spal,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11378,29,liverani,lecce,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4158,29,semprini a,brescia,D,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2884,29,laurini v,parma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1888,29,de vrij s,inter,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
928,29,ansaldi c,torino,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3049,29,lykogiannis c,cagliari,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8926,29,barrow m,bologna,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
7327,29,nandez n,cagliari,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3497,29,nuytinck b,udinese,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9049,29,caicedo f,lazio,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2048,29,dijks m,bologna,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
8309,29,thorsby m,sampdoria,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
6177,29,hernani j,parma,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2104,29,djimsiti b,atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10923,29,zapata d,atalanta,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6399,29,jony r,lazio,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1417,29,castagne t,atalanta,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3533,29,palomino j,atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1127,29,bereszynski b,sampdoria,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
3234,29,mateju a,brescia,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
11109,29,de zerbi,sassuolo,0,7.0,7.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
9078,29,caprari g,parma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6135,29,gomez a,atalanta,C,8.5,7.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
1354,29,caldara m,atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3555,29,papetti a,brescia,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11118,29,di biagio,spal,0,5.0,6.0,0.0,0.0,-1.0,0.0,0.0,0.0,2019-20
