,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
8338,13,babacar khouma,fiorentina,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9895,13,pazzini giampaolo,verona,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1634,13,ceppitelli luca,cagliari,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5813,13,farago' paolo,cagliari,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
216,13,cordaz alex,crotone,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2017-18
8889,13,dzeko edin,roma,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1650,13,chiellini giorgio,juventus,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
10505,13,verde daniele,verona,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5962,13,gagliardini roberto,inter,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
813,13,acerbi francesco,sassuolo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8858,13,dybala paulo,juventus,A,9.0,5.5,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
92,13,bizzarri albano,udinese,P,4.0,6.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2017-18
7602,13,rincon tomas,torino,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1370,13,cacciatore fabrizio,chievo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1544,13,castagne timothy,atalanta,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7554,13,rigoni luca,genoa,C,10.0,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2017-18
4408,13,alberto luis,lazio,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
1643,13,cesar bostjan,chievo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5888,13,fossati marco ezio,verona,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3725,13,rosi aleandro,genoa,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1531,13,caracciolo antonio,verona,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1478,13,cannavaro paolo,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
6341,13,jankto jakub,udinese,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9802,13,paloschi alberto,spal,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
3630,13,romagnoli alessio,milan,D,10.5,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
6383,13,joao mario,inter,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5864,13,fofana seko,udinese,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9718,13,orsolini riccardo,atalanta,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5791,13,falletti cesar,bologna,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9849,13,parigini vittorio,benevento,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5850,13,fares mohamed,verona,C,6.0,5.5,0.0,-0.5,0.0,0.0,0.0,1.0,2017-18
173,13,consigli andrea,sassuolo,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2017-18
3616,13,romagna filippo,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
902,13,albiol raul,napoli,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
1322,13,burdisso nicolas,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7086,13,nainggolan radja,roma,C,11.0,7.5,3.0,-0.5,0.0,0.0,0.0,0.0,2017-18
1381,13,caceres martin,verona,D,10.5,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
4195,13,venuti lorenzo,benevento,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4227,13,vicari francesco,spal,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9831,13,pandev goran,genoa,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3515,13,radu stefan,lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8372,13,belotti andrea,torino,A,1.5,4.5,0.0,0.0,0.0,-3.0,0.0,0.0,2017-18
10123,13,ragusa antonino,sassuolo,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
6901,13,matuidi blaise,juventus,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8485,13,borriello marco,spal,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
6963,13,milinkovic sergej,lazio,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4350,13,zukanovic ervin,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3439,13,pezzella german,fiorentina,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
8452,13,borini fabio,milan,A,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
8355,13,bajic riad,udinese,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7343,13,pjanic miralem,juventus,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7650,13,rog marko,napoli,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7671,13,rohden marcus,crotone,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
10112,13,quagliarella fabio,sampdoria,A,7.5,7.0,0.0,-0.5,0.0,0.0,0.0,1.0,2017-18
9868,13,pavoletti leonardo,cagliari,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3429,13,peres bruno,roma,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4440,13,allan marques loureiro,napoli,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
6386,13,joao pedro,cagliari,C,10.5,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
3753,13,rugani daniele,juventus,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
1700,13,costa andrea,benevento,D,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
9762,13,palacio rodrigo,bologna,A,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2017-18
3696,13,romulo,verona,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5990,13,gerson,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
7116,13,nalini andrea,crotone,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8786,13,destro mattia,bologna,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
8408,13,berardi domenico,sassuolo,A,3.0,5.0,0.0,0.0,0.0,-3.0,0.0,1.0,2017-18
1580,13,ceccherini federico,crotone,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
6436,13,jorginho,napoli,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2017-18
6022,13,gil dias bastiao,fiorentina,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4294,13,widmer silvan,udinese,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
119,13,brignoli alberto,benevento,P,2.5,4.5,-2.0,0.0,0.0,0.0,0.0,0.0,2017-18
7540,13,ramirez gaston,sampdoria,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
9443,13,lasagna kevin,udinese,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2248,13,gaspar bruno,fiorentina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5332,13,cigarini luca,cagliari,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4073,13,toloi rafael,atalanta,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
6753,13,lulic senad,lazio,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
1137,13,bastos,lazio,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2264,13,gazzola marcello,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8133,13,verre valerio,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2916,13,martella bruno,crotone,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
399,13,mirante antonio,bologna,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2017-18
2285,13,gobbi massimo,chievo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
6615,13,lazzari manuel,spal,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4848,13,berenguer alejandro,torino,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4855,13,bernardeschi federico,juventus,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
9147,13,higuain gonzalo,juventus,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
5311,13,ciciretti amato,benevento,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2017-18
2889,13,manolas kostas,roma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
593,13,sirigu salvatore,torino,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2017-18
1018,13,antei luca,benevento,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
2329,13,gonzalez giancarlo,bologna,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
4060,13,strinic ivan,sampdoria,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8105,13,veretout jordan,fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
5266,13,chiesa federico,fiorentina,C,10.5,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-18
