,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
9202,37,han kwang-song,cagliari,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9364,37,inglese roberto,chievo,A,14.5,7.5,6.0,0.0,0.0,0.0,0.0,1.0,2016-17
2488,37,helander filip,bologna,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
5982,37,hamsik marek,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
10398,37,sallai roland,palermo,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4881,37,brozovic marcelo,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4437,37,badelj milan,fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1044,37,andreolli marco,inter,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
8638,37,borriello marco,cagliari,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
6812,37,magnanelli francesco,sassuolo,C,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
9351,37,immobile ciro,lazio,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7495,37,pjanic miralem,juventus,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
10232,37,pucciarelli manuel,empoli,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
2430,37,goldaniga edoardo,palermo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
2512,37,hoedt wesley,lazio,D,2.0,4.5,0.0,-0.5,0.0,0.0,-2.0,0.0,2016-17
9197,37,gilardino alberto,pescara,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3289,37,paletta gabriel,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
6455,37,krunic rade,empoli,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1142,37,avelar danilo,torino,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
2582,37,isla mauricio,cagliari,D,5.5,5.0,0.0,-0.5,0.0,0.0,0.0,1.0,2016-17
296,37,hart joe,torino,P,2.5,4.5,-2.0,0.0,0.0,0.0,0.0,0.0,2016-17
7555,37,praet dennis,sampdoria,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8169,37,tello cristian,fiorentina,C,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2016-17
1635,37,cesar bostjan,chievo,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
10356,37,salah mohamed,roma,A,13.5,7.5,6.0,0.0,0.0,0.0,0.0,0.0,2016-17
3353,37,pavlovic daniel,sampdoria,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3092,37,moretti emiliano,torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
