,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
4298,16,behrami valon,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
712,16,storari marco,messina,P,1.0,5.0,-4.0,0.0,0.0,0.0,0.0,2005-06
7534,16,vigiani luca,reggina,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,2005-06
8583,16,gilardino alberto,milan,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,2005-06
6701,16,parravicini francesco,treviso,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6643,16,paro matteo,siena,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
677,16,sicignano vincenzo,lecce,P,2.0,5.0,-2.0,-1.0,0.0,0.0,0.0,2005-06
1884,16,dellafiore hernan paolo,treviso,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
7587,16,volpi sergio,sampdoria,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
333,16,de sanctis morgan,udinese,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,2005-06
565,16,mirante antonio,siena,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,2005-06
8796,16,locatelli tomas,siena,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
1907,16,diamoutene souleymane,lecce,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,2005-06
7307,16,tommasi damiano,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
1596,16,cordoba ivan ramiro,inter,D,9.0,6.5,3.0,-0.5,0.0,0.0,0.0,2005-06
4152,16,almiron sergio,empoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
2782,16,modesto francesco,reggina,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
5032,16,dalla bona samuele,sampdoria,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
709,16,squizzi lorenzo,chievo,P,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
4788,16,conti daniele,cagliari,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
6981,16,sammarco paolo,chievo,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
1312,16,cassetti marco,lecce,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2005-06
7146,16,simplicio fabio,parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
1983,16,dossena andrea,treviso,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6536,16,palombo angelo,sampdoria,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
3962,16,zapata cristian eduardo,udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3602,16,stovini lorenzo,lecce,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
2951,16,oddo massimo,lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
9189,16,reginaldo ferreira,treviso,A,7.5,6.5,0.0,0.0,0.0,0.0,1.0,2005-06
8849,16,makinwa stephen,palermo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
2705,16,mandelli davide,chievo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
1554,16,contini matteo,parma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4320,16,biondini davide,reggina,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
6511,16,obodo chris,udinese,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
7185,16,stankovic dejan,inter,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
8827,16,lucarelli cristiano,livorno,A,7.5,6.5,0.0,0.0,0.0,0.0,1.0,2005-06
4999,16,dabo ousmane,lazio,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
9142,16,quagliarella fabio,ascoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7638,16,zanetti paolo,empoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8534,16,flachi francesco,sampdoria,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
2748,16,mexes philippe,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4773,16,coly ferdinand,parma,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
7292,16,tissone fernando,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
280,16,coppola ferdinando,ascoli,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,2005-06
6601,16,paredes carlos,reggina,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,2005-06
8862,16,martins obafemi akinwunmi,inter,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
5334,16,figo luis,inter,C,10.0,8.0,0.0,0.0,0.0,0.0,2.0,2005-06
1941,16,domizzi maurizio,ascoli,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,2005-06
516,16,julio cesar soares,inter,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
1502,16,comotto gianluca,ascoli,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
3086,16,pasqual manuel,fiorentina,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
1303,16,cardone giuseppe,parma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6583,16,pandev goran,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7258,16,tedesco giacomo,reggina,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
2966,16,olorunleke matthew,messina,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
3983,16,zauri luciano,lazio,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
7099,16,serginho dos santos,milan,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
4815,16,conticchio alessandro,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
2987,16,paci massimo,ascoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
5160,16,dessena daniele,parma,C,9.0,6.0,3.0,0.0,0.0,0.0,0.0,2005-06
4863,16,corini eugenio,palermo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8981,16,obinna victor nsofor,chievo,A,10.5,6.5,3.0,0.0,0.0,0.0,1.0,2005-06
7432,16,vergassola simone,siena,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
7342,16,tonetto max,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6866,16,pirlo andrea,milan,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
7409,16,vannucchi ighli,empoli,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
5143,16,delvecchio gennaro,lecce,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,2005-06
1767,16,d'anna lorenzo,chievo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
8967,16,nanni roberto antonio,siena,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
480,16,guardalben matteo,palermo,P,3.5,5.5,-2.0,0.0,0.0,0.0,0.0,2005-06
4120,16,alberto nieto,siena,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
