,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
6985,4,tachtsidis p,cagliari,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7815,4,dybala p,juventus,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8259,4,immobile c,lazio,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
1499,4,castan l,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1209,4,bellusci g,empoli,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
8116,4,gomez a,atalanta,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7806,4,djordjevic f,lazio,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1190,4,bastos b,lazio,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
1520,4,ceccherini f,crotone,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8095,4,gilardino a,empoli,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7855,4,dzeko e,roma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7323,4,anderson f,lazio,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7283,4,zielinski p,napoli,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1890,4,de silvestri l,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1121,4,barreca a,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1708,4,costa a,empoli,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7353,4,bacca c,milan,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
863,4,albiol r,napoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
6989,4,taider s,bologna,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
8390,4,joao pedro,cagliari,A,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8350,4,insigne l,napoli,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1337,4,bovo c,torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
6709,4,rincon t,genoa,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7565,4,callejon j,napoli,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
1049,4,antei l,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1749,4,d'ambrosio d,inter,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7020,4,tello a,empoli,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
1229,4,benatia m,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8313,4,inglese r,chievo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1165,4,basta d,lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7071,4,torreira l,sampdoria,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8068,4,gabbiadini m,napoli,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7075,4,valdifiori m,torino,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
1580,4,chiellini g,juventus,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7509,4,borriello m,cagliari,A,14.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,2016-17
7929,4,el sharaawy s,roma,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7170,4,veloso m,genoa,C,5.5,6.5,0.0,0.0,-1.0,0.0,0.0,0.0,2016-17
7201,4,verre v,pescara,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
899,4,aleesami h,palermo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
6821,4,saponara r,empoli,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
