,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,95,Gollini P.,Por,P,7.0,-1.0,,,,,,,6.0,Atalanta,33,2018-19
1,21,Castagne T.,Dif,D,5.5,,,,,,,,5.5,Atalanta,33,2018-19
2,33,Hateboer H.,Dif,D,6.5,,1.0,,,,,,7.5,Atalanta,33,2018-19
3,5,Masiello A.,Dif,D,6.5,,,,,,,,6.5,Atalanta,33,2018-19
4,23,Mancini G.,Dif,D,5.0,,,,,,1.0,,4.5,Atalanta,33,2018-19
5,19,Djimsiti B.,Dif,D,6.5,,,,,,,,6.5,Atalanta,33,2018-19
6,88,Pasalic M.,Cen,C,6.5,1.0,,,,,,,10.5,Atalanta,33,2018-19
7,15,De Roon M.,Cen,C,6.5,,,,,,,,6.5,Atalanta,33,2018-19
8,11,Freuler R.,Cen,C,6.0,,,,,,,,6.0,Atalanta,33,2018-19
9,10,Gomez A.,Tre,T,7.0,,,,,,,,7.0,Atalanta,33,2018-19
10,91,Zapata D.,Att,A,7.0,1.0,1.0,,,,,,11.0,Atalanta,33,2018-19
11,6,Palomino J.,Dif,D,6.0,,,,,,,,6.0,Atalanta,33,2018-19
12,8,Gosens R.,Dif,D,,,,,,,,,,Atalanta,33,2018-19
13,72,Ilicic J.,Tre,T,8.0,,,,,,,,8.0,Atalanta,33,2018-19
0,28,Skorupski L.,Por,P,6.5,,,,,,,,6.5,Bologna,33,2018-19
1,23,Danilo L.,Dif,D,6.5,,,,,,,,6.5,Bologna,33,2018-19
2,15,Mbaye I.,Dif,D,6.0,,,,,,,,6.0,Bologna,33,2018-19
3,4,Lyanco S.,Dif,D,6.0,,,,,,,,6.0,Bologna,33,2018-19
4,5,Pulgar E.,Cen,C,7.5,1.0,,,,,,,11.5,Bologna,33,2018-19
5,31,Dzemaili B.,Cen,C,6.5,,,,,,,,6.5,Bologna,33,2018-19
6,21,Soriano R.,Cen,C,5.0,,,,,,1.0,,4.5,Bologna,33,2018-19
7,7,Orsolini R.,Tre,T,7.0,1.0,,,,,1.0,,10.0,Bologna,33,2018-19
8,10,Sansone N.,Tre,T,6.0,,,,,,,,6.0,Bologna,33,2018-19
9,11,Krejci L.,Tre,T,7.0,,1.0,,,,,,8.0,Bologna,33,2018-19
10,24,Palacio R.,Tre,T,7.0,,,,,,,,7.0,Bologna,33,2018-19
11,18,Helander F.,Dif,D,,,,,,,,,,Bologna,33,2018-19
12,17,Donsah G.,Cen,C,,,,,,,,,,Bologna,33,2018-19
13,16,Poli A.,Cen,C,6.0,,,,,,,,6.0,Bologna,33,2018-19
0,28,Cragno A.,Por,P,6.0,,,,,,,,6.0,Cagliari,33,2018-19
1,15,Klavan R.,Dif,D,6.0,,,,,,,,6.0,Cagliari,33,2018-19
2,23,Ceppitelli L.,Dif,D,6.5,,,,,,,,6.5,Cagliari,33,2018-19
3,33,Srna D.,Dif,D,6.5,,,,,,,,6.5,Cagliari,33,2018-19
4,22,Lykogiannis C.,Dif,D,6.0,,,,,,,,6.0,Cagliari,33,2018-19
5,24,Farago P.,Dif,D,5.0,,,,,,,1.0,4.0,Cagliari,33,2018-19
6,8,Cigarini L.,Cen,C,7.0,,,,,,,,7.0,Cagliari,33,2018-19
7,21,Ionita A.,Cen,C,7.0,,,,,,,,7.0,Cagliari,33,2018-19
8,14,Birsa V.,Tre,T,6.5,,,,,,,,6.5,Cagliari,33,2018-19
9,10,Joao Pedro G.,Tre,T,6.5,1.0,,1.0,,,1.0,,9.5,Cagliari,33,2018-19
10,30,Pavoletti L.,Att,A,6.5,,,,,,,,6.5,Cagliari,33,2018-19
11,56,Romagna F.,Dif,D,6.0,,,,,,,,6.0,Cagliari,33,2018-19
12,27,Deiola A.,Cen,C,,,,,,,,,,Cagliari,33,2018-19
13,20,Padoin S.,Cen,C,6.0,,,,,,,,6.0,Cagliari,33,2018-19
0,1,Semper A.,Por,P,6.5,-1.0,,,,,,,5.5,Chievo,33,2018-19
1,12,Cesar B.,Dif,D,6.0,,,,,,,,6.0,Chievo,33,2018-19
2,14,Bani M.,Dif,D,5.5,,,,,,,,5.5,Chievo,33,2018-19
3,5,Barba F.,Dif,D,6.0,,,,,,,,6.0,Chievo,33,2018-19
4,4,Rigoni N.,Cen,C,7.0,,,,,,1.0,,6.5,Chievo,33,2018-19
