,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,1,Berisha E.,Por,P,6.5,,,,,,,,6.5,Atalanta,30,2016-17
1,5,Masiello A.,Dif,D,6.0,,,,,,,,6.0,Atalanta,30,2016-17
2,13,Caldara M.,Dif,D,6.5,1.0,,,,,,,9.5,Atalanta,30,2016-17
3,24,Conti A.,Dif,D,7.5,1.0,,,,,,,10.5,Atalanta,30,2016-17
4,3,Toloi R.,Dif,D,6.0,,,,,,,,6.0,Atalanta,30,2016-17
5,27,Kurtic J.,Cen,C,7.0,,1.0,,,,,,8.0,Atalanta,30,2016-17
6,11,Freuler R.,Cen,C,6.5,,,,,,,,6.5,Atalanta,30,2016-17
7,19,Kessie F.,Cen,C,7.0,,,,,,1.0,,6.5,Atalanta,30,2016-17
8,10,Gomez A.,Tre,T,8.0,3.0,,1.0,,,,,17.0,Atalanta,30,2016-17
9,37,Spinazzola L.,Tre,T,7.0,,1.0,,,,,,8.0,Atalanta,30,2016-17
10,29,Petagna A.,Att,A,7.0,,1.0,,,,,,8.0,Atalanta,30,2016-17
11,0,Hateboer H.,Dif,D,,,,,,,,,,Atalanta,30,2016-17
12,88,Grassi A.,Cen,C,,,,,,,,,,Atalanta,30,2016-17
13,7,Dalessandro M.,Tre,T,,,,,,,,,,Atalanta,30,2016-17
0,83,Mirante A.,Por,P,6.5,-1.0,,,,,,,5.5,Bologna,30,2016-17
1,15,Mbaye I.,Dif,D,6.0,,,,,,,,6.0,Bologna,30,2016-17
2,20,Maietta D.,Dif,D,4.5,,,,,,,,4.5,Bologna,30,2016-17
3,35,Torosidis V.,Dif,D,6.0,,,,,,,,6.0,Bologna,30,2016-17
4,28,Gastaldello D.,Dif,D,6.0,,,,,,,,6.0,Bologna,30,2016-17
5,8,Taider S.,Cen,C,5.0,,,,,,,,5.0,Bologna,30,2016-17
6,17,Donsah G.,Cen,C,5.5,,,,,,,,5.5,Bologna,30,2016-17
7,6,Viviani F.,Cen,C,4.5,,,,,,,,4.5,Bologna,30,2016-17
8,9,Verdi S.,Tre,T,6.0,,,,,,,,6.0,Bologna,30,2016-17
