,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
1209,37,cannarsa juriy,reggina,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
8685,37,inzaghi filippo,milan,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6932,37,rosi aleandro,roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
2276,37,giuliatto alberto,treviso,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
6330,37,moro a.,ascoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
1232,37,cannavaro fabio,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8313,37,di canio paolo,lazio,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
2363,37,gustavo lazzaretti de ara,treviso,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
5886,37,jankulovski marek,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6284,37,mesto giandomenico,reggina,C,6.5,5.5,0.0,0.0,0.0,0.0,1.0,2005-06
7103,37,serginho dos santos,milan,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
1083,37,bonera daniele,parma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8839,37,makinwa stephen,palermo,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
1588,37,cordoba ivan ramiro,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8823,37,lucarelli cristiano,livorno,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7728,37,amauri carvalho,chievo,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
4708,37,cesar rodriguez,inter,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
5658,37,giacomazzi guillermo gonz,lecce,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,2005-06
9257,37,rocchi tommaso,lazio,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
6078,37,liverani fabio,lazio,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
6324,37,morfeo domenico,parma,C,7.5,6.5,0.0,0.0,0.0,0.0,1.0,2005-06
7137,37,simplicio fabio,parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
3681,37,tudor igor,siena,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
8431,37,esposito mauro,cagliari,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,2005-06
3205,37,pisano marco,sampdoria,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
9580,37,vucinic mirko,lecce,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8417,37,di natale antonio,udinese,A,8.5,7.5,0.0,0.0,0.0,0.0,1.0,2005-06
