,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatto_subito,gol_su_rigore,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,assist_su_rigore,yyss
3589,19,pereyra r,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3634,19,viola n,benevento,C,10.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3341,19,schouten j,bologna,C,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3726,19,vulic m,crotone,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3828,19,de roon m,atalanta,C,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4181,19,arslan t,udinese,C,4.5,5.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
3655,19,de paul r,udinese,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3555,19,brozovic m,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4244,19,estevez n,spezia,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3523,19,kessie f,milan,C,4.0,4.5,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
3320,19,iago falque,benevento,C,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3804,19,meite s,milan,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3472,19,walace s,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3361,19,castillejo s,milan,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4088,19,bastoni s,spezia,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3788,19,veretout j,roma,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3378,19,vidal a,inter,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3716,19,linetty k,torino,C,4.5,5.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
4004,19,rincon t,torino,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4130,19,zanellato n,crotone,C,4.5,5.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
4073,19,ansaldi c,torino,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3601,19,bonaventura g,fiorentina,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4233,19,kulusevski d,juventus,C,,,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,2020-21
4060,19,deulofeu g,udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4209,19,villar g,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3852,19,cristante b,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3668,19,valero b,fiorentina,C,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
4121,19,lukic s,torino,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
0,19,handanovic s,inter,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
3297,19,agoume l,spezia,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
2003,19,hakimi a,inter,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5064,19,galabinov a,spezia,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1885,19,erlic m,spezia,D,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
5088,19,muriel l,atalanta,A,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1870,19,buongiorno a,torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1855,19,de ligt,juventus,D,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1845,19,kjaer s,milan,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
1838,19,danilo l,bologna,D,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-21
