,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
6570,23,jankovic,genoa,C,5.0,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2011-12
6486,23,inler g,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
3149,23,miglionico,lecce,D,6.0,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2011-12
2002,23,del grosso,siena,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
174,23,berardi,lazio,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
2436,23,granqvist,genoa,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
4342,23,zaccardo,parma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
3128,23,mexes,milan,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
9979,23,klose,lazio,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
9995,23,kozak,lazio,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
5121,23,cana,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
563,23,kosicky,catania,P,6.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2011-12
6524,23,isla,udinese,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
8864,23,zanetti,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
577,23,manninger,juventus,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
2461,23,granqvist a,genoa,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
8918,23,acosty,fiorentina,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
10645,23,pinilla,cagliari,A,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2011-12
9944,23,jeda,novara,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
10690,23,quagliarella,juventus,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
179,23,bizzarri,lazio,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
8262,23,salifu,fiorentina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
6554,23,izco,catania,C,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
5152,23,candreva,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
6456,23,inler,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12
