,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
1700,14,cristante filippo,messina,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
3894,14,zambrotta gianluca,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
7641,14,zanini nicola,ascoli,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
3995,14,zauri luciano,lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7372,14,valdes jaime,lecce,C,7.0,6.5,0.0,-0.5,0.0,0.0,1.0,2005-06
1593,14,cordoba ivan ramiro,inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
7637,14,zanetti paolo,empoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7347,14,tonetto max,sampdoria,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
3785,14,vargas jorge,livorno,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
6759,14,pazienza michele,fiorentina,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
7470,14,veron juan sebastian,inter,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
1928,14,diamoutene souleymane,lecce,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4221,14,bachini jonathan,siena,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
4202,14,aquilani alberto,roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
3543,14,stam jaap,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3913,14,zanchi marco,messina,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
7376,14,vannucchi ighli,empoli,C,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2005-06
9607,14,zampagna riccardo,messina,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6618,14,paredes carlos,reggina,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
1440,14,coco francesco,livorno,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
3419,14,sala luigi,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
105,14,antonioli francesco,sampdoria,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
9474,14,toni luca,fiorentina,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7072,14,semioli franco,chievo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
9385,14,tare igli,lazio,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
1829,14,de rosa gaetano,reggina,D,9.0,6.0,3.0,0.0,0.0,0.0,0.0,2005-06
7428,14,vergassola simone,siena,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
6939,14,rui costa manuel,milan,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
3752,14,vanigli richard,empoli,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
1452,14,coda andrea,empoli,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
7777,14,amoruso nicola,reggina,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
9330,14,shevchenko andriy,milan,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
4250,14,barone simone,palermo,C,6.5,6.0,0.0,-0.5,0.0,0.0,1.0,2005-06
3,14,abbiati christian,juventus,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,2005-06
4041,14,zenoni cristian,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6596,14,pandev goran,lazio,C,9.5,7.5,0.0,0.0,0.0,0.0,2.0,2005-06
4100,14,abeijon nelson,cagliari,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
7654,14,zenoni damiano,udinese,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
6786,14,perrotta simone,roma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
3714,14,ujfalusi tomas,fiorentina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
62,14,amelia marco,livorno,P,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
9451,14,tiribocchi simone,chievo,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,2005-06
6812,14,pinardi alex,lecce,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,2005-06
7884,14,bjelanovic sasa,ascoli,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
7626,14,zanetti cristiano,inter,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
9515,14,trezeguet david,juventus,A,10.5,6.5,3.0,0.0,0.0,0.0,1.0,2005-06
1325,14,cassetti marco,lecce,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
7227,14,taddei rodrigo,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
163,14,berti gianluca,empoli,P,6.0,8.0,-2.0,0.0,0.0,0.0,0.0,2005-06
7019,14,savi filippo,parma,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
1850,14,del grosso cristiano,ascoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6921,14,rinaudo leandro,palermo,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
3947,14,zanetti javier aldemar,inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
3844,14,zaccardo cristian,palermo,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
3471,14,scurto giuseppe,chievo,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
3488,14,simic dario,milan,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,2005-06
1877,14,dellafiore hernan paolo,treviso,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7004,14,santana mario alberto,palermo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
1375,14,chiellini giorgio,juventus,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
1218,14,cannavaro fabio,juventus,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,2005-06
3477,14,sensini roberto nestor,udinese,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
7596,14,volpi sergio,sampdoria,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
7810,14,bakayoko,livorno,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
1311,14,cardone giuseppe,parma,D,8.5,5.5,3.0,0.0,0.0,0.0,0.0,2005-06
1546,14,contini matteo,parma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
6709,14,parravicini francesco,treviso,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
7186,14,stankovic dejan,inter,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
7516,14,vieira patrick,juventus,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
7739,14,amauri carvalho,chievo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6737,14,passoni dario,livorno,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
3452,14,samuel walter,inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
7716,14,adriano leite ribeiro,inter,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
1890,14,di loreto marco,fiorentina,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
7848,14,beghetto luigi,treviso,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7306,14,tommasi damiano,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6987,14,sammarco paolo,chievo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6874,14,pirlo andrea,milan,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
