,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
6867,34,lazzari,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
655,34,puggioni,chievo,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2012-13
8592,34,valiani,siena,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
9764,34,ibarbo,cagliari,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2012-13
3569,34,pisano e,genoa,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
1376,34,biava,lazio,D,4.0,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,2012-13
9910,34,jonathas,torino,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
4166,34,stendardo,atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
2347,34,drame' b,chievo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
4982,34,boateng,milan,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2012-13
4800,34,bertolacci,genoa,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
9745,34,hernandez,palermo,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2012-13
4579,34,aquilani,fiorentina,C,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2012-13
1145,34,balzano,pescara,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2012-13
364,34,gillet,torino,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2012-13
8498,34,togni,pescara,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
5859,34,dzemaili,napoli,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2012-13
9737,34,hauche,chievo,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
2982,34,masiello s,torino,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2012-13
951,34,andreolli,chievo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
9754,34,hernandez a,palermo,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2012-13
5502,34,cofie,chievo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
10717,34,sansone n,parma,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
247,34,consigli,atalanta,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2012-13
10553,34,quagliarella,juventus,A,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2012-13
2007,34,d'ambrosio,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
3204,34,munoz,palermo,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
6902,34,ledesma,lazio,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
9194,34,caprari,pescara,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
7448,34,nainggolan,cagliari,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2012-13
1340,34,benatia,udinese,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
1535,34,brivio,atalanta,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
7674,34,pasquato,bologna,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
5896,34,ederson,lazio,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
1696,34,capuano c,catania,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
1347,34,berardi g,sampdoria,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
5260,34,candreva,lazio,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2012-13
4488,34,alvarez riky,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
9802,34,icardi,sampdoria,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
7828,34,pirlo,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
2802,34,legrottaglie,catania,D,8.0,5.5,3.0,-0.5,0.0,0.0,0.0,0.0,2012-13
7437,34,muntari,milan,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
666,34,puggioni c,chievo,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2012-13
9158,34,calaio',napoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
4439,34,almiron,catania,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
8535,34,tozser,genoa,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
8087,34,rios,palermo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2012-13
