,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
9372,16,dzeko e,roma,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7247,16,mkhitaryan h,roma,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
8600,16,veretout j,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11477,16,mazzarri,torino,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4384,16,tomiyasu t,bologna,D,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
5415,16,cataldi d,lazio,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7268,16,murgia a,spal,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8578,16,verdi s,torino,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
2672,16,izzo a,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7293,16,nainggolan r,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7309,16,nandez n,cagliari,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4388,16,tomovic n,spal,D,3.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,2019-20
9880,16,leao r,milan,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3395,16,murillo j,sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11217,16,gattuso,napoli,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7053,16,mangraviti m,brescia,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7112,16,medel g,bologna,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10872,16,vlahovic d,fiorentina,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
1623,16,criscito d,genoa,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
10605,16,sanabria a,genoa,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2235,16,fazio f,roma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
51,16,berisha e,spal,P,3.0,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,2019-20
7087,16,matuidi b,juventus,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2747,16,kolarov a,roma,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1530,16,cionek t,spal,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
