,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss,gol_fatto_subito,gol_su_rigore,assist,assist_da_fermo
4198,24,venuti l,benevento,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
5072,24,buchel m,verona,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2959,24,marusic a,lazio,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
4357,24,zukanovic e,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2946,24,martella b,crotone,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
7463,24,radovanovic i,chievo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
246,24,cragno a,cagliari,P,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-18,,,,
7918,24,torreira l,sampdoria,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
7928,24,under c,roma,C,12.5,7.5,3.0,0.0,0.0,2.0,0.0,0.0,2017-18,,,,
9613,24,mertens d,napoli,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3383,24,pavlovic d,crotone,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
6344,24,jankto j,udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
11043,24,mazzarri,torino,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
10946,24,inzaghi,lazio,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
5418,24,cristante b,atalanta,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
288,24,donnarumma g,milan,P,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-18,,,,
3403,24,peluso f,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
1504,24,capuano m,crotone,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
7425,24,pulgar e,bologna,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
5045,24,brozovic m,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
7977,24,valero b,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
11003,24,maran,chievo,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3416,24,pereira p,genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2899,24,manolas k,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
5021,24,bonaventura g,milan,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
345,24,handanovic s,inter,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
8002,24,valoti m,verona,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
9378,24,kownacki d,sampdoria,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
10463,24,trotta m,crotone,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3184,24,molinaro c,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
9055,24,galabinov a,genoa,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
10414,24,thereau c,fiorentina,A,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
816,24,acerbi f,sassuolo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
