,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
4368,25,ACQUAH A,Empoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4334,25,ZUKANOVIC E,Genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9373,25,LASAGNA K,Udinese,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2192,25,FELIPE,Spal,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7305,25,PEROTTI D,Roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5988,25,GERSON,Fiorentina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
278,25,LAFONT A,Fiorentina,P,2.0,5.5,-3.0,-0.5,0.0,0.0,0.0,0.0,2018-19
3063,25,MANOLAS K,Roma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9410,25,LERIS M,Chievo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8453,25,CAICEDO F,Lazio,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
640,25,SORRENTINO S,Chievo,P,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
4455,25,BADELJ M,Lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3021,25,MALCUIT K,Napoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5930,25,FREULER R,Atalanta,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4465,25,BADU E,Udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9446,25,MANDZUKIC M,Juventus,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1619,25,CIONEK T,Spal,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1009,25,ANSALDI C,Torino,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
8359,25,BARROW M,Atalanta,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
11005,25,INZAGHI S,Lazio,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2571,25,HYSAJ E,Napoli,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2224,25,FERRARI G,Sassuolo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7295,25,PERISIC I,Inter,C,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
10271,25,SCHIAPPACASSE N,Parma,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10213,25,SANSONE N,Bologna,A,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
4434,25,ALLAN M,Napoli,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7811,25,SORIANO R,Bologna,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3042,25,MANCINI G,Atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9745,25,OUNAS A,Napoli,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
376,25,OLSEN R,Roma,P,2.5,4.5,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19
10243,25,SANTANDER F,Bologna,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2778,25,KOULIBALY K,Napoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1493,25,CASTAGNE T,Atalanta,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
4484,25,BAKAYOKO T,Milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5559,25,DEIOLA A,Cagliari,C,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
9610,25,MILLICO V,Torino,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
7706,25,SCHELOTTO E,Chievo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
11303,25,TUDOR,Udinese,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4858,25,BESSA D,Genoa,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1135,25,BARBA F,Chievo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
10926,25,GIAMPAOLO,Sampdoria,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
507,25,SEPE L,Parma,P,1.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,2018-19
4745,25,BENTANCUR R,Juventus,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
345,25,MUSSO J,Udinese,P,2.5,4.5,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19
5607,25,DI FRANCESCO F,Sassuolo,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
