,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
9789,30,la gumina a,sampdoria,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1389,30,carboni a,cagliari,D,3.5,4.5,0.0,0.0,-1.0,0.0,0.0,0.0,2019-20
9470,30,favilli a,genoa,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6396,30,jony r,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4516,30,yoshida m,sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1675,30,dambrosio d,inter,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
8929,30,barrow m,bologna,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
4422,30,vavro d,lazio,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10576,30,ronaldo c,juventus,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
646,30,skorupski l,bologna,P,10.0,8.0,-1.0,0.0,0.0,3.0,0.0,0.0,2019-20
5233,30,calhanoglu h,milan,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
8045,30,schouten j,bologna,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9430,30,falco f,lecce,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2061,30,dimarco f,verona,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
812,30,aina o,torino,D,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
6407,30,juwara m,bologna,C,10.5,8.0,3.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7408,30,paqueta,milan,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5183,30,brozovic m,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9863,30,lasagna k,udinese,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
7302,30,nainggolan r,cagliari,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5812,30,djuricic f,sassuolo,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
