,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,57,Sportiello M.,Por,P,6.0,,,,,,,,6.0,Atalanta,21,2015-16
1,33,Cherubin N.,Dif,D,5.5,,,,,,,,5.5,Atalanta,21,2015-16
2,3,Toloi R.,Dif,D,6.0,,,,,,,,6.0,Atalanta,21,2015-16
3,93,Drame B.,Dif,D,5.5,,,,,,,,5.5,Atalanta,21,2015-16
4,5,Masiello A.,Dif,D,6.0,,,,,,,,6.0,Atalanta,21,2015-16
5,77,Raimondi C.,Dif,D,6.0,,,,,,,,6.0,Atalanta,21,2015-16
6,15,De Roon M.,Cen,C,6.5,,,,,,,,6.5,Atalanta,21,2015-16
7,8,Migliaccio G.,Cen,C,5.5,,,,,,,,5.5,Atalanta,21,2015-16
8,27,Kurtic J.,Cen,C,6.0,,,,,,1.0,,5.5,Atalanta,21,2015-16
9,10,Gomez A.,Tre,T,6.5,,,,,,,,6.5,Atalanta,21,2015-16
10,45,Monachello G.,Att,A,5.0,,,,,,,,5.0,Atalanta,21,2015-16
11,24,Conti A.,Dif,D,,,,,,,,,5.5,Atalanta,21,2015-16
12,23,Diamanti A.,Tre,T,,,,,,,,,,Atalanta,21,2015-16
13,19,Denis G.,Att,A,6.0,,,,,,,,6.0,Atalanta,21,2015-16
0,83,Mirante A.,Por,P,6.0,,,,,,,,6.0,Bologna,21,2015-16
1,13,Rossettini L.,Dif,D,6.0,,,,,,,,6.0,Bologna,21,2015-16
2,28,Gastaldello D.,Dif,D,6.5,,,,,,,,6.5,Bologna,21,2015-16
3,3,Morleo A.,Dif,D,6.0,,,,,,,,6.0,Bologna,21,2015-16
4,2,Oikonomou M.,Dif,D,6.5,,,,,,,,6.5,Bologna,21,2015-16
5,21,Diawara A.,Cen,C,7.0,,,,,,,,7.0,Bologna,21,2015-16
6,30,Donsah G.,Cen,C,6.5,,,,,,,,6.5,Bologna,21,2015-16
7,8,Taider S.,Cen,C,6.0,,,,,,,,6.0,Bologna,21,2015-16
8,17,Giaccherini E.,Tre,T,7.5,1.0,,,,,,,10.5,Bologna,21,2015-16
9,26,Mounier A.,Tre,T,5.5,,,,,,,,5.5,Bologna,21,2015-16
10,10,Destro M.,Att,A,6.5,,,,,,,,6.5,Bologna,21,2015-16
11,24,Ferrari A.,Dif,D,6.0,,,,,,1.0,,5.5,Bologna,21,2015-16
12,33,Brighi M.,Cen,C,6.0,,,,,,1.0,,5.5,Bologna,21,2015-16
13,99,Floccari S.,Att,A,7.0,1.0,,,,,,,10.0,Bologna,21,2015-16
0,27,Belec V.,Por,P,7.5,-1.0,,,,,,,6.5,Carpi,21,2015-16
1,3,Letizia G.,Dif,D,6.0,,,,,,,,6.0,Carpi,21,2015-16
2,21,Romagnoli S.,Dif,D,7.0,,,,,,,,7.0,Carpi,21,2015-16
3,23,Suagher E.,Dif,D,6.0,,,,,,1.0,,5.5,Carpi,21,2015-16
4,5,Zaccardo C.,Dif,D,6.5,,,,,,,,6.5,Carpi,21,2015-16
5,29,Martinho R.,Cen,C,5.5,,,,,,,,5.5,Carpi,21,2015-16
6,8,Bianco R.,Cen,C,7.0,,1.0,,,,,,8.0,Carpi,21,2015-16
7,19,Pasciuti L.,Cen,C,5.0,,,,,,,1.0,4.0,Carpi,21,2015-16
8,17,Crimi M.,Cen,C,7.0,,,,,,1.0,,6.5,Carpi,21,2015-16
9,25,Mancosu M.,Att,A,6.0,,,,,,,,6.0,Carpi,21,2015-16
10,99,Mbakogu J.,Att,A,6.5,,,,,,,,6.5,Carpi,21,2015-16
