Sqd,Giocatore,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP,yyss
sassuolo,Boga J.,T (A),18.0,24.0,3.0,,,,,,,,6.2,6.64,10.6,2018-19
cagliari,Lykogiannis C.,D,6.0,10.0,,1.0,1.0,,,,,,5.7,5.75,0.5,2018-19
sassuolo,Magnani G.,D,7.0,18.0,,1.0,2.0,,,,,,5.94,5.94,,2018-19
inter,Keita B.,T (A),23.0,21.0,5.0,2.0,1.0,1.0,,,,,5.9,6.76,18.1,2018-19
sassuolo,Satalino G.,P,1.0,,,,,,,,,,,,,2018-19
milan,Reina P.,P,6.0,4.0,,,,,,,,,6.2,5.2,-5.0,2018-19
milan,Kessie F.,C,18.0,34.0,7.0,1.0,7.0,,3.0,3.0,,,6.0,6.75,25.5,2018-19
empoli,Di Lorenzo G.,D,20.0,37.0,5.0,3.0,8.0,,,,,,6.02,6.6,21.5,2018-19
sassuolo,Demiral M.,D,12.0,14.0,2.0,,3.0,,,,,,6.03,6.57,7.6,2018-19
roma,Perotti D.,T (C),20.0,12.0,5.0,,3.0,,3.0,3.0,,,5.87,7.2,16.0,2018-19
juventus,Bernardeschi F.,T (C),17.0,24.0,2.0,3.0,5.0,1.0,,,,,6.16,6.43,6.5,2018-19
lazio,Radu S.,D,10.0,27.0,,1.0,5.0,,,,,,5.83,5.78,-1.4,2018-19
fiorentina,Laurini V.,D,4.0,12.0,,,4.0,,,,,,5.53,5.38,-2.0,2018-19
sampdoria,Barreto E.,C,7.0,10.0,,1.0,2.0,,,,,,6.1,6.1,,2018-19
cagliari,Romagna F.,D,8.0,18.0,,,2.0,,,,,,5.86,5.8,-1.1,2018-19
sampdoria,Rafael C.,P,2.0,2.0,,,,,,,,,6.0,6.0,,2018-19
cagliari,Verde F.,A,1.0,,,,,,,,,,,,,2018-19
genoa,Lazovic D.,C,15.0,33.0,3.0,4.0,2.0,,,,,,5.92,6.37,14.8,2018-19
lazio,Guerrieri G.,P,1.0,1.0,,,,,,,,,5.0,2.0,-3.0,2018-19
frosinone,Zampano F.,D,8.0,25.0,,1.0,1.0,,,,,,5.73,5.75,0.5,2018-19
empoli,Traore H.,T (C),15.0,30.0,2.0,2.0,4.0,,,,,,6.25,6.48,6.9,2018-19
parma,Davordzie C.,A,1.0,,,,,,,,,,,,,2018-19
udinese,Hallfredsson E.,C,4.0,8.0,1.0,,2.0,,,,,,5.87,6.25,3.0,2018-19
milan,Rodriguez R.,D,11.0,35.0,,2.0,4.0,,,,,,5.9,5.9,,2018-19
spal,Regini V.,D,5.0,3.0,,,,,,,,,5.83,5.83,,2018-19
fiorentina,Ghidotti S.,P,1.0,,,,,,,,,,6.0,6.0,,2018-19
udinese,Nuytinck B.,D,9.0,26.0,,,4.0,,,,,,5.92,5.81,-2.9,2018-19
cagliari,Barella N.,C,16.0,35.0,1.0,4.0,8.0,2.0,1.0,,1.0,,6.17,6.14,-1.1,2018-19
chievo,Hetemaj P.,C,12.0,28.0,2.0,,9.0,,,,,,5.78,5.91,3.7,2018-19
cagliari,Cigarini L.,C,10.0,22.0,,1.0,9.0,,,,,,5.9,5.75,-3.3,2018-19
sassuolo,Consigli A.,P,20.0,36.0,,,2.0,1.0,,,,3.0,6.25,4.88,-49.3,2018-19
parma,Schiappacasse N.,T (A),7.0,3.0,,,,,,,,,5.33,5.33,,2018-19
sampdoria,Ferrari A.,D,5.0,6.0,,,2.0,,,,,,5.85,5.71,-1.0,2018-19
sampdoria,Tavares J.,D,4.0,2.0,,,1.0,,,,,,5.83,5.66,-0.5,2018-19
milan,Zapata C.,D,8.0,12.0,,,4.0,,,,,,6.23,6.07,-2.1,2018-19
cagliari,Cragno A.,P,20.0,38.0,,,1.0,,,,,2.0,6.52,5.25,-48.3,2018-19
empoli,Capezzi L.,C,4.0,10.0,,,3.0,,,,,,5.6,5.25,-3.5,2018-19
empoli,Veseli F.,D,5.0,28.0,,,4.0,,,,,,5.51,5.44,-2.0,2018-19
udinese,Barak A.,C,14.0,5.0,,,,,,,,,5.7,5.7,,2018-19
frosinone,Viviani F.,C,5.0,5.0,,,1.0,,,,,,5.6,5.5,-0.5,2018-19
atalanta,Ilicic J.,T (A),35.0,31.0,12.0,6.0,4.0,1.0,1.0,,1.0,,6.41,7.77,42.2,2018-19
