,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,ass,yyss
4253,31,spinazzola l,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4809,31,barilla a,parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7428,31,parolo m,lazio,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2427,31,goldaniga e,genoa,D,9.0,6.5,3.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7100,31,medel g,bologna,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
9866,31,leao r,milan,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
1876,31,de silvestri l,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5643,31,de paul r,udinese,C,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
9437,31,falco f,lecce,A,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
11436,31,lopez,brescia,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7646,31,pjanic m,juventus,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11362,31,juric,verona,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9997,31,martinez l,inter,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6792,31,linetty k,sampdoria,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4849,31,behrami v,genoa,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
342,31,letica k,spal,P,2.5,5.5,-3.0,0.0,0.0,0.0,0.0,0.0,2019-20
8686,31,viviani m,brescia,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11407,31,liverani,lecce,0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9492,31,floccari s,spal,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5604,31,cuadrado j,juventus,C,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
