Sqd,Giocatore,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP,yyss
lazio,Parolo M.,C,17.0,33.0,5.0,,11.0,,,,,,6.32,6.41,9.5,2016-17
juventus,Sturaro S.,C,5.0,20.0,,,5.0,,,,,,5.91,5.76,-2.5,2016-17
lazio,Rossi A.,A,1.0,1.0,,,,,,,,,5.5,5.5,,2016-17
chievo,Gakpe S.,T (C),4.0,15.0,1.0,,2.0,,,,,,5.88,6.04,2.0,2016-17
fiorentina,Kalinic N.,A,27.0,31.0,15.0,1.0,5.0,1.0,2.0,1.0,1.0,,6.37,7.35,39.5,2016-17
udinese,Matos R.,T (A),4.0,20.0,,,,,,,,,5.62,5.62,,2016-17
sassuolo,Magnanelli F.,C,7.0,14.0,1.0,,2.0,,,,,,6.65,6.32,2.0,2016-17
empoli,Barba F.,D,4.0,10.0,,,3.0,,,,,,5.68,5.55,-1.5,2016-17
chievo,Bressan W.,P,1.0,,,,,,,,,,,,,2016-17
palermo,Fulignati A.,P,8.0,9.0,,,,,,,,,6.22,4.67,-14.0,2016-17
cagliari,Dessena D.,C,4.0,18.0,2.0,,4.0,1.0,,,,,5.69,5.88,3.0,2016-17
empoli,Cosic U.,D,4.0,13.0,,,1.0,,,,,,6.04,5.54,-0.5,2016-17
sampdoria,Viviano E.,P,8.0,16.0,,,5.0,,,,,1.0,6.72,5.18,-19.5,2016-17
genoa,Brivio D.,D,4.0,,,,,,,,,,,6.0,,2016-17
genoa,Ierardi M.,D,1.0,,,,,,,,,,,6.0,,2016-17
roma,Emerson P.,D,8.0,25.0,,1.0,1.0,,,,,,6.04,6.06,0.5,2016-17
sassuolo,Mazzitelli L.,C,6.0,17.0,1.0,2.0,8.0,,,,,,6.12,6.19,1.0,2016-17
pescara,Brugman G.,C,7.0,25.0,1.0,1.0,7.0,,,,,,6.06,5.85,0.5,2016-17
udinese,Perica S.,A,15.0,26.0,6.0,1.0,4.0,,,,,,6.22,6.65,17.5,2016-17
pescara,Muntari S.,C,4.0,9.0,1.0,,5.0,,,,,,5.28,5.33,0.5,2016-17
milan,Paletta G.,D,8.0,29.0,2.0,1.0,3.0,4.0,,,,,5.93,5.92,-0.5,2016-17
napoli,Strinic I.,D,5.0,12.0,,2.0,3.0,,,,,,6.0,6.04,0.5,2016-17
sampdoria,Fernandes B.,C,14.0,32.0,5.0,2.0,2.0,,,,,,5.83,6.33,16.0,2016-17
sampdoria,Praet D.,T (C),11.0,31.0,1.0,1.0,4.0,,,,,,6.02,5.88,2.0,2016-17
torino,Lopez M.,A,7.0,16.0,2.0,,1.0,,,,,,5.79,6.25,5.5,2016-17
genoa,Rigoni L.,C,11.0,30.0,3.0,1.0,13.0,,,,,,6.16,6.06,3.5,2016-17
torino,Belotti A.,A,40.0,34.0,26.0,3.0,5.0,,4.0,1.0,3.0,,6.85,8.64,69.5,2016-17
juventus,Pjanic M.,C,22.0,29.0,5.0,8.0,5.0,,,,,,6.26,6.93,20.5,2016-17
empoli,Pelagotti A.,P,2.0,2.0,,,,,,,,,5.83,4.17,-5.0,2016-17
empoli,Picchi A.,C,1.0,,,,,,,,,,,,,2016-17
bologna,Krafth E.,D,6.0,24.0,,,1.0,2.0,,,,,5.93,5.6,-2.5,2016-17
sassuolo,Ricci F.,T (A),5.0,24.0,2.0,,4.0,,1.0,1.0,,,5.71,5.94,4.0,2016-17
sampdoria,Simic L.,D,4.0,,,,,,,,,,,,,2016-17
atalanta,Pesic A.,A,4.0,6.0,,,,,,,,,5.67,5.67,,2016-17
pescara,Rodriguez N.,D,1.0,,,,,,,,,,,,,2016-17
