,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
4332,8,biondini davide,reggina,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
2460,8,kuffour samuel,roma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
1991,8,dossena andrea,treviso,D,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,2005-06
7851,8,beghetto luigi,treviso,A,8.0,7.0,0.0,0.0,0.0,0.0,1.0,2005-06
1940,8,domizzi maurizio,ascoli,D,4.0,5.0,0.0,-1.0,0.0,0.0,0.0,2005-06
3451,8,samuel walter,inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
7941,8,bojinov valeri,fiorentina,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
8906,8,montella vincenzo,roma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
9315,8,serafini matteo,empoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
1997,8,falcone giulio,sampdoria,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
4722,8,cesar rodriguez,lazio,C,7.5,6.5,0.0,0.0,0.0,0.0,1.0,2005-06
7906,8,bogdani erjon,siena,A,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
1126,8,cafu marcos,milan,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
804,8,agostini alessandro,cagliari,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
8440,8,esposito mauro,cagliari,A,6.0,5.5,0.0,-0.5,0.0,0.0,1.0,2005-06
1150,8,candela vincent,udinese,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
3141,8,pecorari marco,lecce,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7867,8,bjelanovic sasa,ascoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
598,8,pavarini nicola,reggina,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,2005-06
