,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
2437,2,gomez gu,milan,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
6431,2,kone p,udinese,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3227,2,oikonomou m,bologna,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3510,2,raimondi c,atalanta,D,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
6138,2,iago f,torino,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
10269,2,pucciarelli m,empoli,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
8345,2,veloso m,genoa,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8710,2,boye' l,torino,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8537,2,bacca c,milan,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1333,2,biraghi c,pescara,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
6901,2,medel g,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8327,2,vecino m,fiorentina,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3137,2,munoz e,genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5192,2,cristante b,pescara,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1094,2,antei l,sassuolo,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5035,2,castro l,chievo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5020,2,capezzi l,crotone,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4312,2,allan m,napoli,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8206,2,tonev a,crotone,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
