,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss,gol_fatto_subito,gol_su_rigore,assist,assist_da_fermo
10133,15,penaranda a,udinese,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
6537,15,kums s,udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
6385,15,khedira s,juventus,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
4123,15,wallace,lazio,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
2875,15,manolas k,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
7910,15,sensi s,sassuolo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
4756,15,bernardeschi f,fiorentina,C,8.5,6.5,0.0,0.0,0.0,2.0,0.0,0.0,2016-17,,,,
6405,15,kondogbia g,inter,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
120,15,consigli a,sassuolo,P,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2016-17,,,,
9166,15,floro flores a,chievo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
2594,15,isla m,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
7021,15,milinkovic s,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
4887,15,brozovic m,inter,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
6076,15,hetemaj p,chievo,C,,,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
501,15,puggioni c,sampdoria,P,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2016-17,,,,
7920,15,sosa j,milan,C,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
10637,15,trotta m,crotone,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
10358,15,ricci f,sassuolo,A,8.5,6.5,0.0,0.0,0.0,2.0,0.0,0.0,2016-17,,,,
8861,15,defrel g,sassuolo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
9008,15,dzeko e,roma,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
554,15,reina p,napoli,P,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2016-17,,,,
2652,15,jesus j,roma,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
2281,15,gamberini a,chievo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
7443,15,perisic i,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
902,15,aleesami h,palermo,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
6355,15,kessie' f,atalanta,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
10705,15,zarate m,fiorentina,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
7463,15,perotti d,roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
7942,15,spinazzola l,atalanta,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
5003,15,capezzi l,crotone,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
4827,15,birsa v,chievo,C,2.5,5.5,0.0,0.0,0.0,-3.0,0.0,0.0,2016-17,,,,
2678,15,koulibaly k,napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
6885,15,mazzitelli l,sassuolo,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
9215,15,gilardino a,empoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
880,15,albiol r,napoli,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
50,15,bizzarri a,pescara,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
7768,15,rog m,napoli,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
7376,15,pasalic m,milan,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
7735,15,rincon t,genoa,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
580,15,skorupski l,empoli,P,1.0,4.5,-3.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
2395,15,gobbi m,chievo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
7042,15,missiroli s,sassuolo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
10340,15,ragusa a,sassuolo,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
7515,15,pjanic m,juventus,C,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
4783,15,biglia l,lazio,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
10677,15,zapata d,udinese,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
70,15,buffon g,juventus,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
6525,15,kucka j,milan,C,,,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
4354,15,alvarez r,sampdoria,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
10107,15,pellissier s,chievo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
2624,15,izzo a,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
10308,15,quagliarella f,sampdoria,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
8751,15,callejon j,napoli,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
9135,15,farias d,cagliari,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
8794,15,caprari g,pescara,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
298,15,hart j,torino,P,3.5,5.5,-2.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
6564,15,kurtic j,atalanta,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
6935,15,memushaj l,pescara,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
5046,15,castro l,chievo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
2765,15,lichtsteiner s,juventus,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
2917,15,martella b,crotone,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
10489,15,schick p,sampdoria,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
7694,15,rigoni l,genoa,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
4367,15,anderson f,lazio,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
4210,15,zampano f,pescara,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
6129,15,iago f,torino,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
4287,15,zuparic d,pescara,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
649,15,sportiello m,atalanta,P,2.0,5.0,-3.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
4615,15,barreto e,sampdoria,C,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2016-17,,,,
745,15,tatarusanu c,fiorentina,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
6258,15,joao mario,inter,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
2326,15,gazzola m,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
10215,15,pettinari s,pescara,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
6111,15,honda k,milan,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
2821,15,maggio c,napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
388,15,marchetti f,lazio,P,3.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
5613,15,dzemaili b,bologna,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
10444,15,sau m,cagliari,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
2480,15,gyomber n,pescara,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
7661,15,radovanovic i,chievo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
352,15,karnezis o,udinese,P,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2016-17,,,,
4510,15,banega e,inter,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
6214,15,jajalo m,palermo,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
7637,15,quaison r,palermo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17,,,,
