Sqd,Giocatore,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP,yyss
genoa,Soumaoro A.,D,8.0,8.0,1.0,,2.0,,,,,,5.87,6.31,3.5,2019-20
inter,Vecino M.,C,16.0,18.0,2.0,1.0,4.0,,,,,,5.97,6.36,7.0,2019-20
inter,Candreva A.,C,20.0,30.0,5.0,6.0,5.0,,,,,,6.18,6.96,23.4,2019-20
brescia,Sabelli S.,D,9.0,36.0,,3.0,5.0,,,,,,5.79,5.75,-1.4,2019-20
cagliari,Rog M.,C,14.0,28.0,1.0,1.0,10.0,,,,,,6.23,6.23,,2019-20
torino,De Silvestri L.,D,11.0,26.0,,,2.0,,,,,,5.8,5.76,-1.0,2019-20
genoa,Ghiglione P.,D,7.0,22.0,,5.0,4.0,,,,,,5.7,5.84,3.1,2019-20
inter,Eriksen C.,C,26.0,13.0,1.0,2.0,,,,,,,5.73,6.19,6.0,2019-20
fiorentina,Agudelo K.,C,6.0,10.0,1.0,,3.0,1.0,,,,,5.9,6.05,1.5,2019-20
fiorentina,Venuti L.,D,7.0,13.0,,1.0,4.0,,,,,,5.76,5.69,-0.9,2019-20
udinese,Nuytinck B.,D,10.0,26.0,,,2.0,,,,,,6.0,5.96,-1.0,2019-20
spal,Sala J.,D,6.0,14.0,,,1.0,,,,,,5.57,5.53,-0.6,2019-20
fiorentina,Ceccherini F.,D,5.0,10.0,,,3.0,,,,,,5.65,5.5,-1.5,2019-20
spal,Tomovic N.,D,2.0,22.0,,1.0,5.0,1.0,,,,,5.36,5.15,-4.6,2019-20
bologna,Santander F.,A,12.0,17.0,1.0,,6.0,,1.0,1.0,,,5.67,5.67,,2019-20
lazio,Patric P.,D,8.0,21.0,,,2.0,1.0,,,,,5.9,5.8,-2.1,2019-20
lecce,Farias D.,A,15.0,18.0,2.0,,2.0,1.0,,,,,5.91,6.13,3.9,2019-20
roma,Perez C.,T (A),15.0,12.0,1.0,3.0,2.0,,,,,,5.95,6.37,5.0,2019-20
brescia,Semprini A.,D,4.0,10.0,1.0,,2.0,,,,,,5.65,6.0,3.5,2019-20
lecce,Rossettini L.,D,7.0,26.0,,1.0,5.0,,,,,,5.75,5.69,-1.6,2019-20
brescia,Bisoli D.,C,13.0,25.0,1.0,1.0,6.0,,,,,,5.9,5.98,2.0,2019-20
torino,Sirigu S.,P,16.0,36.0,,,4.0,,,,,1.0,6.58,4.83,-63.0,2019-20
udinese,Troost-ekong W.,D,8.0,29.0,,,5.0,,,,,,5.75,5.67,-2.4,2019-20
sampdoria,Barreto E.,C,5.0,2.0,,,,,,,,,5.75,5.75,,2019-20
bologna,Denswil S.,D,5.0,25.0,,,5.0,1.0,,,,,5.58,5.36,-5.5,2019-20
lecce,Petriccione J.,C,11.0,31.0,,3.0,10.0,,,,,,6.09,6.03,-1.9,2019-20
sassuolo,Djuricic F.,T (C),20.0,27.0,5.0,4.0,6.0,,,,,,6.12,6.9,21.1,2019-20
parma,Grassi A.,C,9.0,14.0,1.0,1.0,6.0,,,,,,5.92,6.07,2.1,2019-20
napoli,Luperto S.,D,4.0,7.0,,,2.0,,,,,,5.64,5.5,-1.0,2019-20
verona,Radunovic B.,P,2.0,3.0,,,1.0,,,,,,5.66,2.83,-8.5,2019-20
sampdoria,Falcone W.,P,1.0,2.0,,,1.0,,,,,,5.75,3.0,-5.5,2019-20
cagliari,Lykogiannis C.,D,7.0,19.0,,1.0,4.0,,,,,,5.71,5.65,-1.1,2019-20
roma,Fuzato D.,P,1.0,1.0,,,,,,,,,6.0,5.0,-1.0,2019-20
lecce,Lapadula G.,A,23.0,24.0,11.0,,8.0,1.0,2.0,2.0,,,6.06,7.22,27.9,2019-20
bologna,Barrow M.,A,26.0,24.0,9.0,3.0,1.0,,2.0,1.0,1.0,,6.25,7.35,26.4,2019-20
roma,Mirante A.,P,7.0,5.0,,,,,,,,,6.6,5.6,-5.0,2019-20
brescia,Andrenacci L.,P,2.0,6.0,,,,,,,,,6.0,3.33,-16.0,2019-20
juventus,Demiral M.,D,11.0,6.0,1.0,1.0,1.0,,,,,,6.08,6.91,5.0,2019-20
udinese,Musso J.,P,20.0,38.0,,,1.0,,,,,2.0,6.38,5.18,-45.6,2019-20
atalanta,Castagne T.,D,17.0,25.0,1.0,1.0,3.0,,,,,,6.2,6.36,4.0,2019-20
torino,Meite S.,C,9.0,29.0,,1.0,5.0,,,,,,5.7,5.65,-1.4,2019-20
spal,Bonifazi K.,D,8.0,17.0,2.0,,2.0,,,,,,5.41,5.88,8.0,2019-20
torino,Bremer G.,D,14.0,27.0,3.0,,2.0,2.0,,,,,6.03,6.42,10.5,2019-20
spal,Di Francesco F.,T (A),13.0,17.0,2.0,,4.0,,,,,,5.82,6.05,4.0,2019-20
fiorentina,Benassi M.,C,16.0,15.0,1.0,1.0,,,,,,,5.86,6.2,5.1,2019-20
napoli,Koulibaly K.,D,13.0,25.0,,,7.0,1.0,,,,,5.72,5.46,-6.5,2019-20
sassuolo,Rogerio O.,D,11.0,15.0,1.0,1.0,6.0,,,,,,6.0,6.16,2.4,2019-20
bologna,Poli A.,C,15.0,26.0,2.0,,5.0,,,,,,6.11,6.32,5.4,2019-20
genoa,Pandev G.,T (C),23.0,28.0,9.0,1.0,3.0,1.0,,,,,6.16,7.39,34.4,2019-20
milan,Bonaventura G.,C,19.0,26.0,3.0,5.0,2.0,,,,,,6.07,6.69,16.1,2019-20
spal,Zukanovic E.,D,6.0,3.0,,,1.0,,,,,,5.5,5.33,-0.5,2019-20
genoa,Goldaniga E.,D,7.0,11.0,1.0,,4.0,,,,,,5.77,6.0,2.5,2019-20
fiorentina,Kouame C.,A,19.0,18.0,6.0,1.0,1.0,,,,,,6.05,7.08,18.5,2019-20
genoa,Perin M.,P,7.0,21.0,,,1.0,,,,,,6.11,4.28,-38.4,2019-20
brescia,Spalek N.,T (C),11.0,24.0,2.0,1.0,5.0,,,,,,5.62,5.89,6.5,2019-20
sampdoria,Seculin A.,P,2.0,,,,,,,,,,,,,2019-20
bologna,Skov Olsen A.,T (A),11.0,20.0,1.0,,,,,,,,5.72,5.87,3.0,2019-20
sassuolo,Chiriches V.,D,8.0,8.0,,,,,,,,,5.87,5.87,,2019-20
atalanta,Zapata D.,A,42.0,28.0,18.0,6.0,1.0,,1.0,1.0,,,6.48,8.6,59.4,2019-20
lazio,Immobile C.,A,53.0,37.0,36.0,7.0,8.0,,15.0,14.0,1.0,,6.55,9.47,108.0,2019-20
parma,Adorante A.,A,1.0,,,,,,,,,,,,,2019-20
milan,Ibrahimovic Z.,A,40.0,18.0,10.0,3.0,1.0,,3.0,2.0,1.0,,6.52,8.16,29.5,2019-20
verona,Kumbulla M.,D,10.0,25.0,1.0,,5.0,1.0,,,,,6.16,6.2,1.0,2019-20
