,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
7376,37,laxalt,genoa,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
7081,37,jajalo,palermo,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2014-15
6729,37,hallfredsson,verona,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
4433,37,stendardo,atalanta,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9644,37,botta,chievo,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
1680,37,cannavaro,sassuolo,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
6686,37,guilherme,udinese,C,4.0,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,2014-15
861,37,sportiello,atalanta,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2014-15
7531,37,magnanelli,sassuolo,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2014-15
3301,37,marquez,verona,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
5048,37,baselli,atalanta,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
6191,37,ekdal,cagliari,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2014-15
7225,37,kone,udinese,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2014-15
9923,37,djordjevic,lazio,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2014-15
7970,37,nainggolan,roma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9585,37,boakye,atalanta,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
5008,37,barella,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
3684,37,ogbonna a,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9598,37,bonazzoli,inter,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
8677,37,rincon,genoa,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
10219,37,gabbiadini,napoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
3261,37,mario rui,empoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
10985,37,morata,juventus,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2014-15
4997,37,badu,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
4624,37,volta,cesena,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9926,37,djordjevic l,sampdoria,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
4454,37,stendardo g,atalanta,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
2086,37,darmian,torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
11610,37,sau,cagliari,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2014-15
5946,37,de feudis,cesena,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2014-15
289,37,de sanctis,roma,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2014-15
2723,37,gonzalez g,palermo,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9600,37,bonazzoli f,inter,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9,37,abbiati,milan,P,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
1293,37,barba,empoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
8463,37,pogba,juventus,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
2610,37,ghoulam,napoli,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2014-15
10202,37,floro flores a,sassuolo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
7211,37,keita s,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
