code,numero,giocatore,ruolo,ruolo_cod,voto,gol_fatti_subiti,assist,rigori_realizzati,rigori_sbagliati,autogol,ammonizioni,espulsioni,fantavoto,squadra,dots,yyss
0,0,Sportiello M.,Por,P,7.0,,,,,,,,7.0,Atalanta,1,2014-15
1,0,Benalouane Y.,Dif,D,6.0,,,,,,,,6.0,Atalanta,1,2014-15
2,0,Biava G.,Dif,D,6.0,,,,,,,,6.0,Atalanta,1,2014-15
3,0,Drame' B.,Dif,D,5.5,,,,,,1.0,,5.0,Atalanta,1,2014-15
4,0,Zappacosta D.,Dif,D,6.0,,,,,,,,6.0,Atalanta,1,2014-15
5,0,Carmona C.,Cen,C,6.0,,,,,,,,6.0,Atalanta,1,2014-15
6,0,Cigarini L.,Cen,C,6.0,,,,,,,,6.0,Atalanta,1,2014-15
7,0,Moralez M.,Cen,C,5.5,,,,,,,,5.5,Atalanta,1,2014-15
8,0,Estigarribia M.,Cen,C,6.5,,,,,,,,6.5,Atalanta,1,2014-15
9,0,Denis G.,Att,A,5.5,,,,,,,,5.5,Atalanta,1,2014-15
10,0,Spinazzola L.,Cen,C,,,,,,,,,,Atalanta,1,2014-15
11,0,Boakye R.,Att,A,5.0,,,,,,1.0,,4.5,Atalanta,1,2014-15
12,0,Bianchi R.,Att,A,6.0,,,,,,,,6.0,Atalanta,1,2014-15
0,0,Colombi S.,Por,P,6.5,-1.0,,,,,,,5.5,Cagliari,1,2014-15
1,0,Pisano F.,Dif,D,5.0,,,,,,,,5.0,Cagliari,1,2014-15
2,0,Avelar D.,Dif,D,6.5,,,,,,,,6.5,Cagliari,1,2014-15
3,0,Ceppitelli L.,Dif,D,6.0,,,,,,,,6.0,Cagliari,1,2014-15
4,0,Rossettini L.,Dif,D,6.0,,,,,,,,6.0,Cagliari,1,2014-15
5,0,Crisetig L.,Cen,C,6.5,,,,,,,,6.5,Cagliari,1,2014-15
6,0,Conti D.,Cen,C,7.0,,,,,,1.0,,6.5,Cagliari,1,2014-15
7,0,Cossu A.,Cen,C,5.5,,,,,,,,5.5,Cagliari,1,2014-15
8,0,Ekdal A.,Cen,C,6.0,,,,,,,,6.0,Cagliari,1,2014-15
9,0,Farias D.,Att,A,5.5,,,,,,,,5.5,Cagliari,1,2014-15
10,0,Sau M.,Att,A,6.5,1.0,,,,,,,9.5,Cagliari,1,2014-15
11,0,Balzano A.,Dif,D,6.5,,1.0,,,,1.0,,7.0,Cagliari,1,2014-15
12,0,Murru N.,Dif,D,,,,,,,,,,Cagliari,1,2014-15
13,0,Longo S.,Att,A,6.0,,,,,,,,6.0,Cagliari,1,2014-15
0,0,Leali N.,Por,P,6.5,,,,,,,,6.5,Cesena,1,2014-15
1,0,Renzetti F.,Dif,D,6.5,,,,,,,,6.5,Cesena,1,2014-15
2,0,Capelli D.,Dif,D,6.0,,,,,,,,6.0,Cesena,1,2014-15
3,0,Lucchini S.,Dif,D,6.5,,,,,,1.0,,6.0,Cesena,1,2014-15
4,0,Volta M.,Dif,D,6.5,,,,,,,,6.5,Cesena,1,2014-15
5,0,Coppola M.,Cen,C,6.0,,,,,,,,6.0,Cesena,1,2014-15
6,0,Brienza F.,Cen,C,7.0,,1.0,,,,,,8.0,Cesena,1,2014-15
7,0,Cascione E.,Cen,C,7.0,,,,,,,,7.0,Cesena,1,2014-15
8,0,De Feudis G.,Cen,C,6.0,,,,,,,,6.0,Cesena,1,2014-15
9,0,Rodriguez A.,Att,A,7.0,1.0,,,,,1.0,,9.5,Cesena,1,2014-15
10,0,Marilungo G.,Att,A,6.5,,,,,,,,6.5,Cesena,1,2014-15
11,0,Krajnc L.,Dif,D,,,,,,,,,,Cesena,1,2014-15
12,0,Perico G.,Dif,D,,,,,,,,,,Cesena,1,2014-15
13,0,Garritano L.,Att,A,6.0,,,,,,,,6.0,Cesena,1,2014-15
0,0,Bardi F.,Por,P,5.0,-1.0,,,,,,,4.0,Chievo,1,2014-15
1,0,Dainelli D.,Dif,D,5.5,,,,,,1.0,,5.0,Chievo,1,2014-15
2,0,Biraghi C.,Dif,D,5.0,,,,,1.0,,,3.0,Chievo,1,2014-15
3,0,Cesar B.,Dif,D,5.5,,,,,,,,5.5,Chievo,1,2014-15
4,0,Frey N.,Dif,D,5.5,,,,,,,,5.5,Chievo,1,2014-15
5,0,Mangani T.,Cen,C,5.0,,,,,,1.0,,4.5,Chievo,1,2014-15
6,0,Hetemaj P.,Cen,C,6.0,,,,,,,,6.0,Chievo,1,2014-15
7,0,Schelotto E.,Cen,C,5.0,,,,,,,,5.0,Chievo,1,2014-15
8,0,Izco M.,Cen,C,5.0,,,,,,,,5.0,Chievo,1,2014-15
9,0,Birsa V.,Cen,C,5.5,,,,,,,,5.5,Chievo,1,2014-15
10,0,Maxi Lopez,Att,A,5.5,,,,,,,,5.5,Chievo,1,2014-15
11,0,Radovanovic I.,Cen,C,5.5,,,,,,,,5.5,Chievo,1,2014-15
12,0,Cofie I.,Cen,C,6.0,,,,,,,,6.0,Chievo,1,2014-15
13,0,Paloschi A.,Att,A,5.5,,,,,,,,5.5,Chievo,1,2014-15
0,0,Sepe L.,Por,P,6.0,-2.0,,,,,,,4.0,Empoli,1,2014-15
1,0,Hysaj E.,Dif,D,6.0,,,,,,,,6.0,Empoli,1,2014-15
2,0,Laurini V.,Dif,D,4.5,,,,,,,,4.5,Empoli,1,2014-15
3,0,Tonelli L.,Dif,D,5.0,,,,,,,,5.0,Empoli,1,2014-15
4,0,Rugani D.,Dif,D,6.0,,,,,,,,6.0,Empoli,1,2014-15
5,0,Croce D.,Cen,C,6.5,,,,,,1.0,,6.0,Empoli,1,2014-15
6,0,Verdi S.,Cen,C,5.5,,,,,,1.0,,5.0,Empoli,1,2014-15
7,0,Vecino M.,Cen,C,6.0,,,,,,,,6.0,Empoli,1,2014-15
8,0,Valdifiori M.,Cen,C,5.5,,,,,,,,5.5,Empoli,1,2014-15
9,0,Mchedlidze L.,Att,A,5.5,,,,,,,,5.5,Empoli,1,2014-15
10,0,Tavano F.,Att,A,5.0,,,,,,,,5.0,Empoli,1,2014-15
11,0,Mario Rui,Dif,D,6.0,,,,,,,,6.0,Empoli,1,2014-15
12,0,Signorelli F.,Cen,C,6.0,,,,,,,,6.0,Empoli,1,2014-15
13,0,Pucciarelli M.,Cen,C,,,,,,,,,,Empoli,1,2014-15
0,0,Neto N.,Por,P,6.5,-2.0,,,,,,,4.5,Fiorentina,1,2014-15
1,0,Alonso M.,Dif,D,5.5,,,,,,1.0,,5.0,Fiorentina,1,2014-15
2,0,Rodriguez G.,Dif,D,5.5,,,,,,1.0,,5.0,Fiorentina,1,2014-15
3,0,Savic S.,Dif,D,5.5,,,,,,1.0,,5.0,Fiorentina,1,2014-15
4,0,Tomovic N.,Dif,D,6.0,,,,,,,,6.0,Fiorentina,1,2014-15
5,0,Borja Valero,Cen,C,6.0,,,,,,,,6.0,Fiorentina,1,2014-15
6,0,Vargas J.,Cen,C,5.0,,,,,,,,5.0,Fiorentina,1,2014-15
7,0,Pizarro D.,Cen,C,5.5,,,,,,,,5.5,Fiorentina,1,2014-15
8,0,Brillante J.,Cen,C,4.5,,,,,,,,4.5,Fiorentina,1,2014-15
9,0,Babacar K.,Att,A,5.0,,,,,,,,5.0,Fiorentina,1,2014-15
10,0,Gomez M.,Att,A,5.0,,,,,,,,5.0,Fiorentina,1,2014-15
11,0,Joaquin,Cen,C,5.5,,,,,,,,5.5,Fiorentina,1,2014-15
12,0,Ilicic J.,Cen,C,7.0,,,,,,,,7.0,Fiorentina,1,2014-15
13,0,Aquilani A.,Cen,C,5.5,,,,,,1.0,,5.0,Fiorentina,1,2014-15
0,0,Perin M.,Por,P,6.5,-2.0,,,,,,,4.5,Genoa,1,2014-15
1,0,Burdisso N.,Dif,D,5.0,,,,,,,,5.0,Genoa,1,2014-15
2,0,De Maio S.,Dif,D,6.0,,,,,,,,6.0,Genoa,1,2014-15
3,0,Edenilson A.,Dif,D,5.5,,,,,,,,5.5,Genoa,1,2014-15
4,0,Marchese G.,Dif,D,6.0,,1.0,,,,1.0,,6.5,Genoa,1,2014-15
5,0,Antonelli L.,Cen,C,4.5,,,,,,,,4.5,Genoa,1,2014-15
6,0,Kucka J.,Cen,C,6.0,,,,,,,,6.0,Genoa,1,2014-15
7,0,Rincon T.,Cen,C,6.0,,,,,,,,6.0,Genoa,1,2014-15
8,0,Sturaro S.,Cen,C,6.5,,,,,,1.0,,6.0,Genoa,1,2014-15
9,0,Perotti D.,Cen,C,6.5,,,,,,,,6.5,Genoa,1,2014-15
10,0,Pinilla M.,Att,A,7.0,1.0,,,,,,,10.0,Genoa,1,2014-15
11,0,Iago F.,Cen,C,5.5,,,,,,,,5.5,Genoa,1,2014-15
12,0,Ragusa A.,Cen,C,5.5,,,,,,1.0,,5.0,Genoa,1,2014-15
13,0,Mussis F.,Cen,C,5.0,,,,,,,,5.0,Genoa,1,2014-15
0,0,Handanovic S.,Por,P,7.0,,,1.0,,,,,10.0,Inter,1,2014-15
1,0,Dodo' R.,Dif,D,5.5,,,,,,,,5.5,Inter,1,2014-15
2,0,Ranocchia A.,Dif,D,6.0,,,,,,,,6.0,Inter,1,2014-15
3,0,Vidic N.,Dif,D,5.0,,,,,,,1.0,4.0,Inter,1,2014-15
4,0,Jonathan C.,Dif,D,6.0,,,,,,,,6.0,Inter,1,2014-15
5,0,Juan Jesus G.,Dif,D,6.0,,,,,,,,6.0,Inter,1,2014-15
6,0,Medel G.,Cen,C,6.0,,,,,,,,6.0,Inter,1,2014-15
7,0,M'vila Y.,Cen,C,5.0,,,,,,,,5.0,Inter,1,2014-15
8,0,Hernanes A.,Cen,C,6.0,,,,,,1.0,,5.5,Inter,1,2014-15
9,0,Kovacic M.,Cen,C,5.5,,,,,,,,5.5,Inter,1,2014-15
10,0,Icardi M.,Att,A,5.0,,,,,,,,5.0,Inter,1,2014-15
11,0,Nagatomo Y.,Dif,D,,,,,,,,,,Inter,1,2014-15
12,0,D'ambrosio D.,Dif,D,5.0,,,,,,,,5.0,Inter,1,2014-15
13,0,Osvaldo P.,Att,A,6.0,,,,,,,,6.0,Inter,1,2014-15
0,0,Buffon G.,Por,P,6.5,,,,,,,,6.5,Juventus,1,2014-15
1,0,Bonucci L.,Dif,D,6.0,,,,,,,,6.0,Juventus,1,2014-15
2,0,Caceres M.,Dif,D,7.0,,,,,,,,7.0,Juventus,1,2014-15
3,0,Lichtsteiner S.,Dif,D,7.0,,,,,,,,7.0,Juventus,1,2014-15
4,0,Ogbonna A.,Dif,D,6.0,,,,,,,,6.0,Juventus,1,2014-15
5,0,Asamoah K.,Cen,C,6.0,,,,,,,,6.0,Juventus,1,2014-15
6,0,Coman K.,Cen,C,7.0,,,,,,,,7.0,Juventus,1,2014-15
7,0,Vidal A.,Cen,C,6.5,,,,,,1.0,,6.0,Juventus,1,2014-15
8,0,Pogba P.,Cen,C,7.0,,,,,,,,7.0,Juventus,1,2014-15
9,0,Marchisio C.,Cen,C,6.5,,,,,,,,6.5,Juventus,1,2014-15
10,0,Tevez C.,Att,A,6.5,,,,,,,,6.5,Juventus,1,2014-15
11,0,Pereyra R.,Cen,C,,,,,,,,,,Juventus,1,2014-15
12,0,Llorente F.,Att,A,6.0,,,,,,,,6.0,Juventus,1,2014-15
0,0,Berisha E.,Por,P,6.0,-3.0,,,,,,,3.0,Lazio,1,2014-15
1,0,Basta D.,Dif,D,5.0,,,,,,,,5.0,Lazio,1,2014-15
2,0,Cana L.,Dif,D,5.5,,,,,,,,5.5,Lazio,1,2014-15
3,0,De Vrij S.,Dif,D,4.5,,,,,,1.0,,4.0,Lazio,1,2014-15
4,0,Radu S.,Dif,D,5.5,,,,,,1.0,,5.0,Lazio,1,2014-15
5,0,Biglia L.,Cen,C,6.0,,,,,,,,6.0,Lazio,1,2014-15
6,0,Candreva A.,Cen,C,5.5,,,,1.0,,,,2.5,Lazio,1,2014-15
7,0,Parolo M.,Cen,C,5.0,,,,,,,,5.0,Lazio,1,2014-15
8,0,Lulic S.,Cen,C,5.5,,,,,,1.0,,5.0,Lazio,1,2014-15
9,0,Keita B.,Att,A,5.5,,,,,,,,5.5,Lazio,1,2014-15
10,0,Klose M.,Att,A,5.0,,,,,,,,5.0,Lazio,1,2014-15
11,0,Mauri S.,Cen,C,6.0,,,,,,,,6.0,Lazio,1,2014-15
12,0,Felipe Anderson P.,Cen,C,5.5,,,,,,,,5.5,Lazio,1,2014-15
13,0,Djordjevic F.,Att,A,5.5,,,,,,,,5.5,Lazio,1,2014-15
0,0,Diego Lopez R.,Por,P,7.0,-1.0,,1.0,,,1.0,,8.5,Milan,1,2014-15
1,0,Abate I.,Dif,D,6.5,,1.0,,,,,,7.5,Milan,1,2014-15
2,0,Alex C.,Dif,D,6.5,,,,,1.0,,,4.5,Milan,1,2014-15
3,0,Bonera D.,Dif,D,6.5,,,,,,,,6.5,Milan,1,2014-15
4,0,Zapata C.,Dif,D,7.0,,,,,,,,7.0,Milan,1,2014-15
5,0,De Jong N.,Cen,C,7.0,,,,,,1.0,,6.5,Milan,1,2014-15
6,0,Poli A.,Cen,C,6.5,,,,,,,,6.5,Milan,1,2014-15
7,0,Muntari S.,Cen,C,6.5,1.0,,,,,,,9.5,Milan,1,2014-15
8,0,Menez J.,Cen,C,6.5,1.0,,1.0,,,,,9.5,Milan,1,2014-15
9,0,Bonaventura G.,Cen,C,6.0,,,,,,,,6.0,Milan,1,2014-15
10,0,Honda K.,Cen,C,6.5,1.0,,,,,,,9.5,Milan,1,2014-15
11,0,El Shaarawy S.,Att,A,7.5,,1.0,,,,,,8.5,Milan,1,2014-15
12,0,Essien M.,Cen,C,6.0,,,,,,,,6.0,Milan,1,2014-15
13,0,Armero P.,Cen,C,6.0,,,,,,,,6.0,Milan,1,2014-15
14,0,Niang M.,Att,A,,,,,,,,,,Milan,1,2014-15
0,0,Rafael C.,Por,P,7.0,-1.0,,,,,,,6.0,Napoli,1,2014-15
1,0,Albiol R.,Dif,D,5.5,,,,,,1.0,,5.0,Napoli,1,2014-15
2,0,Koulibaly K.,Dif,D,5.5,,,,,,,,5.5,Napoli,1,2014-15
3,0,Maggio C.,Dif,D,5.5,,,,,,,,5.5,Napoli,1,2014-15
4,0,Zuniga J.,Dif,D,5.5,,1.0,,,,,,6.5,Napoli,1,2014-15
5,0,Hamsik M.,Cen,C,5.0,,,,,,,,5.0,Napoli,1,2014-15
6,0,Inler G.,Cen,C,6.0,,,,,,,,6.0,Napoli,1,2014-15
7,0,Jorginho F.,Cen,C,6.0,,,,,,,,6.0,Napoli,1,2014-15
8,0,Callejon J.,Att,A,6.0,1.0,,,,,,,9.0,Napoli,1,2014-15
9,0,Higuain G.,Att,A,5.5,,1.0,,,,,,6.5,Napoli,1,2014-15
10,0,Insigne L.,Att,A,4.5,,,,,,,,4.5,Napoli,1,2014-15
11,0,Mertens D.,Cen,C,6.0,,,,,,,,6.0,Napoli,1,2014-15
12,0,De Guzman J.,Cen,C,7.0,1.0,,,,,,,10.0,Napoli,1,2014-15
13,0,Michu M.,Att,A,6.0,,,,,,,,6.0,Napoli,1,2014-15
0,0,Sorrentino S.,Por,P,6.0,-1.0,,,,,,,5.0,Palermo,1,2014-15
1,0,Munoz E.,Dif,D,6.0,,,,,,,,6.0,Palermo,1,2014-15
2,0,Daprela' F.,Dif,D,6.0,,,,,,1.0,,5.5,Palermo,1,2014-15
3,0,Pisano E.,Dif,D,5.0,,,,,,,,5.0,Palermo,1,2014-15
4,0,Andelkovic S.,Dif,D,6.0,,,,,,,,6.0,Palermo,1,2014-15
5,0,Terzi C.,Dif,D,6.5,,,,,,,,6.5,Palermo,1,2014-15
6,0,Bolzoni F.,Cen,C,6.0,,,,,,,,6.0,Palermo,1,2014-15
7,0,Rigoni L.,Cen,C,6.0,,,,,,1.0,,5.5,Palermo,1,2014-15
8,0,Barreto E.,Cen,C,6.5,,1.0,,,,,,7.5,Palermo,1,2014-15
9,0,Vazquez F.,Cen,C,6.5,,,,,,,,6.5,Palermo,1,2014-15
10,0,Dybala P.,Att,A,7.0,1.0,,,,,,,10.0,Palermo,1,2014-15
11,0,Ngoyi G.,Cen,C,6.0,,,,,,,,6.0,Palermo,1,2014-15
12,0,Bentivegna A.,Att,A,,,,,,,,,,Palermo,1,2014-15
13,0,Belotti A.,Att,A,6.0,,,,,,,,6.0,Palermo,1,2014-15
0,0,Mirante A.,Por,P,6.5,-1.0,,,,,,,5.5,Parma,1,2014-15
1,0,Cassani M.,Dif,D,5.0,,,,,,,,5.0,Parma,1,2014-15
2,0,Gobbi M.,Dif,D,5.5,,,,,,,,5.5,Parma,1,2014-15
3,0,Lucarelli A.,Dif,D,5.0,,,,,,,,5.0,Parma,1,2014-15
4,0,Paletta G.,Dif,D,5.5,,,,,,,,5.5,Parma,1,2014-15
5,0,Acquah A.,Cen,C,6.0,,,,,,,,6.0,Parma,1,2014-15
6,0,Lodi F.,Cen,C,5.0,,,,,,,,5.0,Parma,1,2014-15
7,0,Jorquera C.,Cen,C,5.5,,,,,,1.0,,5.0,Parma,1,2014-15
8,0,Biabiany J.,Cen,C,5.5,,,,,,,,5.5,Parma,1,2014-15
9,0,Belfodil I.,Att,A,4.5,,,,,,,,4.5,Parma,1,2014-15
10,0,Palladino R.,Att,A,5.0,,,,,,,,5.0,Parma,1,2014-15
11,0,Ristovski S.,Dif,D,,,,,,,,,,Parma,1,2014-15
12,0,Coda M.,Att,A,5.5,,,,,,,,5.5,Parma,1,2014-15
0,0,De Sanctis M.,Por,P,7.5,,,,,,,,7.5,Roma,1,2014-15
1,0,Manolas K.,Dif,D,6.5,,,,,,,,6.5,Roma,1,2014-15
2,0,Astori D.,Dif,D,6.5,,,,,,1.0,,6.0,Roma,1,2014-15
3,0,Cole A.,Dif,D,6.0,,,,,,1.0,,5.5,Roma,1,2014-15
4,0,Torosidis V.,Dif,D,6.0,,,,,,1.0,,5.5,Roma,1,2014-15
5,0,De Rossi D.,Cen,C,6.5,,,,,,,,6.5,Roma,1,2014-15
6,0,Nainggolan R.,Cen,C,7.5,1.0,1.0,,,,,,11.5,Roma,1,2014-15
7,0,Pjanic M.,Cen,C,7.0,,,,,,,,7.0,Roma,1,2014-15
8,0,Gervinho,Att,A,7.0,1.0,,,,,,,10.0,Roma,1,2014-15
9,0,Iturbe J.,Att,A,6.5,,,,,,,,6.5,Roma,1,2014-15
10,0,Totti F.,Att,A,6.5,,,,,,1.0,,6.0,Roma,1,2014-15
11,0,Florenzi A.,Cen,C,6.0,,,,,,,,6.0,Roma,1,2014-15
12,0,Keita S.,Cen,C,6.5,,,,,,,,6.5,Roma,1,2014-15
13,0,Ljajic A.,Att,A,,,,,,,,,,Roma,1,2014-15
0,0,Viviano E.,Por,P,6.0,-1.0,,,,,,,5.0,Sampdoria,1,2014-15
1,0,De Silvestri L.,Dif,D,6.5,,1.0,,,,1.0,,7.0,Sampdoria,1,2014-15
2,0,Gastaldello D.,Dif,D,6.5,1.0,,,,,,,9.5,Sampdoria,1,2014-15
3,0,Regini V.,Dif,D,5.0,,,,,,,1.0,4.0,Sampdoria,1,2014-15
4,0,Cacciatore F.,Dif,D,5.5,,,,,,,,5.5,Sampdoria,1,2014-15
5,0,Soriano R.,Cen,C,6.0,,,,,,,,6.0,Sampdoria,1,2014-15
6,0,Palombo A.,Cen,C,6.0,,,,,,,,6.0,Sampdoria,1,2014-15
7,0,Obiang P.,Cen,C,5.0,,,,,,,,5.0,Sampdoria,1,2014-15
8,0,Sansone G.,Att,A,5.0,,,,,,,,5.0,Sampdoria,1,2014-15
9,0,Eder C.,Att,A,6.5,,,,,,,,6.5,Sampdoria,1,2014-15
10,0,Okaka S.,Att,A,6.0,,,,,,1.0,,5.5,Sampdoria,1,2014-15
11,0,Silvestre M.,Dif,D,6.0,,,,,,,,6.0,Sampdoria,1,2014-15
12,0,Krsticic N.,Cen,C,6.0,,,,,,,,6.0,Sampdoria,1,2014-15
13,0,Bergessio G.,Att,A,6.0,,,,,,,,6.0,Sampdoria,1,2014-15
0,0,Pomini A.,Por,P,6.5,-1.0,,,,,,,5.5,Sassuolo,1,2014-15
1,0,Antei L.,Dif,D,5.5,,,,,,,,5.5,Sassuolo,1,2014-15
2,0,Ariaudo L.,Dif,D,5.5,,,,,,,,5.5,Sassuolo,1,2014-15
3,0,Gazzola M.,Dif,D,5.0,,,,,,,,5.0,Sassuolo,1,2014-15
4,0,Peluso F.,Dif,D,6.0,,,,,,1.0,,5.5,Sassuolo,1,2014-15
5,0,Biondini D.,Cen,C,6.0,,,,,,,,6.0,Sassuolo,1,2014-15
6,0,Missiroli S.,Cen,C,6.0,,,,,,,,6.0,Sassuolo,1,2014-15
7,0,Magnanelli F.,Cen,C,6.0,,,,,,,,6.0,Sassuolo,1,2014-15
8,0,Sansone N.,Att,A,6.5,,,,,,,,6.5,Sassuolo,1,2014-15
9,0,Berardi D.,Att,A,7.0,,1.0,,,,1.0,,7.5,Sassuolo,1,2014-15
10,0,Zaza S.,Att,A,7.5,1.0,,,,,1.0,,10.0,Sassuolo,1,2014-15
11,0,Vrsaljko S.,Dif,D,,,,,,,,,,Sassuolo,1,2014-15
12,0,Chibsah Y.,Cen,C,6.0,,,,,,,,6.0,Sassuolo,1,2014-15
13,0,Floro Flores A.,Att,A,6.0,,,,,,,,6.0,Sassuolo,1,2014-15
0,0,Padelli D.,Por,P,6.5,,,,,,,,6.5,Torino,1,2014-15
1,0,Darmian M.,Dif,D,6.0,,,,,,,,6.0,Torino,1,2014-15
2,0,Glik K.,Dif,D,6.0,,,,,,,,6.0,Torino,1,2014-15
3,0,Maksimovic N.,Dif,D,6.0,,,,,,1.0,,5.5,Torino,1,2014-15
4,0,Bovo C.,Dif,D,6.0,,,,,,,,6.0,Torino,1,2014-15
5,0,Moretti E.,Dif,D,6.0,,,,,,,,6.0,Torino,1,2014-15
6,0,El Kaddouri O.,Cen,C,6.5,,,,,,,,6.5,Torino,1,2014-15
7,0,Gazzi A.,Cen,C,6.5,,,,,,,,6.5,Torino,1,2014-15
8,0,Nocerino A.,Cen,C,6.0,,,,,,,,6.0,Torino,1,2014-15
9,0,Quagliarella F.,Att,A,6.5,,,,,,,,6.5,Torino,1,2014-15
10,0,Larrondo P.,Att,A,4.5,,,,1.0,,,,1.5,Torino,1,2014-15
11,0,Molinaro C.,Dif,D,6.0,,,,,,,,6.0,Torino,1,2014-15
12,0,Sanchez Mino J.,Cen,C,6.0,,,,,,,,6.0,Torino,1,2014-15
13,0,Amauri C.,Att,A,6.0,,,,,,,,6.0,Torino,1,2014-15
0,0,Karnezis O.,Por,P,6.0,,,,,,,,6.0,Udinese,1,2014-15
1,0,Danilo L.,Dif,D,6.5,,,,,,,,6.5,Udinese,1,2014-15
2,0,Domizzi M.,Dif,D,6.0,,,,,,,,6.0,Udinese,1,2014-15
3,0,Heurtaux T.,Dif,D,5.5,,,,,,,,5.5,Udinese,1,2014-15
4,0,Pasquale G.,Dif,D,6.0,,,,,,1.0,,5.5,Udinese,1,2014-15
5,0,Allan M.,Cen,C,6.5,,,,,,,,6.5,Udinese,1,2014-15
6,0,Badu E.,Cen,C,6.5,,,,,,1.0,,6.0,Udinese,1,2014-15
7,0,Widmer S.,Cen,C,6.0,,,,,,,,6.0,Udinese,1,2014-15
8,0,Guilherme d.,Cen,C,6.0,,,,,,,,6.0,Udinese,1,2014-15
9,0,Muriel L.,Att,A,6.5,,1.0,,,,,,7.5,Udinese,1,2014-15
10,0,Di Natale A.,Att,A,8.0,2.0,,,,,,,14.0,Udinese,1,2014-15
11,0,Kone P.,Cen,C,,,,,,,,,,Udinese,1,2014-15
12,0,Fernandes B.,Cen,C,6.0,,,,,,,,6.0,Udinese,1,2014-15
13,0,Thereau C.,Att,A,6.0,,,,,,,,6.0,Udinese,1,2014-15
0,0,Rafael d.,Por,P,6.0,,,,,,,,6.0,Verona,1,2014-15
1,0,Martic I.,Dif,D,6.0,,,,,,,,6.0,Verona,1,2014-15
2,0,Moras E.,Dif,D,6.0,,,,,,,,6.0,Verona,1,2014-15
3,0,Marquez R.,Dif,D,6.5,,,,,,,,6.5,Verona,1,2014-15
4,0,Agostini A.,Dif,D,6.5,,,,,,,,6.5,Verona,1,2014-15
5,0,Obbadi M.,Cen,C,6.5,,,,,,,,6.5,Verona,1,2014-15
6,0,Jankovic B.,Cen,C,6.0,,,,,,,,6.0,Verona,1,2014-15
7,0,Hallfredsson E.,Cen,C,5.0,,,,,,1.0,,4.5,Verona,1,2014-15
8,0,Tachtsidis P.,Cen,C,5.5,,,,,,,,5.5,Verona,1,2014-15
9,0,Toni L.,Att,A,6.0,,,,,,,,6.0,Verona,1,2014-15
10,0,Gomez J.,Att,A,6.0,,,,,,,,6.0,Verona,1,2014-15
11,0,Christodoulopoulos L.,Cen,C,6.0,,,,,,1.0,,5.5,Verona,1,2014-15
12,0,Ionita A.,Cen,C,6.0,,,,,,1.0,,5.5,Verona,1,2014-15
13,0,Nico Lopez F.,Att,A,,,,,,,,,,Verona,1,2014-15
0,0,Sportiello M.,Por,P,7.5,-1.0,,,,,,,6.5,Atalanta,2,2014-15
1,0,Biava G.,Dif,D,7.0,,,,,,,,7.0,Atalanta,2,2014-15
2,0,Benalouane Y.,Dif,D,6.0,,,,,,,,6.0,Atalanta,2,2014-15
3,0,Zappacosta D.,Dif,D,5.5,,,,,,,,5.5,Atalanta,2,2014-15
4,0,Drame' B.,Dif,D,7.0,,1.0,,,,1.0,,7.5,Atalanta,2,2014-15
5,0,Cigarini L.,Cen,C,6.0,,,,,,1.0,,5.5,Atalanta,2,2014-15
6,0,Estigarribia M.,Cen,C,6.5,1.0,,,,,1.0,,9.0,Atalanta,2,2014-15
7,0,D'alessandro M.,Cen,C,5.5,,,,,,1.0,,5.0,Atalanta,2,2014-15
8,0,Carmona C.,Cen,C,6.0,,,,,,,,6.0,Atalanta,2,2014-15
9,0,Boakye R.,Att,A,7.0,1.0,,,,,,,10.0,Atalanta,2,2014-15
10,0,Denis G.,Att,A,5.5,,,,,,,,5.5,Atalanta,2,2014-15
11,0,Cherubin N.,Dif,D,5.0,,,,,,,,5.0,Atalanta,2,2014-15
12,0,Raimondi C.,Dif,D,5.5,,,,,,,,5.5,Atalanta,2,2014-15
13,0,Baselli D.,Cen,C,,,,,,,,,,Atalanta,2,2014-15
0,0,Colombi S.,Por,P,5.5,-2.0,,,,,,,3.5,Cagliari,2,2014-15
1,0,Avelar D.,Dif,D,5.5,,,,,,1.0,,5.0,Cagliari,2,2014-15
2,0,Balzano A.,Dif,D,6.0,,,,,,,,6.0,Cagliari,2,2014-15
3,0,Ceppitelli L.,Dif,D,5.5,,,,,,,,5.5,Cagliari,2,2014-15
4,0,Rossettini L.,Dif,D,5.5,,,,,,,,5.5,Cagliari,2,2014-15
5,0,Conti D.,Cen,C,6.0,,,,,,1.0,,5.5,Cagliari,2,2014-15
6,0,Ekdal A.,Cen,C,5.5,,,,,,,,5.5,Cagliari,2,2014-15
7,0,Crisetig L.,Cen,C,6.0,,,,,,1.0,,5.5,Cagliari,2,2014-15
8,0,Cossu A.,Cen,C,7.0,1.0,,1.0,,,,,10.0,Cagliari,2,2014-15
9,0,Sau M.,Att,A,6.0,,,,,,,,6.0,Cagliari,2,2014-15
10,0,Farias D.,Att,A,6.0,,,,,,,,6.0,Cagliari,2,2014-15
11,0,Dessena D.,Cen,C,6.0,,,,,,,,6.0,Cagliari,2,2014-15
12,0,Joao Pedro G.,Cen,C,6.0,,,,,,,,6.0,Cagliari,2,2014-15
13,0,Ibarbo V.,Att,A,6.5,,,,,,1.0,,6.0,Cagliari,2,2014-15
0,0,Leali N.,Por,P,5.5,-3.0,,,,,,,2.5,Cesena,2,2014-15
