,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss,gol_fatto_subito,gol_su_rigore,assist,assist_da_fermo
9693,5,niang m,torino,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2784,5,lucioni f,benevento,D,2.0,5.0,0.0,0.0,0.0,0.0,-3.0,0.0,2017-18,,,,
5791,5,farago p,cagliari,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3751,5,rossettini l,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
8098,5,veretout j,fiorentina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
187,5,cordaz a,crotone,P,0.5,5.5,-5.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
10209,5,sau m,cagliari,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
7043,5,murgia a,lazio,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2353,5,gosens r,atalanta,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
351,5,handanovic s,inter,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3730,5,rosi a,genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
906,5,albiol r,napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
5269,5,chiesa f,fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
8189,5,zaccagni m,verona,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3705,5,romulo,verona,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
9323,5,kalinic n,milan,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2824,5,lukaku j,lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
9725,5,orsolini r,atalanta,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
7168,5,padoin s,cagliari,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
1416,5,caldara m,atalanta,D,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
11005,5,maran,chievo,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
5970,5,garritano l,chievo,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2333,5,gonzalez g,bologna,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
8071,5,veloso m,genoa,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
8611,5,caprari g,sampdoria,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
3647,5,romagnoli a,milan,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
6678,5,linetty k,sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
10816,5,donadoni,bologna,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
9718,5,okwonkwo o,bologna,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
4790,5,benassi m,fiorentina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
9362,5,kean m,verona,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
5323,5,cigarini l,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
517,5,puggioni c,sampdoria,P,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2017-18,,,,
5958,5,gagliardini r,inter,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
6703,5,ljajic a,torino,C,10.5,8.0,3.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
61,5,berisha e,atalanta,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
11257,5,semplici,spal,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3763,5,rugani d,juventus,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
981,5,angella g,udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2432,5,helander f,bologna,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3986,5,skriniar m,inter,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
1489,5,capuano m,cagliari,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
629,5,sorrentino s,chievo,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
4718,5,bastien s,chievo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
9648,5,mertens d,napoli,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
5873,5,fofana s,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
6795,5,magnanelli f,sassuolo,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
5148,5,candreva a,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
4707,5,baselli d,torino,C,7.5,8.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
6924,5,memushaj l,benevento,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
8171,5,viviani f,spal,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
1543,5,caracciolo a,verona,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3896,5,sampirisi m,crotone,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
3949,5,silvestre m,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
9569,5,matri a,sassuolo,A,5.0,6.0,0.0,0.0,0.0,-1.0,0.0,0.0,2017-18,,,,
8533,5,budimir a,crotone,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2402,5,hateboer h,atalanta,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
312,5,gomis a,spal,P,3.5,5.5,-2.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
10254,5,silva a,milan,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
6887,5,matuidi b,juventus,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
11143,5,pecchia,verona,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2726,5,letschert t,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
5923,5,freuler r,atalanta,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2757,5,lichtsteiner s,juventus,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
452,5,nicolas a,verona,P,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-18,,,,
7027,5,mora l,spal,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
9445,5,lasagna k,udinese,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
6743,5,locatelli m,milan,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
2775,5,lirola p,sassuolo,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
1623,5,ceppitelli l,cagliari,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18,,,,
5893,5,fossati m,verona,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
6756,5,lulic s,lazio,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
8494,5,boye l,torino,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18,,,,
