,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,1,Berisha E.,Por,P,7.0,-1.0,,,,,,,6.0,Atalanta,3,2017-18
1,5,Masiello A.,Dif,D,6.0,,,,,,,,6.0,Atalanta,3,2017-18
2,3,Toloi R.,Dif,D,6.0,,,,,,,,6.0,Atalanta,3,2017-18
3,8,Gosens R.,Dif,D,6.0,,,,,,,,6.0,Atalanta,3,2017-18
4,13,Caldara M.,Dif,D,5.5,,,,,,,,5.5,Atalanta,3,2017-18
5,21,Castagne T.,Dif,D,6.0,,,,,,,,6.0,Atalanta,3,2017-18
6,15,De Roon M.,Cen,C,6.0,,,,,,,,6.0,Atalanta,3,2017-18
7,4,Cristante B.,Cen,C,6.5,,,,,,,,6.5,Atalanta,3,2017-18
8,10,Gomez A.,Tre,T,5.5,,1.0,,,,,,6.5,Atalanta,3,2017-18
9,72,Ilicic J.,Tre,T,5.0,,,,,,,,5.0,Atalanta,3,2017-18
10,9,Cornelius A.,Att,A,6.5,1.0,,,,,,,9.5,Atalanta,3,2017-18
11,33,Hateboer H.,Dif,D,6.5,,,,,,,,6.5,Atalanta,3,2017-18
12,27,Kurtic J.,Tre,T,6.0,,,,,,,,6.0,Atalanta,3,2017-18
13,29,Petagna A.,Att,A,6.0,1.0,,,,,,,9.0,Atalanta,3,2017-18
0,1,Belec V.,Por,P,6.5,-1.0,,,,,,,5.5,Benevento,3,2017-18
1,23,Venuti L.,Dif,D,6.0,,,,,,,,6.0,Benevento,3,2017-18
2,5,Lucioni F.,Dif,D,6.5,,,,,,,,6.5,Benevento,3,2017-18
3,5,Antei L.,Dif,D,6.0,,,,,,,,6.0,Benevento,3,2017-18
4,3,Letizia G.,Dif,D,5.5,,,,,,,,5.5,Benevento,3,2017-18
5,8,Cataldi D.,Cen,C,6.0,,,,,,1.0,,5.5,Benevento,3,2017-18
6,20,Memushaj L.,Cen,C,6.0,,,,,,1.0,,5.5,Benevento,3,2017-18
7,10,Ciciretti A.,Tre,T,6.0,,,,,,,,6.0,Benevento,3,2017-18
8,7,Dalessandro M.,Tre,T,5.5,,,,,,,,5.5,Benevento,3,2017-18
9,11,Coda M.,Att,A,6.0,,,,,,,,6.0,Benevento,3,2017-18
10,9,Iemmello P.,Att,A,5.5,,,,,,,,5.5,Benevento,3,2017-18
