,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
7721,31,amauri carvalho,chievo,A,13.5,8.0,6.0,-0.5,0.0,0.0,0.0,2005-06
9347,31,shevchenko andriy,milan,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
8683,31,inzaghi filippo,milan,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4453,31,brighi matteo,chievo,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
1923,31,diamoutene souleymane,lecce,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
3153,31,pfertzel marc,livorno,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
6407,31,mudingayi gaby,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
2454,31,kuffour samuel,roma,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
2564,31,lopez diego luis,cagliari,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
3646,31,thuram lilian ulien,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
2866,31,natali cesare,udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
903,31,balleri david,livorno,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4709,31,cesar rodriguez,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
2760,31,mexes philippe,roma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
2375,31,gustavo lazzaretti de ara,treviso,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
5391,31,filippini antonio,treviso,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
2885,31,negro paolo,siena,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
2158,31,franceschini ivan,reggina,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
4705,31,cesar prates,livorno,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
9402,31,tavano francesco,empoli,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
3378,31,rullo erminio,lecce,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
2467,31,lanna salvatore,chievo,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2005-06
1094,31,bovo cesare,roma,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,2005-06
5830,31,grella vincenzo,parma,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
4526,31,budel alessandro,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
9358,31,suazo david,cagliari,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
4626,31,camoranesi mauro,juventus,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
1243,31,cannavaro fabio,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
7702,31,adriano leite ribeiro,inter,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
1659,31,couto fernando,parma,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
3416,31,sala luigi,sampdoria,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
620,31,pelizzoli ivan,reggina,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3311,31,raggi andrea,empoli,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
6506,31,obodo chris,udinese,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
3728,31,ujfalusi tomas,fiorentina,D,7.0,6.0,0.0,0.0,0.0,0.0,1.0,2005-06
752,31,toldo francesco,inter,P,6.5,7.5,-1.0,0.0,0.0,0.0,0.0,2005-06
39,31,amelia marco,livorno,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,2005-06
5539,31,foti salvatore,sampdoria,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
1859,31,del grosso cristiano,ascoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3749,31,valdez,treviso,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
7849,31,beghetto luigi,treviso,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4305,31,behrami valon,lazio,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
9553,31,volpato rey,siena,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
8184,31,corradi bernardo,parma,A,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
5175,31,diana aimo,sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
5410,31,filippini emanuele,treviso,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
6112,31,luciano siqueira,chievo,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,2005-06
2645,31,maggio christian,treviso,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
7832,31,barreto paulo,udinese,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6828,31,pinardi alex,lecce,C,6.5,5.5,0.0,0.0,0.0,0.0,1.0,2005-06
