,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
6540,1,palombo angelo,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8414,1,di natale antonio,udinese,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
6449,1,mutarelli massimo,palermo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
225,1,carini fabian,cagliari,P,3.0,5.0,-2.0,0.0,0.0,0.0,0.0,2005-06
7967,1,borriello marco,sampdoria,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
4378,1,bonanni massimo,palermo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
1075,1,bonera daniele,parma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4399,1,bonetto riccardo,empoli,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,2005-06
3370,1,rullo erminio,lecce,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2455,1,kuffour samuel,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4937,1,d'agostino gaetano,messina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8426,1,esposito mauro,cagliari,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
4361,1,bolano jorge eladio,parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6472,1,nedved pavel,juventus,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
211,1,caglioni nicholas,messina,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,2005-06
1574,1,cordoba ivan ramiro,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7994,1,brienza franco,palermo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6439,1,muntasser jehad,treviso,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
4920,1,cristiano domenico,ascoli,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
2081,1,felipe dalbelo,udinese,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
8058,1,caracciolo andrea,palermo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
7467,1,veron juan sebastian,inter,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
1410,1,chivu cristian,roma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
5737,1,gobbi massimo,cagliari,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
830,1,angelo mariano,lecce,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2005-06
7364,1,valdes jaime,lecce,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8907,1,montella vincenzo,roma,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
8026,1,capone andrea,cagliari,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
2050,1,favalli giuseppe,inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
6436,1,muntari sulley ali,udinese,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
4909,1,cozza francesco,siena,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
