,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,57,Sportiello M.,Por,P,6.0,,,,,,,,6.0,Atalanta,5,2015-16
1,3,Toloi R.,Dif,D,7.0,1.0,,,,,,,10.0,Atalanta,5,2015-16
2,93,Drame B.,Dif,D,5.5,,,,,,,,5.5,Atalanta,5,2015-16
3,13,Masiello A.,Dif,D,6.0,,,,,,,,6.0,Atalanta,5,2015-16
4,29,Paletta G.,Dif,D,6.0,,,,,,,,6.0,Atalanta,5,2015-16
5,15,De Roon M.,Cen,C,5.0,,,,,,,,5.0,Atalanta,5,2015-16
6,27,Kurtic J.,Cen,C,5.5,,,,,,,,5.5,Atalanta,5,2015-16
7,88,Grassi A.,Cen,C,5.5,,,,,,1.0,,5.0,Atalanta,5,2015-16
8,10,Gomez A.,Tre,T,7.0,,,,,,,,7.0,Atalanta,5,2015-16
9,11,Moralez M.,Tre,T,7.0,,1.0,,,,1.0,,7.5,Atalanta,5,2015-16
10,51,Pinilla M.,Att,A,6.5,,,,,,1.0,,6.0,Atalanta,5,2015-16
11,6,Bellini G.,Dif,D,6.0,,,,,,1.0,,5.5,Atalanta,5,2015-16
12,2,Stendardo G.,Dif,D,,,,,,,,,,Atalanta,5,2015-16
13,8,Migliaccio G.,Cen,C,6.0,,,,,,,,6.0,Atalanta,5,2015-16
0,83,Mirante A.,Por,P,6.0,-2.0,,,,,,,4.0,Bologna,5,2015-16
1,24,Ferrari A.,Dif,D,5.5,,,,,,,,5.5,Bologna,5,2015-16
2,25,Masina A.,Dif,D,5.0,,,,,,1.0,,4.5,Bologna,5,2015-16
3,2,Oikonomou M.,Dif,D,6.0,,,,,,,,6.0,Bologna,5,2015-16
4,13,Rossettini L.,Dif,D,5.0,,,,,,,,5.0,Bologna,5,2015-16
5,21,Diawara A.,Cen,C,5.5,,,,,,1.0,,5.0,Bologna,5,2015-16
6,19,Taider S.,Cen,C,5.5,,,,,,,,5.5,Bologna,5,2015-16
7,22,Rizzo L.,Cen,C,5.0,,,,,,,,5.0,Bologna,5,2015-16
8,5,Pulgar E.,Cen,C,6.0,,,,,,,,6.0,Bologna,5,2015-16
9,0,Mounier A.,Tre,T,5.0,,,,,,,,5.0,Bologna,5,2015-16
10,10,Destro M.,Att,A,5.0,,,,,,,,5.0,Bologna,5,2015-16
11,23,Brienza F.,Tre,T,6.0,,,,,,,,6.0,Bologna,5,2015-16
12,7,Falco F.,Tre,T,5.5,,,,,,,,5.5,Bologna,5,2015-16
13,18,Acquafresca R.,Att,A,,,,,,,,,,Bologna,5,2015-16
0,22,Benussi F.,Por,P,6.0,,,,,,,,6.0,Carpi,5,2015-16
1,5,Zaccardo C.,Dif,D,6.5,,,,,,1.0,,6.0,Carpi,5,2015-16
2,21,Romagnoli S.,Dif,D,6.5,,,,,,1.0,,6.0,Carpi,5,2015-16
3,3,Letizia G.,Dif,D,6.0,,,,,,,,6.0,Carpi,5,2015-16
4,34,Gabriel Silva A.,Dif,D,6.0,,,,,,,,6.0,Carpi,5,2015-16
5,18,Bubnjic I.,Dif,D,6.0,,,,,,,,6.0,Carpi,5,2015-16
6,58,Fedele M.,Cen,C,6.0,,,,,,,,6.0,Carpi,5,2015-16
7,20,Lollo L.,Cen,C,6.0,,,,,,,,6.0,Carpi,5,2015-16
8,0,Cofie I.,Cen,C,6.0,,,,,,1.0,,5.5,Carpi,5,2015-16
9,7,Matos,Tre,T,6.5,,,,,,,,6.5,Carpi,5,2015-16
10,99,Mbakogu J.,Att,A,5.5,,,,,,,,5.5,Carpi,5,2015-16
11,1,Brkic Z.,Por,P,6.0,,,,,,,,6.0,Carpi,5,2015-16
12,12,Borriello M.,Att,A,6.0,,,,,,,,6.0,Carpi,5,2015-16
13,15,Lasagna K.,Att,A,6.0,,,,,,,,6.0,Carpi,5,2015-16
0,1,Bizzarri A.,Por,P,6.0,,,,,,,,6.0,Chievo,5,2015-16
1,29,Cacciatore F.,Dif,D,5.5,,,,,,,,5.5,Chievo,5,2015-16
2,12,Cesar B.,Dif,D,7.0,,,,,,,,7.0,Chievo,5,2015-16
3,3,Dainelli D.,Dif,D,6.5,,,,,,,,6.5,Chievo,5,2015-16
4,31,Frey N.,Dif,D,5.5,,,,,,,,5.5,Chievo,5,2015-16
5,19,Castro L.,Cen,C,7.0,1.0,,,,,1.0,,9.5,Chievo,5,2015-16
6,66,Pinzi G.,Cen,C,6.0,,,,,,1.0,,5.5,Chievo,5,2015-16
7,56,Hetemaj P.,Cen,C,6.5,,,,,,,,6.5,Chievo,5,2015-16
8,23,Birsa V.,Tre,T,5.5,,,,,,,,5.5,Chievo,5,2015-16
9,43,Paloschi A.,Att,A,6.0,,,,,,,,6.0,Chievo,5,2015-16
10,31,Pellissier S.,Att,A,5.5,,,,,,,,5.5,Chievo,5,2015-16
11,18,Gobbi M.,Dif,D,6.0,,,,,,1.0,,5.5,Chievo,5,2015-16
12,4,Rigoni N.,Cen,C,,,,,,,,,5.5,Chievo,5,2015-16
13,69,Meggiorini R.,Att,A,7.0,,,,,,,,7.0,Chievo,5,2015-16
0,28,Skorupski L.,Por,P,6.5,-1.0,,,,,,,5.5,Empoli,5,2015-16
1,15,Costa A.,Dif,D,5.0,,,,,,,,5.0,Empoli,5,2015-16
2,21,Mario Rui,Dif,D,5.0,,,,,,,,5.0,Empoli,5,2015-16
3,26,Tonelli L.,Dif,D,5.0,,,,,,,,5.0,Empoli,5,2015-16
4,3,Zambelli M.,Dif,D,6.0,,,,,,,,6.0,Empoli,5,2015-16
5,11,Croce D.,Cen,C,5.5,,,,,,,,5.5,Empoli,5,2015-16
6,32,Paredes L.,Cen,C,5.5,,,,,,,,5.5,Empoli,5,2015-16
7,12,Ronaldo,Cen,C,5.0,,,,,,,,5.0,Empoli,5,2015-16
8,5,Saponara R.,Tre,T,7.0,,,,,,1.0,,6.5,Empoli,5,2015-16
9,7,Maccarone M.,Att,A,5.0,,,,,,,,5.0,Empoli,5,2015-16
10,21,Piu A.,Att,A,5.5,,,,,,,,5.5,Empoli,5,2015-16
11,14,Diousse A.,Cen,C,6.0,,,,,,1.0,,5.5,Empoli,5,2015-16
12,20,Pucciarelli M.,Att,A,5.5,,,,,,,,5.5,Empoli,5,2015-16
13,39,Livaja M.,Att,A,5.5,,,,,,,,5.5,Empoli,5,2015-16
0,12,Tatarusanu C.,Por,P,7.0,,,,,,,,7.0,Fiorentina,5,2015-16
1,28,Alonso M.,Dif,D,7.0,,1.0,,,,,,8.0,Fiorentina,5,2015-16
2,2,Rodriguez G.,Dif,D,6.0,,,,,,,,6.0,Fiorentina,5,2015-16
3,32,Roncaglia F.,Dif,D,6.5,,,,,,,,6.5,Fiorentina,5,2015-16
4,13,Astori D.,Dif,D,6.5,,,,,,,,6.5,Fiorentina,5,2015-16
5,5,Badelj M.,Cen,C,6.0,,,,,,,,6.0,Fiorentina,5,2015-16
6,8,Vecino M.,Cen,C,6.5,,1.0,,,,,,7.5,Fiorentina,5,2015-16
7,20,Valero B.,Cen,C,7.0,,,,,,,,7.0,Fiorentina,5,2015-16
8,16,Blaszczykowski J.,Tre,T,7.5,1.0,,,,,,,10.5,Fiorentina,5,2015-16
9,11,Rebic A.,Att,A,6.5,,,,,,1.0,,6.0,Fiorentina,5,2015-16
10,30,Babacar K.,Att,A,5.0,,,,,,,,5.0,Fiorentina,5,2015-16
11,14,Fernandez M.,Cen,C,,,,,,,,,,Fiorentina,5,2015-16
12,72,Ilicic J.,Tre,T,,,,,,,,,5.5,Fiorentina,5,2015-16
13,9,Kalinic N.,Att,A,7.0,1.0,,,,,,,10.0,Fiorentina,5,2015-16
0,33,Leali N.,Por,P,6.0,-1.0,,,,,,,5.0,Frosinone,5,2015-16
1,6,Blanchard L.,Dif,D,6.0,1.0,,,,,,,9.0,Frosinone,5,2015-16
2,13,Ciofani M.,Dif,D,5.5,,,,,,,,5.5,Frosinone,5,2015-16
3,3,Crivello R.,Dif,D,5.0,,,,,,1.0,,4.5,Frosinone,5,2015-16
4,24,Diakite M.,Dif,D,6.0,,,,,,,,6.0,Frosinone,5,2015-16
5,22,Chibsah R.,Cen,C,6.5,,,,,,,,6.5,Frosinone,5,2015-16
6,5,Gori M.,Cen,C,6.0,,,,,,,,6.0,Frosinone,5,2015-16
7,7,Frara A.,Cen,C,6.0,,,,,,,,6.0,Frosinone,5,2015-16
8,10,Soddimo D.,Tre,T,6.5,,1.0,,,,1.0,,7.0,Frosinone,5,2015-16
9,0,Castillo N.,Att,A,5.5,,,,,,,,5.5,Frosinone,5,2015-16
10,9,Ciofani D.,Att,A,5.5,,,,,,,,5.5,Frosinone,5,2015-16
11,28,Rosi A.,Dif,D,,,,,,,1.0,,,Frosinone,5,2015-16
12,19,Tonev A.,Tre,T,6.5,,,,,,,,6.5,Frosinone,5,2015-16
13,18,Dionisi F.,Att,A,,,,,,,,,,Frosinone,5,2015-16
0,23,Lamanna E.,Por,P,6.0,-2.0,,,,,,,4.0,Genoa,5,2015-16
1,8,Burdisso N.,Dif,D,5.5,,,,,,,,5.5,Genoa,5,2015-16
2,90,Cissokho I.,Dif,D,4.5,,,,,,,1.0,3.5,Genoa,5,2015-16
3,4,De Maio S.,Dif,D,5.5,,,,,,,,5.5,Genoa,5,2015-16
4,15,Marchese G.,Dif,D,5.0,,,,,,1.0,,4.5,Genoa,5,2015-16
5,18,Ntcham O.,Cen,C,5.5,,,,,,,,5.5,Genoa,5,2015-16
6,77,Tachtsidis P.,Cen,C,6.5,,,,,,,,6.5,Genoa,5,2015-16
7,88,Rincon T.,Cen,C,7.0,,,,,,,,7.0,Genoa,5,2015-16
8,93,Laxalt D.,Tre,T,5.0,,,,,,,,5.0,Genoa,5,2015-16
9,10,Perotti D.,Tre,T,5.5,,,,,,,,5.5,Genoa,5,2015-16
10,21,Pandev G.,Att,A,4.0,,,,,,,1.0,3.0,Genoa,5,2015-16
11,11,Figueiras D.,Dif,D,6.0,,,,,,1.0,,5.5,Genoa,5,2015-16
12,0,Dzemaili B.,Cen,C,5.5,,,,,,,,5.5,Genoa,5,2015-16
13,16,Capel D.,Tre,T,6.0,,,,,,,,6.0,Genoa,5,2015-16
0,1,Handanovic S.,Por,P,6.0,,,,,,,,6.0,Inter,5,2015-16
1,25,Miranda J.,Dif,D,6.0,,,,,,,,6.0,Inter,5,2015-16
2,12,Telles A.,Dif,D,6.5,,1.0,,,,,,7.5,Inter,5,2015-16
3,21,Santon D.,Dif,D,6.0,,,,,,,,6.0,Inter,5,2015-16
4,7,Kondogbia G.,Cen,C,5.0,,,,,,1.0,,4.5,Inter,5,2015-16
