,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
6008,37,hetemaj,brescia,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
9561,37,huseklepp,bari,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
3055,37,motta,juventus,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
628,37,rosati,lecce,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2378,37,gastaldello,sampdoria,D,5.5,5.0,0.0,-0.5,0.0,0.0,0.0,1.0,2010-11
2599,37,kroldrup,fiorentina,D,4.0,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,2010-11
7814,37,ramirez,bologna,C,8.5,6.5,3.0,0.0,-1.0,0.0,0.0,0.0,2010-11
1171,37,barzagli,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2829,37,mandelli,chievo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
6096,37,isla,udinese,C,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
6083,37,inler,udinese,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
1662,37,cassani,palermo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
454,37,handanovic,udinese,P,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5819,37,gonzalez,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
2620,37,laczko,sampdoria,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
5682,37,giandonato,juventus,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
7958,37,salihamidzic,juventus,C,,,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
10192,37,pato,milan,A,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2010-11
10374,37,robinho,milan,A,13.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,2010-11
4289,37,ambrosini,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
10403,37,rocchi,lazio,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2010-11
3595,37,rosi,roma,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
7291,37,olivera,lecce,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4508,37,biagianti,catania,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
4138,37,zebina,brescia,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-11
7085,37,morrone,parma,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2010-11
