,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
3063,35,pasqual manuel,fiorentina,D,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
9589,35,vucinic mirko,lecce,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
7533,35,vigiani luca,reggina,C,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2005-06
8899,35,missiroli simone,reggina,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
5218,35,donadel marco,fiorentina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
1355,35,castellini marcello,sampdoria,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
4121,35,alberto nieto,siena,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
6911,35,pizarro david,inter,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
3748,35,valdez,treviso,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
9541,35,trezeguet david,juventus,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
9472,35,toni luca,fiorentina,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
6717,35,passoni dario,livorno,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2398,35,kaladze kakha,milan,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
7521,35,vieira patrick,juventus,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
20,35,agliardi,palermo,P,2.5,5.5,-3.0,0.0,0.0,0.0,0.0,2005-06
455,35,fortin marco,siena,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,2005-06
1806,35,de rosa gaetano,reggina,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2047,35,favalli giuseppe,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
116,35,balli daniele,empoli,P,4.5,6.5,-2.0,0.0,0.0,0.0,0.0,2005-06
1842,35,del grosso cristiano,ascoli,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
4741,35,codrea paul costantin,palermo,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
1,35,abbiati christian,juventus,P,4.5,5.5,-1.0,0.0,0.0,0.0,0.0,2005-06
6928,35,roselli,treviso,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
106,35,antonioli francesco,sampdoria,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
2832,35,moro fabio,chievo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
44,35,amelia marco,livorno,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,2005-06
536,35,lobont bogdan,fiorentina,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,2005-06
2032,35,fanucci stefano,livorno,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
5153,35,dessena daniele,parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
3706,35,ujfalusi tomas,fiorentina,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
1286,35,carbone francesco,ascoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7632,35,zanetti cristiano,inter,C,7.5,6.5,0.0,0.0,0.0,0.0,1.0,2005-06
1334,35,cassetti marco,lecce,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7582,35,volpi sergio,sampdoria,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,2005-06
3465,35,scurto giuseppe,chievo,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
519,35,julio cesar soares,inter,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
2442,35,kroldrup per,fiorentina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
