,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
5936,2,gagliardini r,inter,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
606,2,sirigu s,torino,P,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-18
6194,2,hetemaj p,chievo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1023,2,antonelli l,milan,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4134,2,tomovic n,fiorentina,D,3.5,4.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
10429,2,thereau c,udinese,A,8.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2017-18
10402,2,taarabt a,genoa,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
6487,2,khedira s,juventus,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
10662,2,bucchi,sassuolo,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
6238,2,iago f,torino,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
6500,2,kragl o,crotone,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
1049,2,astori d,fiorentina,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
547,2,reina p,napoli,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2017-18
4147,2,torosidis v,bologna,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
3825,2,sala j,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4172,2,vaisanen s,spal,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
803,2,acerbi f,sassuolo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4476,2,alvarez r,sampdoria,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
8983,2,falcinelli d,sassuolo,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
571,2,scuffet s,udinese,P,3.0,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,2017-18
3845,2,salamon b,spal,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2017-18
5909,2,freuler r,atalanta,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4443,2,allan m,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9967,2,petagna a,atalanta,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4412,2,alberto l,lazio,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
621,2,sorrentino s,chievo,P,3.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,2017-18
3870,2,samir,udinese,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
659,2,sportiello m,fiorentina,P,3.5,5.5,-2.0,0.0,0.0,0.0,0.0,0.0,2017-18
951,2,andreolli m,cagliari,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
4337,2,zappacosta d,torino,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
9038,2,floccari s,spal,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
