,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
1202,18,canini michele,cagliari,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
5416,18,filippini emanuele,treviso,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6339,18,moro davide,empoli,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
6856,18,pinzi giampiero,udinese,C,4.5,5.5,0.0,-1.0,0.0,0.0,0.0,2005-06
7768,18,amoruso nicola,reggina,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
5433,18,fini michele,ascoli,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
6291,18,montolivo riccardo,fiorentina,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
6845,18,pinga andre',treviso,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
1538,18,contini matteo,parma,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
4805,18,conti daniele,cagliari,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
5730,18,giunti federico,chievo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
9192,18,rigano' christian,empoli,A,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,2005-06
8864,18,martins obafemi akinwunmi,inter,A,3.5,4.0,0.0,-0.5,0.0,0.0,0.0,2005-06
517,18,julio cesar soares,inter,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3468,18,scurto giuseppe,chievo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
9246,18,rocchi tommaso,lazio,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3935,18,zanetti javier aldemar,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8350,18,di michele david,udinese,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
8842,18,makinwa stephen,palermo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
870,18,aronica salvatore,messina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4173,18,almiron sergio,empoli,C,9.0,6.0,3.0,0.0,0.0,0.0,0.0,2005-06
4354,18,bolano jorge eladio,parma,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,2005-06
3921,18,zanchi marco,messina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3973,18,zapata cristian eduardo,udinese,D,7.5,6.5,0.0,0.0,0.0,0.0,1.0,2005-06
551,18,lupatelli cristiano,parma,P,3.5,5.5,-2.0,0.0,0.0,0.0,0.0,2005-06
4431,18,bresciano mark,parma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3622,18,terlizzi christian,palermo,D,9.0,6.0,3.0,0.0,0.0,0.0,0.0,2005-06
3382,18,rullo erminio,lecce,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
4187,18,ambrosini massimo,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
3633,18,thuram lilian ulien,juventus,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
9324,18,shevchenko andriy,milan,A,11.0,7.0,3.0,0.0,0.0,0.0,1.0,2005-06
8802,18,lucarelli cristiano,livorno,A,13.0,7.0,6.0,0.0,0.0,0.0,0.0,2005-06
8785,18,locatelli tomas,siena,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
581,18,mirante antonio,siena,P,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
584,18,paoletti gabriele,udinese,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,2005-06
3654,18,tosto vittorio,ascoli,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
8295,18,di canio paolo,lazio,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
9274,18,saudati luca,lecce,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
9364,18,suazo david,cagliari,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
266,18,chimenti antonio,juventus,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,2005-06
3981,18,zauri luciano,lazio,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
3518,18,siviglia sebastiano,lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
436,18,fontana alberto,chievo,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,2005-06
408,18,doni alexander marangao,roma,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
816,18,agostini alessandro,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
4093,18,abeijon nelson,cagliari,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
8934,18,mutu adrian,juventus,A,14.0,8.0,6.0,0.0,0.0,0.0,0.0,2005-06
8224,18,cozzolino giuseppe,lecce,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
8915,18,muslimovic zlatan,messina,A,12.5,7.0,6.0,-0.5,0.0,0.0,0.0,2005-06
4035,18,zenoni cristian,sampdoria,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
355,18,dida nelson,milan,P,1.5,4.5,-3.0,0.0,0.0,0.0,0.0,2005-06
9061,18,pellissier sergio,chievo,A,13.0,7.0,6.0,0.0,0.0,0.0,0.0,2005-06
8392,18,di natale antonio,udinese,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
269,18,coppola ferdinando,ascoli,P,1.5,5.5,-4.0,0.0,0.0,0.0,0.0,2005-06
468,18,frey sebastian,fiorentina,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,2005-06
4375,18,bonanni massimo,palermo,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
4125,18,alberto nieto,siena,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
9129,18,quagliarella fabio,ascoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
3344,18,rezaei rahman,messina,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
3493,18,simic dario,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
8435,18,esposito mauro,cagliari,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
3576,18,stovini lorenzo,lecce,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,2005-06
3486,18,sensini roberto nestor,udinese,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,2005-06
8382,18,di napoli arturo,messina,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,2005-06
841,18,angelo mariano,lecce,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
9150,18,recoba alvaro,inter,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
9168,18,reginaldo ferreira,treviso,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
479,18,guardalben matteo,palermo,P,1.0,5.0,-4.0,0.0,0.0,0.0,0.0,2005-06
767,18,zancope' adriano,treviso,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,2005-06
9276,18,sculli giuseppe,messina,A,10.0,7.0,0.0,0.0,0.0,0.0,3.0,2005-06
