,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,assist,yyss
6190,26,guarente,atalanta,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
5880,26,franceschini d,sampdoria,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
10141,26,rigano',siena,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2007-08
925,26,aronica,reggina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
8968,26,di michele,torino,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2007-08
2833,26,manfredini t,atalanta,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2007-08
8110,26,vannucchi,empoli,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
9,26,agliardi,palermo,P,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
5545,26,diana,torino,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
2776,26,maicon,inter,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
7960,26,taddei,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
10473,26,trezeguet,juventus,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
4723,26,bresciano,palermo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
9935,26,pato,milan,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
4035,26,ujfalusi,fiorentina,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
10252,26,sculli,genoa,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
1711,26,costa,reggina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2007-08
7912,26,sissoko m,juventus,C,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2007-08
