,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,yyss
1715,3,cudini mirko,ascoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
897,3,balleri david,livorno,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
2708,3,mandelli davide,chievo,D,9.0,6.5,3.0,-0.5,0.0,0.0,0.0,2005-06
7171,3,stankovic dejan,inter,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
1779,3,dainelli dario,fiorentina,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
5955,3,kaka' ricardo,milan,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
2200,3,galante fabio,livorno,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
5414,3,filippini emanuele,treviso,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6851,3,pinga andre',treviso,C,8.5,5.5,3.0,0.0,0.0,0.0,0.0,2005-06
8293,3,delvecchio marco,parma,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
1589,3,cordoba ivan ramiro,inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
8159,3,corradi bernardo,parma,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
1223,3,cannavaro fabio,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
5449,3,fini michele,ascoli,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,2005-06
5459,3,fiore stefano,fiorentina,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,2005-06
8581,3,gilardino alberto,milan,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,2005-06
1797,3,de rosa gaetano,reggina,D,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,2005-06
6984,3,sammarco paolo,chievo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
6858,3,pinzi giampiero,udinese,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,2005-06
7607,3,volpi sergio,sampdoria,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
5357,3,figo luis,inter,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2005-06
7712,3,adriano leite ribeiro,inter,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
6009,3,lazetic nikola,livorno,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
1269,3,cannavaro paolo,parma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,2005-06
6121,3,mamede jose',messina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
5377,3,filippini antonio,treviso,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2005-06
7658,3,zenoni damiano,udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,2005-06
1612,3,cottafava marcello,treviso,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2005-06
