,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
10709,21,milito,inter,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
8294,21,pereyra,udinese,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
5079,21,badu,udinese,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
3609,21,murru,cagliari,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
4609,21,stendardo,atalanta,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
2508,21,emerson,livorno,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
7315,21,kovacic,inter,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
2401,21,dias a,lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
9442,21,bianchi ro,bologna,A,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
10463,21,llorente,juventus,A,10.5,7.5,3.0,0.0,0.0,0.0,0.0,0.0,2013-14
3782,21,ogbonna,juventus,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
8226,21,parolo,parma,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
2313,21,de sciglio,milan,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
3810,21,paletta,parma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
1013,21,albiol,napoli,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2013-14
1042,21,antei,sassuolo,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
6389,21,el kaddouri,torino,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
11518,21,toni,verona,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
11501,21,thereau c,chievo,A,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2013-14
11038,21,paulinho,livorno,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2013-14
9420,21,bianchi r,bologna,A,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
3834,21,palombo,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
2336,21,de silvestri,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
925,21,abate i,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
9390,21,bergessio,catania,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
10883,21,palacio,inter,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
4532,21,savic,fiorentina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
1092,21,antonini,genoa,D,11.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,2013-14
9370,21,berardi d,sassuolo,A,8.5,6.0,3.0,-0.5,0.0,0.0,0.0,0.0,2013-14
2390,21,dias,lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
8272,21,pazienza,bologna,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
5923,21,cigarini,atalanta,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
6358,21,ekdal,cagliari,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
2452,21,douglas santos,udinese,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
1070,21,antonelli,genoa,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
6753,21,greco,livorno,C,9.0,6.5,3.0,-0.5,0.0,0.0,0.0,0.0,2013-14
10452,21,livaja m,atalanta,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
2469,21,drame',chievo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
1126,21,antonsson,bologna,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
915,21,abate,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
7110,21,izco,catania,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
10595,21,matri a,fiorentina,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
11310,21,sansone g,sampdoria,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
900,21,storari,juventus,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2013-14
9524,21,callejon,napoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
10435,21,livaja,atalanta,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
11043,21,pazzini,milan,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2013-14
5883,21,christodoulopoulos,bologna,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
6418,21,emanuelson,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
1670,21,campagnaro,inter,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
11483,21,thereau,chievo,A,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2013-14
7191,21,joaquin s,fiorentina,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2013-14
1953,21,cesar,chievo,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
7237,21,jorginho l,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
4918,21,allan m,udinese,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
8603,21,radovanovic,chievo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
1627,21,cacciatore,verona,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
6227,21,diamanti,bologna,C,9.0,6.5,3.0,-0.5,0.0,0.0,0.0,0.0,2013-14
1602,21,burdisso,genoa,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
1595,21,bubnjic,udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
1973,21,cherubin,bologna,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
4762,21,yepes,atalanta,D,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2013-14
6096,21,de jong,milan,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
1571,21,brivio,atalanta,D,5.0,6.0,0.0,0.0,-1.0,0.0,0.0,0.0,2013-14
8987,21,taider,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
7179,21,joaquin,fiorentina,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2013-14
1561,21,britos,napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
3657,21,nagatomo,inter,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-14
