,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss
6828,10,saponara r,empoli,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9256,10,pucciarelli m,empoli,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7983,10,falcinelli d,crotone,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
7660,10,caprari g,pescara,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3099,10,patric,lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3875,10,zampano f,pescara,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5791,10,kurtic j,atalanta,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4130,10,badu e,udinese,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1805,10,dani alves,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1196,10,bellusci g,empoli,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
5607,10,kessie f,atalanta,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
7562,10,budimir a,sampdoria,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
2525,10,koulibaly k,napoli,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
2649,10,maggio c,napoli,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8758,10,mchedlidze l,empoli,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1116,10,barreca a,torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5434,10,honda k,milan,C,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
558,10,reina p,napoli,P,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2016-17
4804,10,d'alessandro m,atalanta,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3404,10,rosi a,crotone,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9224,10,politano m,sassuolo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5564,10,jorginho l,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1723,10,crescenzi a,pescara,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7947,10,embalo c,palermo,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5760,10,kums s,udinese,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8833,10,mertens d,napoli,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2016-17
8949,10,nestorovski i,palermo,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
486,10,puggioni c,sampdoria,P,1.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,2016-17
9534,10,suso,milan,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9726,10,zapata d,udinese,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3357,10,romagnoli a,milan,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
6916,10,strootman k,roma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
9425,10,schick p,sampdoria,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2016-17
9446,10,simeone g,genoa,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8267,10,immobile c,lazio,A,13.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,2016-17
2702,10,manolas k,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5425,10,hiljemark o,palermo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7592,10,callejon j,napoli,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
3519,10,salcedo c,fiorentina,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
1322,10,bonucci l,juventus,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8784,10,meggiorini r,chievo,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
8885,10,muriel l,sampdoria,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
5397,10,hetemaj p,chievo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1258,10,biraghi c,pescara,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
7014,10,tello a,empoli,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2016-17
3306,10,rispoli a,palermo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
7622,10,candreva a,inter,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4390,10,biondini d,sassuolo,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
1701,10,costa a,empoli,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
174,10,da costa a,bologna,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2016-17
7847,10,dzeko e,roma,A,13.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,2016-17
3123,10,peluso f,sassuolo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
916,10,alex sandro,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
4423,10,birsa v,chievo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
465,10,posavec j,palermo,P,3.0,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,2016-17
5690,10,krunic r,empoli,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2016-17
