,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,ass,yyss
3674,27,pezzella ger,fiorentina,D,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
4956,27,berenguer a,torino,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3468,27,n koulou n,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3480,27,nuytinck b,udinese,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4523,27,young a,inter,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2045,27,dijks m,bologna,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2036,27,di lorenzo g,napoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3519,27,palomino j,atalanta,D,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
6440,27,kessie f,milan,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3556,27,papetti a,brescia,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4924,27,bentancur r,juventus,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1080,27,bastos,lazio,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3563,27,patric,lazio,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
6407,27,juwara m,bologna,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5631,27,dalessandro m,spal,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6384,27,jony r,lazio,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6371,27,joao pedro,cagliari,C,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
7742,27,rabiot a,juventus,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3614,27,pellegrini lu,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4894,27,bennacer i,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1364,27,calderoni m,lecce,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4857,27,behrami v,genoa,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6338,27,jankto j,sampdoria,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2006,27,dermaku k,parma,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5674,27,de roon m,atalanta,C,4.0,5.5,0.0,-0.5,0.0,0.0,-2.0,1.0,2019-20
7786,27,ramirez g,sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6205,27,iago falque,genoa,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
6191,27,hernani j,parma,C,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
1848,27,de sciglio m,juventus,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
6004,27,fares m,spal,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5777,27,diawara a,roma,C,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4339,27,toloi r,atalanta,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4585,27,agoume l,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4372,27,tomiyasu t,bologna,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1829,27,de maio s,udinese,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1504,27,chiriches v,sassuolo,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7605,27,petriccione j,lecce,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7603,27,pessina m,verona,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4612,27,alberto l,lazio,C,6.5,5.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
5955,27,eriksen c,inter,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4415,27,tonelli l,sampdoria,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4560,27,zappacosta d,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5822,27,djuricic f,sassuolo,C,8.5,7.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
1811,27,de ligt,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4454,27,vera b,lecce,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4483,27,vicari f,spal,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5901,27,ekdal a,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5833,27,dominguez n,bologna,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5846,27,duncan a,fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4497,27,walukiewicz s,cagliari,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7377,27,obiang p,sassuolo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6028,27,fofana s,udinese,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5752,27,dessena d,brescia,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6049,27,freuler r,atalanta,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5730,27,demme d,napoli,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4060,27,sabelli s,brescia,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4071,27,sala j,spal,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1897,27,de vrij s,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6132,27,gomez a,atalanta,C,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
4098,27,samir,udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4696,27,anderson a,lazio,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4142,27,sema k,udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1428,27,ceccherini f,fiorentina,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7642,27,pjanic m,juventus,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7419,27,paqueta,milan,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1040,27,barreca a,genoa,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4163,27,semprini a,brescia,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
6074,27,gagliardini r,inter,C,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1111,27,becao r,udinese,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4175,27,skriniar m,inter,D,4.5,5.5,0.0,0.0,-1.0,0.0,0.0,0.0,2019-20
1874,27,de silvestri l,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4662,27,amrabat s,verona,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4648,27,allan m,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4226,27,smalling c,roma,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4235,27,soumaoro a,genoa,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1777,27,darmian m,parma,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1044,27,bastoni a,inter,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
3967,27,rrahmani a,verona,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5589,27,cuadrado j,juventus,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5613,27,dabo b,spal,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7520,27,pellegrini lo,roma,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
5266,27,calhanoglu h,milan,C,9.5,7.5,0.0,0.0,0.0,0.0,0.0,2.0,2019-20
983,27,b peres,roma,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2676,27,izzo a,torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6950,27,malinovskyi r,atalanta,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
2697,27,kjaer s,milan,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7845,27,ribery f,fiorentina,C,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2726,27,klavan r,cagliari,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2753,27,kolarov a,roma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1207,27,bonifazi k,spal,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2794,27,koulibaly k,napoli,D,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2801,27,kumbulla m,verona,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6905,27,magnanelli f,sassuolo,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2204,27,faraoni d,verona,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7486,27,pastore j,roma,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2839,27,kyriakopoulos g,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1144,27,biraghi c,inter,D,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
2871,27,larsen s,udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
