,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigore_parato_segnato,autogol,portiere_imbattuto,yyss,assist,gol_fatto_subito,gol_su_rigore,assist_da_fermo
6278,6,jankto j,sampdoria,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6096,6,hetemaj p,chievo,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
1972,6,di lorenzo g,empoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6831,6,mandragora r,udinese,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7030,6,nainggolan r,inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6636,6,linetty k,sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6302,6,joao pedro,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6691,6,lukic s,torino,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7184,6,parolo m,lazio,C,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7540,6,rigoni n,chievo,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7223,6,pastore j,roma,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
1828,6,de silvestri l,torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
2035,6,djidji k,torino,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7454,6,radovanovic i,chievo,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
1691,6,criscito d,genoa,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
1921,6,depaoli f,chievo,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
7069,6,nzonzi,roma,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7584,6,rincon t,torino,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
2076,6,durmisi r,lazio,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
6336,6,kessie f,milan,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6398,6,krejci l,bologna,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6878,6,mazzitelli l,genoa,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7413,6,praet d,sampdoria,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
6416,6,krunic r,empoli,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7006,6,nagy a,bologna,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7495,6,ramirez g,sampdoria,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
2160,6,fazio f,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6552,6,lazzari m,spal,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6544,6,lazovic d,genoa,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6731,6,lulic s,lazio,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
6175,6,ilicic j,atalanta,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
2095,6,ekong t,udinese,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
7121,6,padoin s,cagliari,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
1870,6,de vrij s,inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7335,6,pjanic m,juventus,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
6837,6,matuidi b,juventus,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6761,6,magnanelli f,sassuolo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
1641,6,colley o,sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6137,6,hiljemark o,genoa,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6503,6,laxalt d,milan,C,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
1751,6,danilo l,bologna,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
6955,6,missiroli s,spal,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
2190,6,felipe,spal,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7199,6,pasalic m,atalanta,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6470,6,kurtic j,spal,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
1994,6,dijks m,bologna,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
1717,6,dambrosio d,inter,D,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
2227,6,ferrari g,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6219,6,ionita a,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7270,6,perisic i,inter,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7640,6,ruiz f,napoli,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
6891,6,meite s,torino,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
3503,6,patric,lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
7793,6,soddimo d,frosinone,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4504,6,barak a,udinese,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
601,6,skorupski l,bologna,P,5.0,7.0,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
3014,6,malcuit k,napoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4516,6,barella n,cagliari,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
9909,6,petagna a,spal,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
627,6,sorrentino s,chievo,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
9940,6,piatek k,genoa,A,10.0,7.5,3.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
4544,6,barilla a,parma,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
9892,6,pellissier s,chievo,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
9868,6,pavoletti l,cagliari,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
650,6,sportiello m,frosinone,P,2.0,6.0,-4.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4584,6,barreto e,sampdoria,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
2978,6,maietta d,empoli,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
9831,6,parigini v,torino,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
2996,6,maksimovic n,napoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4495,6,bakayoko t,milan,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4457,6,badelj m,lazio,C,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
9980,6,pinamonti a,frosinone,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
10178,6,ronaldo c,juventus,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
488,6,scuffet s,udinese,P,3.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
3103,6,marlon,sassuolo,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
10151,6,rigoni e,atalanta,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
507,6,sepe l,parma,P,2.5,5.5,-3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4350,6,zukanovic e,genoa,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
10124,6,quagliarella f,sampdoria,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
3087,6,marcano i,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
10099,6,pussetto i,udinese,A,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
4400,6,alberto l,lazio,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
3065,6,manolas k,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
10035,6,politano m,inter,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
561,6,sirigu s,torino,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
10017,6,pjaca m,fiorentina,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4434,6,allan m,napoli,C,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
9821,6,pandev g,genoa,A,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2018-19,,,,
4591,6,baselli d,torino,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
9794,6,paloschi a,spal,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4623,6,beghetto a,frosinone,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
9484,6,matri a,sassuolo,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
4895,6,biglia l,milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
827,6,adjapong c,sassuolo,D,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
9419,6,machis d,udinese,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19,,,,
