,number,name,position,position_cod,V,G,A,R,RS,AG,AM,ES,FV,team,dots,yyss
0,1,Berisha E.,Por,P,6.0,-1.0,,,,,,,5.0,Atalanta,22,2016-17
1,13,Caldara M.,Dif,D,6.0,,,,,,1.0,,5.5,Atalanta,22,2016-17
2,24,Conti A.,Dif,D,6.0,,,,,,,,6.0,Atalanta,22,2016-17
3,6,Zukanovic E.,Dif,D,5.5,,,,,,,,5.5,Atalanta,22,2016-17
4,3,Toloi R.,Dif,D,6.5,,,,,,,,6.5,Atalanta,22,2016-17
5,27,Kurtic J.,Cen,C,5.0,,,,,,,,5.0,Atalanta,22,2016-17
6,11,Freuler R.,Cen,C,6.0,,,,,,1.0,,5.5,Atalanta,22,2016-17
7,88,Grassi A.,Cen,C,5.5,,,,,,,,5.5,Atalanta,22,2016-17
8,37,Spinazzola L.,Tre,T,6.5,,,,,,,,6.5,Atalanta,22,2016-17
9,10,Gomez A.,Tre,T,6.5,,,,,,,,6.5,Atalanta,22,2016-17
10,29,Petagna A.,Att,A,7.0,1.0,,,,,,,10.0,Atalanta,22,2016-17
11,19,Kessie F.,Cen,C,7.0,,,,,,,,7.0,Atalanta,22,2016-17
12,7,Dalessandro M.,Tre,T,,,,,,,,,,Atalanta,22,2016-17
13,9,Pesic A.,Att,A,,,,,,,,,,Atalanta,22,2016-17
0,83,Mirante A.,Por,P,7.0,-1.0,,,,,,,6.0,Bologna,22,2016-17
1,2,Oikonomou M.,Dif,D,6.0,,,,,,,,6.0,Bologna,22,2016-17
2,20,Maietta D.,Dif,D,6.0,,,,,,1.0,,5.5,Bologna,22,2016-17
3,25,Masina A.,Dif,D,6.0,,,,,,,,6.0,Bologna,22,2016-17
4,4,Krafth E.,Dif,D,5.0,,,,,,,1.0,4.0,Bologna,22,2016-17
5,16,Nagy A.,Cen,C,5.5,,,,,,,,5.5,Bologna,22,2016-17
6,5,Pulgar E.,Cen,C,6.0,,,,,,,,6.0,Bologna,22,2016-17
7,17,Donsah G.,Cen,C,5.5,,,,,,1.0,,5.0,Bologna,22,2016-17
8,14,Di Francesco F.,Tre,T,5.0,,,,,,,,5.0,Bologna,22,2016-17
9,11,Krejci L.,Tre,T,7.0,,1.0,,,,,,8.0,Bologna,22,2016-17
10,10,Destro M.,Att,A,6.5,1.0,,,,,,,9.5,Bologna,22,2016-17
11,35,Torosidis V.,Dif,D,,,,,,,,,,Bologna,22,2016-17
12,6,Viviani F.,Cen,C,4.5,,,,,,,1.0,3.5,Bologna,22,2016-17
13,9,Verdi S.,Tre,T,6.5,,,,,,,,6.5,Bologna,22,2016-17
0,1,Rafael A.,Por,P,6.0,-1.0,,,,,,,5.0,Cagliari,22,2016-17
1,19,Pisacane F.,Dif,D,5.5,,,,,,,,5.5,Cagliari,22,2016-17
2,2,Alves B.,Dif,D,6.0,,,,,,,,6.0,Cagliari,22,2016-17
3,23,Ceppitelli L.,Dif,D,5.0,,,,,,,,5.0,Cagliari,22,2016-17
4,24,Capuano M.,Dif,D,6.0,,,,,,,,6.0,Cagliari,22,2016-17
5,3,Isla M.,Dif,D,6.0,,,,,,,,6.0,Cagliari,22,2016-17
6,4,Dessena D.,Cen,C,6.0,,,,,,,,6.0,Cagliari,22,2016-17
7,8,Di Gennaro D.,Cen,C,6.0,,,,,,,,6.0,Cagliari,22,2016-17
8,77,Tachtsidis P.,Cen,C,6.0,,,,,,1.0,,5.5,Cagliari,22,2016-17
9,22,Borriello M.,Att,A,7.0,1.0,,,,,,,10.0,Cagliari,22,2016-17
10,25,Sau M.,Att,A,6.5,,,,,,1.0,,6.0,Cagliari,22,2016-17
11,35,Salamon B.,Dif,D,,,,,,,,,,Cagliari,22,2016-17
12,95,Miangue S.,Dif,D,6.0,,,,,,,,6.0,Cagliari,22,2016-17
0,70,Sorrentino S.,Por,P,7.5,,,,,,,,7.5,Chievo,22,2016-17
1,29,Cacciatore F.,Dif,D,6.0,,,,,,1.0,,5.5,Chievo,22,2016-17
2,18,Gobbi M.,Dif,D,6.0,,1.0,,,,,,7.0,Chievo,22,2016-17
3,5,Gamberini A.,Dif,D,5.5,,,,,,,,5.5,Chievo,22,2016-17
4,2,Spolli N.,Dif,D,5.0,,,,,,,,5.0,Chievo,22,2016-17
5,56,Hetemaj P.,Cen,C,6.0,,,,,,,,6.0,Chievo,22,2016-17
6,28,Bastien S.,Cen,C,5.5,,,,,,,,5.5,Chievo,22,2016-17
7,8,Radovanovic I.,Cen,C,6.0,,,,,,,,6.0,Chievo,22,2016-17
8,23,Birsa V.,Tre,T,5.5,,,,,,,,5.5,Chievo,22,2016-17
9,15,De Guzman J.,Tre,T,6.0,,,,,,,,6.0,Chievo,22,2016-17
10,45,Inglese R.,Att,A,7.5,1.0,,,,,,,10.5,Chievo,22,2016-17
11,3,Dainelli D.,Dif,D,6.0,,,,,,,,6.0,Chievo,22,2016-17
12,13,Izco M.,Cen,C,6.0,,,,,,1.0,,5.5,Chievo,22,2016-17
13,4,Rigoni N.,Cen,C,6.0,,,,,,,,6.0,Chievo,22,2016-17
0,1,Cordaz A.,Por,P,6.0,-1.0,,,,,,,5.0,Crotone,22,2016-17
1,13,Ferrari G.,Dif,D,6.0,,,,,,,,6.0,Crotone,22,2016-17
2,87,Martella B.,Dif,D,6.5,,,,,,,,6.5,Crotone,22,2016-17
3,28,Rosi A.,Dif,D,6.0,,,,,,1.0,,5.5,Crotone,22,2016-17
4,17,Ceccherini F.,Dif,D,6.0,,,,,,1.0,,5.5,Crotone,22,2016-17
5,6,Rohden M.,Cen,C,6.5,,1.0,,,,,,7.5,Crotone,22,2016-17
6,18,Barberis A.,Cen,C,6.5,,1.0,,,,,,7.5,Crotone,22,2016-17
7,8,Crisetig L.,Cen,C,6.5,,,,,,,,6.5,Crotone,22,2016-17
8,12,Stoian A.,Tre,T,7.5,1.0,,,,,,,10.5,Crotone,22,2016-17
9,11,Falcinelli D.,Att,A,8.5,3.0,,1.0,,,1.0,,17.0,Crotone,22,2016-17
10,28,Capezzi L.,Cen,C,6.0,,,,,,,,6.0,Crotone,22,2016-17
11,9,Nalini A.,Tre,T,,,,,,,,,,Crotone,22,2016-17
12,29,Trotta M.,Att,A,,,,,,,,,,Crotone,22,2016-17
0,28,Skorupski L.,Por,P,5.0,-4.0,,,,,,,1.0,Empoli,22,2016-17
1,15,Costa A.,Dif,D,5.0,,,,,,,,5.0,Empoli,22,2016-17
2,13,Veseli F.,Dif,D,4.5,,,,,,,,4.5,Empoli,22,2016-17
3,4,Dimarco F.,Dif,D,5.5,,,,,,,,5.5,Empoli,22,2016-17
4,6,Bellusci G.,Dif,D,5.0,,,,,,,,5.0,Empoli,22,2016-17
5,8,Diousse A.,Cen,C,5.5,,,,,,,,5.5,Empoli,22,2016-17
6,11,Croce D.,Cen,C,5.0,,,,,,,,5.0,Empoli,22,2016-17
7,33,Krunic R.,Tre,T,5.0,,,,,,1.0,,4.5,Empoli,22,2016-17
8,9,Mchedlidze L.,Att,A,6.0,1.0,,,,,,,9.0,Empoli,22,2016-17
9,89,Marilungo G.,Att,A,6.0,,,,,,,,6.0,Empoli,22,2016-17
10,20,Pucciarelli M.,Att,A,5.0,,,,,,,,5.0,Empoli,22,2016-17
11,0,Zajc M.,Cen,C,,,,,,,,,,Empoli,22,2016-17
12,7,Maccarone M.,Att,A,5.0,,,,,,,,5.0,Empoli,22,2016-17
13,27,Thiam M.,Att,A,,,,,,,,,,Empoli,22,2016-17
0,57,Sportiello M.,Por,P,6.0,-3.0,,,,,,,3.0,Fiorentina,22,2016-17
1,4,De Maio S.,Dif,D,5.5,,,,,,,,5.5,Fiorentina,22,2016-17
