,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
9833,25,DENIS,ATALANTA,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
11214,25,PALLADINO,PARMA,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
11001,25,MURIEL,SAMPDORIA,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2014-15
621,25,NETO,FIORENTINA,P,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
7316,25,KUCKA,GENOA,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
7962,25,NAINGGOLAN,ROMA,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2014-15
11290,25,PANICO,GENOA,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
509,25,LEALI N,CESENA,P,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9069,25,VARELA,PARMA,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
7483,25,LODI F,PARMA,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9884,25,DI NATALE,UDINESE,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
7562,25,MANDRAGORA,GENOA,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
466,25,LAMANNA,GENOA,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
8644,25,RIGONI L,PALERMO,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9846,25,DESTRO,MILAN,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9089,25,VARGAS J,FIORENTINA,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
8810,25,SHAQIRI,INTER,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
152,25,BRKIC,CAGLIARI,P,3.5,5.5,-2.0,0.0,0.0,0.0,0.0,0.0,2014-15
7865,25,MONTOLIVO,MILAN,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
11235,25,PALLADINO R,PARMA,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
586,25,MIRANTE,PARMA,P,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
9798,25,DEFREL,CESENA,A,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2014-15
