,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
1852,17,de sciglio m,juventus,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11004,17,conte,inter,0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8507,17,veloso m,verona,C,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5796,17,djuricic f,sassuolo,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
815,17,aina o,torino,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8177,17,strefezza g,spal,C,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
9351,17,dzeko e,roma,A,11.5,7.5,3.0,0.0,0.0,0.0,0.0,1.0,2019-20
7933,17,ruiz f,napoli,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3955,17,rrahmani a,verona,D,0.0,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
326,17,joronen j,brescia,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
6755,17,leris m,sampdoria,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9313,17,dybala p,juventus,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
6908,17,magnanelli f,sassuolo,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
73,17,berisha e,spal,P,6.0,7.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
10706,17,simeone g,cagliari,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10045,17,milik a,napoli,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6319,17,jankto j,sampdoria,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
8159,17,sprocati m,parma,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2456,17,gosens r,atalanta,D,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
11282,17,inzaghi s,lazio,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11551,17,pioli,milan,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2462,17,gunter k,verona,D,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4010,17,rui m,napoli,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
5380,17,castrovilli g,fiorentina,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
3689,17,pezzella giu,parma,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8151,17,spalek n,brescia,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1162,17,biraghi c,inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1791,17,dawidowicz p,verona,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9005,17,boateng kp,fiorentina,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9547,17,gervinho,parma,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10682,17,santander f,bologna,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7916,17,romulo,brescia,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6177,17,hernani j,parma,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1707,17,danilo ds,juventus,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1753,17,darmian m,parma,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8500,17,vecino m,inter,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1478,17,chancellor j,brescia,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3700,17,pisacane f,cagliari,D,4.0,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,2019-20
7243,17,morosini l,brescia,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10025,17,mertens d,napoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7925,17,rovella n,genoa,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5784,17,diawara a,roma,C,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1833,17,de maio s,udinese,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
10946,17,zaza s,torino,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9938,17,lukaku r,inter,A,15.5,8.5,6.0,0.0,0.0,0.0,0.0,1.0,2019-20
6828,17,locatelli m,sassuolo,C,7.0,6.5,0.0,-0.5,0.0,0.0,0.0,1.0,2019-20
5059,17,bisoli d,brescia,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9175,17,cleonise d,genoa,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8750,17,zaniolo n,roma,C,11.0,7.5,3.0,-0.5,0.0,0.0,0.0,1.0,2019-20
5141,17,borini f,verona,C,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10801,17,suso j,milan,A,3.5,4.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1588,17,conti a,milan,D,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6853,17,lukic s,torino,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10877,17,vlahovic d,fiorentina,A,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
6561,17,kulusevski d,parma,C,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
2163,17,ekong t,udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11243,17,gotti,udinese,0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9466,17,favilli a,genoa,A,,,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
1970,17,depaoli f,sampdoria,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5769,17,di francesco f,spal,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11038,17,d aversa,parma,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5113,17,bonaventura g,milan,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1579,17,colley o,sampdoria,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3804,17,rispoli a,lecce,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8077,17,shakhov y,lecce,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2194,17,faraoni d,verona,D,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8907,17,balotelli m,brescia,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
8252,17,tabanelli a,lecce,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5474,17,cigarini l,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5238,17,calhanoglu h,milan,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7266,17,murgia a,spal,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8243,17,svanberg m,bologna,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6254,17,ionita a,cagliari,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6703,17,leiva l,lazio,C,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3852,17,romagna f,sassuolo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10842,17,torregrossa e,brescia,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2055,17,dimarco f,inter,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1618,17,criscito d,genoa,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9154,17,castillejo s,milan,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3865,17,romagnoli a,milan,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
10657,17,sansone n,bologna,A,7.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
5212,17,brugman g,parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7352,17,obiang p,sassuolo,C,3.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,2019-20
6269,17,jagiello f,genoa,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2115,17,djimsiti b,atalanta,D,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11510,17,mihajlovic,bologna,0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
3826,17,rodriguez r,milan,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
465,17,pau lopez,roma,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
2032,17,di lorenzo g,napoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1061,17,bastoni a,inter,D,6.5,7.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
6377,17,jony r,lazio,C,0.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
8068,17,sensi s,inter,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8027,17,schouten j,bologna,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10772,17,sottil r,fiorentina,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
511,17,radu i,genoa,P,2.0,6.0,-4.0,0.0,0.0,0.0,0.0,0.0,2019-20
619,17,sirigu s,torino,P,4.0,6.5,-2.0,-0.5,0.0,0.0,0.0,0.0,2019-20
796,17,acerbi f,lazio,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
24,17,audero e,sampdoria,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2019-20
2301,17,florenzi a,roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8787,17,zielinski p,napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11520,17,montella,fiorentina,0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1906,17,de vrij s,inter,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2327,17,gagliolo r,parma,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4142,17,sema k,udinese,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6412,17,kessie f,milan,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
8554,17,verdi s,torino,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
8268,17,tachtsidis p,lecce,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
7283,17,nainggolan r,cagliari,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11010,17,corini,brescia,0,5.0,6.0,0.0,0.0,-1.0,0.0,0.0,0.0,2019-20
361,17,meret a,napoli,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
5324,17,candreva a,inter,C,8.5,7.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
8712,17,zaccagni m,verona,C,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5332,17,cassata f,genoa,C,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
2360,17,ghiglione p,genoa,D,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
