,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
4571,38,ZEEGELAAR M,Udinese,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
508,38,PINSOGLIO C,Juventus,P,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
293,38,HANDANOVIC S,Inter,P,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4786,38,BARELLA N,Inter,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
506,38,PERIN M,Genoa,P,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9633,38,IBRAHIMOVIC Z,Milan,A,6.5,6.5,3.0,0.0,0.0,-3.0,0.0,0.0,2019-20
9763,38,KOUAME C,Fiorentina,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
4298,38,TOLJAN J,Sassuolo,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4216,38,SMALLING C,Roma,D,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
10892,38,VRIONI G,Juventus,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7847,38,RINCON T,Torino,C,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4762,38,BARAK A,Lecce,C,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
4602,38,ALBERTO L,Lazio,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4290,38,TERZIC A,Fiorentina,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4857,38,BEHRAMI V,Genoa,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4288,38,TER AVEST,Udinese,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5283,38,CALLEJON J,Napoli,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9416,38,FALCO F,Lecce,A,6.5,5.5,0.0,0.0,0.0,0.0,0.0,1.0,2019-20
9726,38,INSIGNE L,Napoli,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
11493,38,MIHAJLOVIC,Bologna,0,6.0,6.5,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
4583,38,AGUDELO K,Fiorentina,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11599,38,RANIERI,Sampdoria,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6675,38,LAZZARI M,Lazio,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4560,38,ZAPPACOSTA D,Roma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11695,38,ZENGA,Cagliari,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
7981,38,SAPONARA R,Lecce,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4903,38,BENNACER I,Milan,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
540,38,SEPE L,Parma,P,2.5,5.5,-3.0,0.0,0.0,0.0,0.0,0.0,2019-20
8154,38,SPALEK N,Brescia,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
10893,38,ZANIMACCHIA L,Juventus,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
5253,38,CALHANOGLU H,Milan,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
536,38,ROSATI A,Torino,P,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
5006,38,BERTOLACCI A,Sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
9,38,ANDRENACCI L,Brescia,P,5.5,6.5,-1.0,0.0,0.0,0.0,0.0,0.0,2019-20
9737,38,KALINIC N,Roma,A,9.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
9615,38,HIGUAIN G,Juventus,A,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2019-20
10871,38,VLAHOVIC D,Fiorentina,A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
11618,38,SARRI,Juventus,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6784,38,LINETTY K,Sampdoria,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
6654,38,LAZOVIC D,Verona,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
527,38,RADUNOVIC B,Verona,P,3.0,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,2019-20
2089,38,DJIMSITI B,Atalanta,D,4.5,5.0,0.0,-0.5,0.0,0.0,0.0,0.0,2019-20
9926,38,LOZANO H,Napoli,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
1999,38,DERMAKU K,Parma,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
4821,38,BARILLA A,Parma,C,8.5,6.5,0.0,0.0,0.0,0.0,0.0,2.0,2019-20
9503,38,GABBIADINI M,Sampdoria,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2174,38,EKONG T,Udinese,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
2146,38,DUARTE L,Milan,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2019-20
